uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9cdd2d-5074-48c0-9eb6-0305c0a8018c",6955,"Payload delivery","filename","71243fvasea.exe","",0,1587338541,"","","","",""
"5e9cdd2d-8c60-43da-b817-0305c0a8018c",6955,"Payload delivery","md5","e0514ef98c6029197ff1578a1b2e1b31","",1,1587338541,"","","","",""
"5e9cdd2d-2ad0-4c1a-bf0e-0305c0a8018c",6955,"Payload delivery","sha1","a8273944d3885e0aecb3c63243d2fe7c71e36f39","",1,1587338541,"","","","",""
"5e9cdd2d-3090-4c36-9d40-0305c0a8018c",6955,"Payload delivery","sha256","5314ccea78ff29d4959a69b3c99a008b29c031a069d5be92f858fdcda9a807da","",1,1587338541,"","","","",""
"5e9cdd2d-fce8-4c8f-aac3-0305c0a8018c",6955,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587338541,"","","","",""
"5e9cdd2d-6190-45cd-be30-0305c0a8018c",6955,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587338541,"","","","",""
"5e9cdd2f-5f04-468a-b22b-0305c0a8018c",6955,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/71243fvasea.exe","",1,1587338543,"","","","",""
"5e9cdd2f-529c-41a5-b111-0305c0a8018c",6955,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587338543,"","","","",""
"e5fe414d-e2b4-4136-b9cb-dfb434ca24ec",6955,"Other","text",".text","",0,1587338546,"name","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"69a4e7c3-6f59-4373-93cf-0890719da4b7",6955,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587338546,"md5","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"186506a9-b435-4559-9f3c-f5eef995800f",6955,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587338547,"sha1","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"4d71e738-ad80-4aee-b145-d1be6e51560b",6955,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587338548,"sha256","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"bba85442-f187-40bc-bb49-381444ee35f3",6955,"Other","size-in-bytes",90112,"",0,1587338548,"size-in-bytes","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"8cc472a7-8b74-4294-96af-a9e498e5588e",6955,"Other","float",6.50364,"",0,1587338548,"entropy","","7ece9a04-bfbc-4b2b-b431-ffa040e04c50","pe-section","file"
"794d8c1c-e8a0-405c-88c5-2626b3a942f4",6955,"Other","text",".rdata","",0,1587338549,"name","","b47258f1-2770-4f78-b348-3885b6931f9f","pe-section","file"
"4db1d471-50e9-4937-9e3a-3c081390a665",6955,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587338549,"md5","","b47258f1-2770-4f78-b348-3885b6931f9f","pe-section","file"
