uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9cec5a-accc-452e-9889-0304c0a8018c",6986,"Payload delivery","filename","72643fvasea.exe","",0,1587342426,"","","","",""
"5e9cec5b-3ffc-47bd-b0fe-0304c0a8018c",6986,"Payload delivery","md5","4c8c4704706235d8ca1c962bbda3128c","",1,1587342427,"","","","",""
"5e9cec5b-1b2c-4a1b-8b84-0304c0a8018c",6986,"Payload delivery","sha1","ae398968deaedc1f3ad0e253474635762a49f1cd","",1,1587342427,"","","","",""
"5e9cec5b-b360-439a-9ccb-0304c0a8018c",6986,"Payload delivery","sha256","8a06bd79370b4d92c0707a8b922386f408bf2aa4cd07cbd6fc6ececfbd411189","",1,1587342427,"","","","",""
"5e9cec5b-45d8-4801-b183-0304c0a8018c",6986,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587342427,"","","","",""
"5e9cec5b-21a8-4a56-ba7a-0304c0a8018c",6986,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587342427,"","","","",""
"5e9cec5c-41a0-4279-b682-0304c0a8018c",6986,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/72643fvasea.exe","",1,1587342428,"","","","",""
"5e9cec5c-83f4-4457-8da5-0304c0a8018c",6986,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587342428,"","","","",""
"8e6a4ed3-56e6-4cc7-9b9b-c18c700305aa",6986,"Other","text",".text","",0,1587342434,"name","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"5a09939b-1933-4372-9c1b-6582d573f91b",6986,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587342435,"md5","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"6a493411-932b-44d7-be28-e7aeb157cb66",6986,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587342441,"sha1","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"49f3af2f-0131-4fa4-a245-c3322761b61e",6986,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587342447,"sha256","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"bf8263b1-ad4b-4b54-ac73-bc297bbf9790",6986,"Other","size-in-bytes",90112,"",0,1587342447,"size-in-bytes","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"657475b9-8649-480f-8bbd-951456dc3211",6986,"Other","float",6.50364,"",0,1587342447,"entropy","","06881402-5c7f-43c8-afd6-540f60817678","pe-section","file"
"29f7ee6d-0cd0-4971-8044-57e98de32f7d",6986,"Other","text",".rdata","",0,1587342448,"name","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"f172775f-48a2-4a8b-9695-32bd670476ca",6986,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587342449,"md5","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"25551acd-ee39-4b0f-8c8e-60e6207d4d8a",6986,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587342449,"sha1","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"e70d37c0-a7da-4f31-9839-6e27e59900b9",6986,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587342451,"sha256","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"f877e8d4-70ed-410d-a92e-42739f267cb6",6986,"Other","size-in-bytes",20480,"",0,1587342454,"size-in-bytes","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"5d90a903-09d8-438f-9dfa-1775149edaff",6986,"Other","float",4.92143,"",0,1587342454,"entropy","","7d671a7c-3e70-4383-bc97-b1e99a5dab2d","pe-section","file"
"663e0f76-81d1-42d6-aad0-758fe5867b4c",6986,"Other","text",".data","",0,1587342455,"name","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"6522ebfc-c0f0-4e57-a484-5e23def755dd",6986,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587342455,"md5","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"15cd43c7-69d7-46ea-9773-b887899be7b7",6986,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587342456,"sha1","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"cdbbd3f7-0445-4cc1-9843-675b026b4c13",6986,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587342456,"sha256","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"0911479e-b68c-4eb7-9248-0e71a7b3771e",6986,"Other","size-in-bytes",8192,"",0,1587342458,"size-in-bytes","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"931f6e7a-494b-4236-ad0b-781679b90174",6986,"Other","float",2.39372,"",0,1587342458,"entropy","","e70fe680-a6d2-4df5-8fc6-fb3b95e2a30a","pe-section","file"
"d0dc4aa0-427a-485c-9bad-a09fe3a61bc4",6986,"Other","text",".rsrc","",0,1587342459,"name","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"047d798f-c7bc-43c0-8666-0be8151ba807",6986,"Payload delivery","md5","7c23369ec5e27d2f4f3b100bc9d6a9e0","",1,1587342459,"md5","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"c585b075-2c21-4aa2-87b8-10ecb01839e4",6986,"Payload delivery","sha1","1dddcb5d97ff7392d0999683183ad1981fb8b049","",1,1587342460,"sha1","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"99fa5a4a-a362-4a12-a4a6-0ee038dd8193",6986,"Payload delivery","sha256","7081646700e5b96aefc367d8e8d136301495eac678bb8a7ce02063f2b42e7a7c","",1,1587342460,"sha256","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"9847d0d2-7ab1-4876-9080-baa01280bf25",6986,"Other","size-in-bytes",249856,"",0,1587342460,"size-in-bytes","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"df3b082b-5dbc-4a70-a09b-031c8bf7b267",6986,"Other","float",7.374,"",0,1587342460,"entropy","","b443e747-e014-4d9a-9162-38824c34b7c9","pe-section","file"
"73ef530a-574c-4830-b841-b47e308dd901",6986,"External analysis","link","https://www.virustotal.com/gui/file/8a06bd79370b4d92c0707a8b922386f408bf2aa4cd07cbd6fc6ececfbd411189/detection","",0,1587342462,"permalink","","edb3f2b9-c615-48e4-8ccb-8b3317e48081","virustotal-report","misc"
"834c673b-f643-45c1-bb80-955432bde2a6",6986,"Other","datetime","2020-04-18T12:35:48.000000+0000","",0,1587342462,"last-submission","","edb3f2b9-c615-48e4-8ccb-8b3317e48081","virustotal-report","misc"
"36cd64b5-3554-46e2-b1ec-e1887ec17f07",6986,"Other","text","23/72","",0,1587342463,"detection-ratio","","edb3f2b9-c615-48e4-8ccb-8b3317e48081","virustotal-report","misc"

