uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9d16fb-a178-4c6e-adcb-6221c0a8018c",7100,"Payload delivery","filename","524d4fe8115bf6b56a9f2357e2c9e699c5.exe","",0,1587353339,"","","","",""
"5e9d16fb-77c4-43fe-8b6f-6221c0a8018c",7100,"Payload delivery","md5","5de1fc407b0c5ba76d380d8d241d19d6","",1,1587353339,"","","","",""
"5e9d16fb-acbc-4d54-8797-6221c0a8018c",7100,"Payload delivery","sha1","5802458b43672fbc84ee67b1d45c7e45028335e4","",1,1587353339,"","","","",""
"5e9d16fb-831c-4d08-95dc-6221c0a8018c",7100,"Payload delivery","sha256","fa2cc7e49ff0eada595e906d953568f2b6489ae37c74bee76a004cfea3a73a9d","",1,1587353339,"","","","",""
"5e9d16fb-116c-44df-8e7d-6221c0a8018c",7100,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587353339,"","","","",""
"5e9d16fb-f868-4fd9-baa4-6221c0a8018c",7100,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587353339,"","","","",""
"5e9d16fd-b9f8-449e-a708-6221c0a8018c",7100,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/524d4fe8115bf6b56a9f2357e2c9e699c5.exe","",1,1587353341,"","","","",""
"5e9d16fd-5e98-4dec-bfbc-6221c0a8018c",7100,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587353341,"","","","",""
"4a8018fa-f308-4431-bcc1-bedc562ad965",7100,"Other","text",".text","",0,1587353343,"name","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"0c0f3cc1-d1bc-45c4-931d-a42c3d638854",7100,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587353343,"md5","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"5ede5b6d-da4a-44f9-a32d-c36b0eebfcf6",7100,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587353343,"sha1","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"3746c98e-10be-4064-8945-76f061d4b874",7100,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587353344,"sha256","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"e4597b4a-6a67-47aa-b17d-7ced5ac75082",7100,"Other","size-in-bytes",90112,"",0,1587353344,"size-in-bytes","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"a8db7c58-9eb8-405a-bc95-269249587666",7100,"Other","float",6.50364,"",0,1587353344,"entropy","","230e9fed-8ddc-4752-b748-4674f256decc","pe-section","file"
"b36d2244-65de-4192-a9bc-fe6338ca3679",7100,"Other","text",".rdata","",0,1587353345,"name","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"8acbda43-ead7-4654-8a34-326ebe8ac75f",7100,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587353346,"md5","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"d64d704e-75d9-40ad-82a7-b921c57dc171",7100,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587353346,"sha1","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"dbd0e1ab-7b00-42a6-a832-eb41b7e59a49",7100,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587353346,"sha256","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"0c2ee5b3-21c1-4787-a271-4479c40d8bbe",7100,"Other","size-in-bytes",20480,"",0,1587353346,"size-in-bytes","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"0e7b506b-66f8-41df-a73b-a1b625e70493",7100,"Other","float",4.92143,"",0,1587353346,"entropy","","bb0c88fa-0763-4416-a9cb-6ceda5de4cb4","pe-section","file"
"14b8efc8-1d73-409a-8af3-23eebe3f346f",7100,"Other","text",".data","",0,1587353348,"name","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"03230c41-64cf-4d34-8025-1f558cafed4e",7100,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587353348,"md5","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"df6288eb-96a7-4abb-a46f-853a96fcd84c",7100,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587353362,"sha1","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"d402f9c4-5ee4-4176-83dd-ac5ddf1a9768",7100,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587353364,"sha256","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"7d0c9ef9-ffa2-46c5-b24d-cff009af9028",7100,"Other","size-in-bytes",8192,"",0,1587353364,"size-in-bytes","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"b29c552b-56c5-46b7-bfcb-c3121e33a297",7100,"Other","float",2.39372,"",0,1587353364,"entropy","","3cc56dc4-1827-4f3d-9a70-dea97172a04a","pe-section","file"
"2b5cfb8c-450b-468b-ae16-d3976f12510d",7100,"Other","text",".rsrc","",0,1587353365,"name","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"1c84a5e0-46b3-4bf7-9a2d-5fc252371eff",7100,"Payload delivery","md5","7c23369ec5e27d2f4f3b100bc9d6a9e0","",1,1587353366,"md5","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"b36f3bab-95c4-4fbd-8447-7e69b235c6a9",7100,"Payload delivery","sha1","1dddcb5d97ff7392d0999683183ad1981fb8b049","",1,1587353366,"sha1","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"bfe864d1-7aef-4b06-8cc4-3812d43c872d",7100,"Payload delivery","sha256","7081646700e5b96aefc367d8e8d136301495eac678bb8a7ce02063f2b42e7a7c","",1,1587353366,"sha256","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"29f8f9bf-b177-4db9-822b-b698ad0bec93",7100,"Other","size-in-bytes",249856,"",0,1587353366,"size-in-bytes","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"694fe2a8-d157-4c9a-b9cf-e55257d3a7e4",7100,"Other","float",7.374,"",0,1587353366,"entropy","","4f71e314-dcbb-4b97-98ef-db641f1b95f0","pe-section","file"
"33f6a990-4bbc-48a5-9ef1-bb750d82ab08",7100,"External analysis","link","https://www.virustotal.com/gui/file/fa2cc7e49ff0eada595e906d953568f2b6489ae37c74bee76a004cfea3a73a9d/detection","",0,1587353368,"permalink","","d05cef6a-3230-4be8-a9f9-1f5a7360a148","virustotal-report","misc"
"9f123963-ac3f-416a-b0d5-73aafd01e3e8",7100,"Other","datetime","2020-04-18T22:26:57.000000+0000","",0,1587353368,"last-submission","","d05cef6a-3230-4be8-a9f9-1f5a7360a148","virustotal-report","misc"
"5b070f52-e7d6-468f-8509-88a2b9d08516",7100,"Other","text","30/73","",0,1587353368,"detection-ratio","","d05cef6a-3230-4be8-a9f9-1f5a7360a148","virustotal-report","misc"

