uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9d894b-c084-477d-8012-3dbfc0a8018c",7397,"Payload delivery","filename","4134d4fe8115bf6b56a9f2357e2c9e699c5.exe","",0,1587382603,"","","","",""
"5e9d894b-b4f8-4516-af8f-3dbfc0a8018c",7397,"Payload delivery","md5","2e6661a553862129535b0679ba48aec5","",1,1587382603,"","","","",""
"5e9d894b-1840-4cb6-a806-3dbfc0a8018c",7397,"Payload delivery","sha1","c52d7b10682561a3b5b6c0b2d4c0680ef2f7cfc3","",1,1587382603,"","","","",""
"5e9d894b-3648-486a-8e4f-3dbfc0a8018c",7397,"Payload delivery","sha256","9455f898dc13ce390dc42ee4ca68d947ab33c836f1460c33833b32215e223064","",1,1587382603,"","","","",""
"5e9d894b-2fc4-4f6d-929e-3dbfc0a8018c",7397,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587382603,"","","","",""
"5e9d894b-7ab4-4e0e-aa9d-3dbfc0a8018c",7397,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587382603,"","","","",""
"5e9d894b-0050-4ebd-b326-3dbfc0a8018c",7397,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/4134d4fe8115bf6b56a9f2357e2c9e699c5.exe","",1,1587382603,"","","","",""
"5e9d894b-c31c-42e7-bbf8-3dbfc0a8018c",7397,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587382603,"","","","",""
"4a895f5c-c914-458b-8f7e-eb9add36eb3f",7397,"Other","text",".text","",0,1587382604,"name","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"6de61880-af02-470e-8856-d862c8e2096d",7397,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587382604,"md5","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"aee7ebf7-bf5b-46d9-aa8e-4c6bb11605de",7397,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587382605,"sha1","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"71294f76-547b-49a8-81ad-78dbb24cd2ac",7397,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587382606,"sha256","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"22808952-9542-4e28-b005-0232027d4609",7397,"Other","size-in-bytes",90112,"",0,1587382607,"size-in-bytes","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"19d47a7e-1d10-499c-b2e9-2bf4e3d434c3",7397,"Other","float",6.50364,"",0,1587382607,"entropy","","c0fd7fea-4b2e-411e-9c7f-3944f79f5f04","pe-section","file"
"1177a081-2b7b-4a91-8ce5-abeffc7ef5d8",7397,"Other","text",".rdata","",0,1587382607,"name","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"7ef4b48f-d167-441e-94ce-aa8756f6b9c0",7397,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587382607,"md5","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"6618f1b4-5f4f-4830-9416-084923531b65",7397,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587382608,"sha1","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"95f2c6d2-0529-4615-87a8-5e4fb8bde3fd",7397,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587382609,"sha256","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"33d904fb-627c-4b10-b59c-98c7a59fa28d",7397,"Other","size-in-bytes",20480,"",0,1587382609,"size-in-bytes","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"506dcb4a-78e0-4d80-b541-d49a16df1f4b",7397,"Other","float",4.92143,"",0,1587382610,"entropy","","cef75a4c-5e80-4f27-873c-b5512a50e24f","pe-section","file"
"cf41c069-6708-4a6f-a73b-05e9a0b84655",7397,"Other","text",".data","",0,1587382610,"name","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"7dc2b5ce-f610-429e-9d5f-a63069937ddd",7397,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587382610,"md5","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"501a4c35-dd75-4c82-acc3-af47e1b26dbb",7397,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587382610,"sha1","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"07a9b8a7-f48c-49d5-ae65-0acaf6972249",7397,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587382610,"sha256","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"642c0824-7512-4d68-8b29-9708de55c7d8",7397,"Other","size-in-bytes",8192,"",0,1587382611,"size-in-bytes","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"bf51fb78-d9b5-4b96-84d5-3451e50d1e80",7397,"Other","float",2.39372,"",0,1587382611,"entropy","","11167ba6-41d6-4776-a4e0-0919968f9a45","pe-section","file"
"2809ea57-e157-45ad-8f3b-0e2033428d0c",7397,"Other","text",".rsrc","",0,1587382613,"name","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"928bb5e7-8b92-4013-a831-7739b88f355c",7397,"Payload delivery","md5","7c23369ec5e27d2f4f3b100bc9d6a9e0","",1,1587382613,"md5","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"eaf844d3-f021-4517-be1e-d376ce537f08",7397,"Payload delivery","sha1","1dddcb5d97ff7392d0999683183ad1981fb8b049","",1,1587382613,"sha1","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"a20b8c7b-cbc0-4f29-8e24-81a94545b5bd",7397,"Payload delivery","sha256","7081646700e5b96aefc367d8e8d136301495eac678bb8a7ce02063f2b42e7a7c","",1,1587382613,"sha256","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"ff65412a-e2a8-458c-b32b-6117d0b49b49",7397,"Other","size-in-bytes",249856,"",0,1587382614,"size-in-bytes","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"ea2b9ec2-0b8f-46e6-bef2-f13122eb37a0",7397,"Other","float",7.374,"",0,1587382614,"entropy","","9cb69945-24ce-412a-b1f2-20ef1473e8e6","pe-section","file"
"e139eb47-501c-42b0-a6d3-df157f9fad27",7397,"External analysis","link","https://www.virustotal.com/gui/file/9455f898dc13ce390dc42ee4ca68d947ab33c836f1460c33833b32215e223064/detection","",0,1587382614,"permalink","","540a1445-d8da-4c6f-996d-428503e57152","virustotal-report","misc"
"773f32e5-06bb-4a32-981c-8c66fed6769e",7397,"Other","datetime","2020-04-18T21:11:11.000000+0000","",0,1587382614,"last-submission","","540a1445-d8da-4c6f-996d-428503e57152","virustotal-report","misc"
"5d70b21f-1091-4346-b5e9-af2ce6c2cbaf",7397,"Other","text","29/72","",0,1587382614,"detection-ratio","","540a1445-d8da-4c6f-996d-428503e57152","virustotal-report","misc"

