uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9db023-ae34-452e-88da-034bc0a8018c",7496,"Payload delivery","filename","4380nH6.exe","",0,1587392547,"","","","",""
"5e9db023-a7b8-4518-9d60-034bc0a8018c",7496,"Payload delivery","md5","544f2e4601af1197cd055c883dd2f285","",1,1587392547,"","","","",""
"5e9db023-0c20-4bc7-84ae-034bc0a8018c",7496,"Payload delivery","sha1","6ed11493c2caa9712dc690be82c3dfff3d646e4b","",1,1587392547,"","","","",""
"5e9db023-4a00-48c0-80e2-034bc0a8018c",7496,"Payload delivery","sha256","7ed6fd453ad4560cb334db532852ce376980dfcff43cf5ddbe74f882efca351b","",1,1587392547,"","","","",""
"5e9db023-ec84-4e0f-9be1-034bc0a8018c",7496,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587392547,"","","","",""
"5e9db023-14bc-4269-b38b-034bc0a8018c",7496,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587392547,"","","","",""
"5e9db024-78e8-41cc-9663-034bc0a8018c",7496,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/4380nH6.exe","",1,1587392548,"","","","",""
"5e9db024-6f20-46f1-b676-034bc0a8018c",7496,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587392548,"","","","",""
"2aafdaa5-fe1d-499b-92d6-0f7ab721ba06",7496,"Other","text",".text","",0,1587392548,"name","","2acf1df8-cc17-4ea7-8b86-bc1b4a2f8145","pe-section","file"
"faa18107-20c8-4178-9ef8-295c1d03558a",7496,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587392548,"md5","","2acf1df8-cc17-4ea7-8b86-bc1b4a2f8145","pe-section","file"
"6e8a2d89-5659-4124-96a7-d86ea430617e",7496,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587392548,"sha1","","2acf1df8-cc17-4ea7-8b86-bc1b4a2f8145","pe-section","file"
"9e3a242a-912c-4720-9292-0a8f0faa57b0",7496,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587392548,"sha256","","2acf1df8-cc17-4ea7-8b86-bc1b4a2f8145","pe-section","file"
