uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9f8c30-2000-4f03-80a2-034bc0a8018c",8349,"Payload delivery","filename","1254d4fe8115bf6b56a9f2357e2c9e699c5.exe","",0,1587514416,"","","","",""
"5e9f8c30-230c-4637-a8c3-034bc0a8018c",8349,"Payload delivery","md5","8af3b80c4c0ff469b5dad07973d8d177","",1,1587514416,"","","","",""
"5e9f8c31-4994-4fac-ac30-034bc0a8018c",8349,"Payload delivery","sha1","643ca1f9914089fb8ce9b1a8da939503ed735626","",1,1587514417,"","","","",""
"5e9f8c31-cb80-427d-89bf-034bc0a8018c",8349,"Payload delivery","sha256","27b5d3fe8f809b5fa1ac62a8dc0ae115ff7e77526e3da683162d663ef615329b","",1,1587514417,"","","","",""
"5e9f8c31-79f4-4610-b444-034bc0a8018c",8349,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1587514417,"","","","",""
"5e9f8c32-632c-43b4-a2e8-034bc0a8018c",8349,"Payload delivery","imphash","0885b2b2b5829577912d5197330fc416","",0,1587514418,"","","","",""
"5e9f8c38-6ec4-4e75-8c4d-034bc0a8018c",8349,"Network activity","url","https://mitsui-jyuku.mixh.jp/uploads/1254d4fe8115bf6b56a9f2357e2c9e699c5.exe","",1,1587514424,"","","","",""
"5e9f8c38-47ac-41c6-bf8a-034bc0a8018c",8349,"Network activity","domain","mitsui-jyuku.mixh.jp","",1,1587514424,"","","","",""
"dd7a678a-9347-4058-b740-e3cc8b56b5ce",8349,"Other","text",".text","",0,1587514439,"name","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"0f5a3440-c8e4-4a53-82de-0c2bc3d53ea7",8349,"Payload delivery","md5","5046b4fc44da255eede051c605a5785d","",1,1587514440,"md5","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"86b48366-c880-4a73-9734-e33a00c62afe",8349,"Payload delivery","sha1","a458d010f4b470a21bdc683fadfc0e34f2270e44","",1,1587514450,"sha1","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"7cdb8d1e-6a91-42ab-abe1-3223fa172372",8349,"Payload delivery","sha256","0713cf869d5e2befa33199482945754ab8d97c5da2c6342ec0aa1bb353707304","",1,1587514452,"sha256","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"36e00773-4f38-4bd8-8d60-9e38069b063f",8349,"Other","size-in-bytes",90112,"",0,1587514455,"size-in-bytes","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"0c359beb-0a97-45ad-b196-bb282126dedb",8349,"Other","float",6.50364,"",0,1587514455,"entropy","","63675a51-80fc-4bb2-8807-0a3c0bd0a27d","pe-section","file"
"135e5212-e553-4f27-8918-173c8a36c28c",8349,"Other","text",".rdata","",0,1587514457,"name","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"7c394ea1-cf02-4f8c-8f2b-4b1e4bb8e44a",8349,"Payload delivery","md5","3ae86c408650678f594f6b536b233135","",1,1587514457,"md5","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"b07411d9-c973-4c55-8bb6-14de28195d6a",8349,"Payload delivery","sha1","c752350a3691153c9d4444267ecbd9bd8dc8dff2","",1,1587514459,"sha1","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"fd24d096-d5cf-480b-b1dd-e8ca0c36f7df",8349,"Payload delivery","sha256","160a8a58164d17331bbe4eecfc9c8488fe166561acc41cbda6307a4ac6510aaf","",1,1587514463,"sha256","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"4c932850-0810-4920-b8f1-c42ca564cecc",8349,"Other","size-in-bytes",20480,"",0,1587514466,"size-in-bytes","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"e9e30c0b-ea41-48e0-a9c9-fb9c0eee7a15",8349,"Other","float",4.92143,"",0,1587514466,"entropy","","4e1821c1-8d6c-4bb7-b867-9f2f6a47244c","pe-section","file"
"fa35404e-93aa-4be6-ae40-498cb62680aa",8349,"Other","text",".data","",0,1587514467,"name","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"e4cd9455-8f49-45c1-bb75-9adb407a3ca2",8349,"Payload delivery","md5","14e045749b3eff639554e9ddec73f583","",1,1587514467,"md5","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"7c828cf1-ac71-4e23-bdff-26a23ff3f20e",8349,"Payload delivery","sha1","528cf245f5f154f92efc74afb582a0bdfece8f1c","",1,1587514472,"sha1","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"016a533c-7f36-4021-b868-4ee50fdc1cc2",8349,"Payload delivery","sha256","fc4c4833b5903c62eeef16376c108e8dae6dd0be8607762e13bfada9d8e2fd6a","",1,1587514477,"sha256","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"ca5f0730-bdb5-43bf-90e8-e6db0ce1a28a",8349,"Other","size-in-bytes",8192,"",0,1587514482,"size-in-bytes","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"5db4ad44-6b38-4cf9-b093-75ec9f8f746b",8349,"Other","float",2.39372,"",0,1587514482,"entropy","","4241535b-ed54-4431-9609-de88a98488e5","pe-section","file"
"94d36aa2-72f0-44d8-8206-37513cb53edb",8349,"Other","text",".rsrc","",0,1587514484,"name","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"1b2b256d-f8db-4877-9afa-0a3e13daaa44",8349,"Payload delivery","md5","7c23369ec5e27d2f4f3b100bc9d6a9e0","",1,1587514485,"md5","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"c32044cc-d695-439e-a468-cfab7c8c1b84",8349,"Payload delivery","sha1","1dddcb5d97ff7392d0999683183ad1981fb8b049","",1,1587514488,"sha1","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"6884b811-e5d8-4ab5-b539-9104e34290fa",8349,"Payload delivery","sha256","7081646700e5b96aefc367d8e8d136301495eac678bb8a7ce02063f2b42e7a7c","",1,1587514494,"sha256","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"e6dfc1e3-643e-48d9-998a-f68b9d0c4746",8349,"Other","size-in-bytes",249856,"",0,1587514498,"size-in-bytes","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"56694b5e-97c8-40de-b25f-549ebc69de95",8349,"Other","float",7.374,"",0,1587514498,"entropy","","993a2e39-d063-4984-9585-1c08183a9cfc","pe-section","file"
"d48019e3-5fe5-4deb-8fd6-44620374849b",8349,"External analysis","link","https://www.virustotal.com/gui/file/27b5d3fe8f809b5fa1ac62a8dc0ae115ff7e77526e3da683162d663ef615329b/detection","",0,1587514499,"permalink","","ae74c485-f9d1-46b6-8ef6-d0e7ca263ce4","virustotal-report","misc"
"fc9ab386-0c1d-43be-b2cb-51337cc25e4f",8349,"Other","datetime","2020-04-18T18:07:13.000000+0000","",0,1587514500,"last-submission","","ae74c485-f9d1-46b6-8ef6-d0e7ca263ce4","virustotal-report","misc"
"0c69daee-29b1-4b10-aa0f-c8adadca0c87",8349,"Other","text","27/73","",0,1587514500,"detection-ratio","","ae74c485-f9d1-46b6-8ef6-d0e7ca263ce4","virustotal-report","misc"

