uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5e9fe726-9b2c-4bed-896e-0d5cc0a8018c",8387,"Payload delivery","filename","m-i.p-s.SNOOPY","",0,1587537702,"","","","",""
"5e9fe727-e768-46ff-b33b-0d5cc0a8018c",8387,"Payload delivery","md5","e531c96b8fae4ee31f04eb801870f403","",1,1587537703,"","","","",""
"5e9fe727-61a8-48db-9b35-0d5cc0a8018c",8387,"Payload delivery","sha1","0855bee7225c29d422baff93affb36fad7bec95d","",1,1587537703,"","","","",""
"5e9fe727-0c1c-4aac-a6ea-0d5cc0a8018c",8387,"Payload delivery","sha256","d9ca17bd7ffcb8134b2949192a4ecf68b55fb7835ebbf7bff53ac7b67026767d","",1,1587537703,"","","","",""
"5e9fe727-116c-4565-8b1a-0d5cc0a8018c",8387,"Payload delivery","mime-type","ELF 32-bit MSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1587537703,"","","","",""
"5e9fe727-199c-4345-8f91-0d5cc0a8018c",8387,"Network activity","url","http://155.138.234.174/m-i.p-s.SNOOPY","",1,1587537703,"","","","",""
"5e9fe727-9338-4133-be31-0d5cc0a8018c",8387,"Network activity","ip-dst","155.138.234.174","",1,1587537703,"","","","",""
"19b13bcd-00c7-4998-a235-cec8e4df543e",8387,"External analysis","link","https://www.virustotal.com/gui/file/d9ca17bd7ffcb8134b2949192a4ecf68b55fb7835ebbf7bff53ac7b67026767d/detection","",0,1587537704,"permalink","","da3fde70-fb6a-47a6-beab-84cb6c7f97bf","virustotal-report","misc"
"09b32a22-e351-4e14-b05b-5f4d5eac0866",8387,"Other","datetime","2020-04-22T01:19:36.000000+0000","",0,1587537704,"last-submission","","da3fde70-fb6a-47a6-beab-84cb6c7f97bf","virustotal-report","misc"
"c6e57ffb-7474-4f64-8b4e-62b716aeb389",8387,"Other","text","30/59","",0,1587537705,"detection-ratio","","da3fde70-fb6a-47a6-beab-84cb6c7f97bf","virustotal-report","misc"

