uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ea08908-6930-424f-8041-38e7c0a8018c",8523,"Payload delivery","filename","pandora.m68k","",0,1587579144,"","","","",""
"5ea08913-cca0-44b4-a572-38e7c0a8018c",8523,"Payload delivery","md5","f0b4a6031a57cc36ff8cd5a30651a048","",1,1587579155,"","","","",""
"5ea08969-948c-4113-a811-38e7c0a8018c",8523,"Payload delivery","sha1","6434fe337dfdb3b0cf99a2578cde255f47bb2061","",1,1587579241,"","","","",""
"5ea08988-4ad0-4a9b-807b-38e7c0a8018c",8523,"Payload delivery","sha256","5072616af8a83918dde42da8908528e0213ca9d9dba20acc3c0ed60110be29f2","",1,1587579272,"","","","",""
"5ea089b9-6f50-426d-9f15-38e7c0a8018c",8523,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1587579321,"","","","",""
"5ea089cc-6e50-4311-90ba-38e7c0a8018c",8523,"Network activity","url","http://51.255.170.237/Pandoras_Box/pandora.m68k","",1,1587579340,"","","","",""
"5ea089d1-ca0c-4dae-8d87-38e7c0a8018c",8523,"Network activity","ip-dst","51.255.170.237","",1,1587579345,"","","","",""
"9adab512-93c5-462a-b885-ced38f906e9a",8523,"External analysis","link","https://www.virustotal.com/gui/file/5072616af8a83918dde42da8908528e0213ca9d9dba20acc3c0ed60110be29f2/detection","",0,1587579458,"permalink","","a1fb1206-0dc6-4fea-88f1-076c3369d22c","virustotal-report","misc"
"4cb85c3a-e2e2-4be1-b100-0af48204a7ac",8523,"Other","datetime","2020-04-22T13:11:06.000000+0000","",0,1587579479,"last-submission","","a1fb1206-0dc6-4fea-88f1-076c3369d22c","virustotal-report","misc"
"9619ca05-308b-44ac-940e-e1c29501c362",8523,"Other","text","31/59","",0,1587579485,"detection-ratio","","a1fb1206-0dc6-4fea-88f1-076c3369d22c","virustotal-report","misc"

