uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ead0415-a528-4aef-88a1-5b55c0a8018c",10034,"Payload delivery","filename","Fuze.mpsl","",0,1588397077,"","","","",""
"5ead0415-5c4c-4623-b7c0-5b55c0a8018c",10034,"Payload delivery","md5","4427da646b5871bcab52e7634451998f","",1,1588397077,"","","","",""
"5ead0415-084c-49ba-b39f-5b55c0a8018c",10034,"Payload delivery","sha1","76e1d0179db9d8ecef35b22376d8d5f0158433ef","",1,1588397077,"","","","",""
"5ead0415-ea58-4869-bc52-5b55c0a8018c",10034,"Payload delivery","sha256","fb5d19a4c31a1866669b4b5c9b15fbe247e68f171ee6b9ebeebc30645d14fbb5","",1,1588397077,"","","","",""
"5ead0415-e5c8-4fbe-b60f-5b55c0a8018c",10034,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1588397077,"","","","",""
"5ead0415-00b8-47f7-8640-5b55c0a8018c",10034,"Network activity","url","http://45.95.168.207/Fuze.mpsl","",1,1588397077,"","","","",""
"5ead0415-9314-4081-b2b7-5b55c0a8018c",10034,"Network activity","ip-dst","45.95.168.207","",1,1588397077,"","","","",""
"0c86961d-7813-4584-a903-0f007a89bc05",10034,"External analysis","link","https://www.virustotal.com/gui/file/fb5d19a4c31a1866669b4b5c9b15fbe247e68f171ee6b9ebeebc30645d14fbb5/detection","",0,1588397077,"permalink","","c72b1de1-d5e2-4668-8f4e-86e11f242d9b","virustotal-report","misc"
"5d2a9153-1689-4b1e-9688-cca5159a3879",10034,"Other","datetime","2020-04-28T19:04:28.000000+0000","",0,1588397077,"last-submission","","c72b1de1-d5e2-4668-8f4e-86e11f242d9b","virustotal-report","misc"
"2e36356b-b65a-4c6b-be99-dffa4b7ec346",10034,"Other","text","28/58","",0,1588397077,"detection-ratio","","c72b1de1-d5e2-4668-8f4e-86e11f242d9b","virustotal-report","misc"

