uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eb03e52-138c-4e20-9e92-4fbbc0a8018c",10313,"Payload delivery","filename","jigoku.arm7","",0,1588608594,"","","","",""
"5eb03e52-91d4-40a8-8cda-4fbbc0a8018c",10313,"Payload delivery","md5","ef973e6347d092eb18cc54355690fe8a","",1,1588608594,"","","","",""
"5eb03e52-9f44-4fc7-a496-4fbbc0a8018c",10313,"Payload delivery","sha1","8c922837adb5dfb9efcb94a2fdb1785fc36da25d","",1,1588608594,"","","","",""
"5eb03e52-a634-498e-a049-4fbbc0a8018c",10313,"Payload delivery","sha256","bbb6055628019c5ab298d29a13043b84d895235fa5c45afca8cd1dd294f5c573","",1,1588608594,"","","","",""
"5eb03e52-4b88-49fe-84ac-4fbbc0a8018c",10313,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1588608594,"","","","",""
"5eb03e52-9340-4b8d-b48b-4fbbc0a8018c",10313,"Network activity","url","http://192.236.146.53:1691/jigoku.arm7","",1,1588608594,"","","","",""
"5eb03e52-3584-4f74-b379-4fbbc0a8018c",10313,"Network activity","ip-dst","192.236.146.53","",1,1588608594,"","","","",""
"313eb940-620e-4156-b26e-83cf8c1e8e99",10313,"External analysis","link","https://www.virustotal.com/gui/file/bbb6055628019c5ab298d29a13043b84d895235fa5c45afca8cd1dd294f5c573/detection","",0,1588608595,"permalink","","cbca6796-1c04-4c2e-89cf-49224c20ddfd","virustotal-report","misc"
"e14b7ae0-17f9-4ac6-9809-a96d3cb1b8b1",10313,"Other","datetime","2020-05-04T12:50:46.000000+0000","",0,1588608595,"last-submission","","cbca6796-1c04-4c2e-89cf-49224c20ddfd","virustotal-report","misc"
"3092333d-f2f6-4fc3-bf99-a55428b3301d",10313,"Other","text","27/59","",0,1588608595,"detection-ratio","","cbca6796-1c04-4c2e-89cf-49224c20ddfd","virustotal-report","misc"

