uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eb065b0-04fc-4f8a-9c12-5132c0a8018c",10347,"Payload delivery","filename","DFhxdhdf","",0,1588618672,"","","","",""
"5eb065b0-eef0-4c23-bda7-5132c0a8018c",10347,"Payload delivery","md5","f2b94b41a7cd2d153917e61f4b404b68","",1,1588618672,"","","","",""
"5eb065b0-be44-4d3f-8aab-5132c0a8018c",10347,"Payload delivery","sha1","00da71745ef350a07f6e0ebe873b459a2af10223","",1,1588618672,"","","","",""
"5eb065b0-8ee8-4996-9545-5132c0a8018c",10347,"Payload delivery","sha256","968749ed18a9a1accfd540585f3b55ae14acdb5598523f026f1954084a119dba","",1,1588618672,"","","","",""
"5eb065b0-3110-4682-9436-5132c0a8018c",10347,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, not stripped","",0,1588618672,"","","","",""
"5eb065b0-6d3c-40ed-bcbc-5132c0a8018c",10347,"Network activity","url","http://51.89.119.154/DFhxdhdf","",1,1588618672,"","","","",""
"5eb065b0-b630-4c68-84ec-5132c0a8018c",10347,"Network activity","ip-dst","51.89.119.154","",1,1588618672,"","","","",""
"9c110e63-a208-4d1f-9437-3acd8f2058d4",10347,"External analysis","link","https://www.virustotal.com/gui/file/968749ed18a9a1accfd540585f3b55ae14acdb5598523f026f1954084a119dba/detection","",0,1588618672,"permalink","","1aa23937-9ea8-4a4a-a5a0-9d7b048f97fd","virustotal-report","misc"
"00d2f8ae-9965-44f5-926f-8bc9f2072071",10347,"Other","datetime","2020-05-04T14:51:40.000000+0000","",0,1588618672,"last-submission","","1aa23937-9ea8-4a4a-a5a0-9d7b048f97fd","virustotal-report","misc"
"4c07aa81-d0da-428f-b62c-8accf0be8537",10347,"Other","text","34/60","",0,1588618672,"detection-ratio","","1aa23937-9ea8-4a4a-a5a0-9d7b048f97fd","virustotal-report","misc"

