uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eb0b638-3fa8-4ce5-99b7-5671c0a80102",3205,"Payload delivery","filename","333EYJSFYHMS.exe","",0,1588639288,"","","","",""
"5eb0b638-06a8-464c-9ff5-5671c0a80102",3205,"Payload delivery","md5","dfc709ce62b18fa60e4828df3212514d","",1,1588639288,"","","","",""
"5eb0b638-939c-4b1d-b7c4-5671c0a80102",3205,"Payload delivery","sha1","e0184d0b142edcf9581c2caa9fd6409085e28157","",1,1588639288,"","","","",""
"5eb0b638-8570-4004-8e60-5671c0a80102",3205,"Payload delivery","sha256","0b4c2233a29e0ad6413fa8ad5d3bdbbe8b0020cf5bcdabe8f7bbb7a6828eb924","",1,1588639288,"","","","",""
"5eb0b638-9214-4f60-ac73-5671c0a80102",3205,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1588639288,"","","","",""
"5eb0b638-4cd8-45b6-b84d-5671c0a80102",3205,"Payload delivery","imphash","30625d671f2d3abf2a3e2df54581f47b","",0,1588639288,"","","","",""
"5eb0b638-7bc8-4894-b52a-5671c0a80102",3205,"Network activity","url","https://toulousa.com/omg/333EYJSFYHMS.exe","",1,1588639288,"","","","",""
"5eb0b638-76fc-4410-aa9a-5671c0a80102",3205,"Network activity","domain","toulousa.com","",1,1588639288,"","","","",""
"14bdce3d-78b2-4c76-be99-8090b884f5f5",3205,"Other","text",".text","",0,1588639292,"name","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"cb33a151-d1ee-4311-a6b2-9d937084bfb1",3205,"Payload delivery","md5","89c8ab79c64cd1cbdfa4f8428f024e8c","",1,1588639292,"md5","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"7a7ddc6b-2f62-4ab9-84c3-1e6014f073a2",3205,"Payload delivery","sha1","e308fd800663f225385f1878bc8ffac7bdd2e66a","",1,1588639292,"sha1","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"7bc1b4c2-ca78-452a-ac98-d6319e76673c",3205,"Payload delivery","sha256","549200e6cd7563bcd47c7e07d3b9fdfd0af88a12aab89051617e0612b5ef4fdc","",1,1588639292,"sha256","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"fe32883d-bcd3-487c-931d-2bc25582b100",3205,"Other","size-in-bytes",352256,"",0,1588639292,"size-in-bytes","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"318a9ecc-7d21-4abb-bcf2-148cefe2dabb",3205,"Other","float",6.27685,"",0,1588639292,"entropy","","0522349d-1a50-4a3a-bae2-f55028d278f0","pe-section","file"
"c37934f8-9f38-4201-aee0-6e331f319745",3205,"Other","text",".data","",0,1588639293,"name","","249ef682-b9cf-4e68-b8f5-9693944cdb6b","pe-section","file"
"4a63cf97-dd20-4d72-8d8c-07b56823f024",3205,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1588639294,"md5","","249ef682-b9cf-4e68-b8f5-9693944cdb6b","pe-section","file"
"435f1ec1-2633-41be-bc4e-bf83b805f361",3205,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1588639294,"sha1","","249ef682-b9cf-4e68-b8f5-9693944cdb6b","pe-section","file"
