uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eb2e67e-b834-46c3-97ec-6dffc0a80102",3564,"Payload delivery","filename","F0AS2F4AS01FA4.luk","",0,1588782718,"","","","",""
"5eb2e67e-d95c-4bff-b6ba-6dffc0a80102",3564,"Payload delivery","md5","13768a2d0b6ce070fa675fab12124c60","",1,1588782718,"","","","",""
"5eb2e67e-0a44-4ef8-ad9e-6dffc0a80102",3564,"Payload delivery","sha1","8dea168651f693416f2fa1fc395d22e3fc9b390e","",1,1588782718,"","","","",""
"5eb2e67e-cbc4-4c80-8fe2-6dffc0a80102",3564,"Payload delivery","sha256","8e17be97fad284300142323c42f0eb352dae833bac0a0e1f21e25b4cbced38b2","",1,1588782718,"","","","",""
"5eb2e67e-f534-40f9-8d1f-6dffc0a80102",3564,"Payload delivery","mime-type","Zip archive data, at least v2.0 to extract","",0,1588782718,"","","","",""
"5eb2e67e-e92c-4005-b2d7-6dffc0a80102",3564,"Network activity","url","http://borawebservicioscl1.com/desporto/F0AS2F4AS01FA4.luk","",1,1588782718,"","","","",""
"5eb2e67e-3ef0-46c8-8afa-6dffc0a80102",3564,"Network activity","domain","borawebservicioscl1.com","",1,1588782718,"","","","",""
"476501f9-02a6-48e8-81c7-fb0bb76df1b8",3564,"External analysis","link","https://www.virustotal.com/gui/file/8e17be97fad284300142323c42f0eb352dae833bac0a0e1f21e25b4cbced38b2/detection","",0,1588782718,"permalink","","f3c4baa2-5c31-4225-96ad-d3363610b30d","virustotal-report","misc"
"fdb326f5-7ec2-495a-bd0b-4cea5a9efe79",3564,"Other","datetime","2020-05-06T14:10:24.000000+0000","",0,1588782718,"last-submission","","f3c4baa2-5c31-4225-96ad-d3363610b30d","virustotal-report","misc"
"d2c95c37-147a-49d0-a10b-3a7144d88014",3564,"Other","text","23/66","",0,1588782718,"detection-ratio","","f3c4baa2-5c31-4225-96ad-d3363610b30d","virustotal-report","misc"

