uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eb3e6dd-d640-42db-a396-1c5bc0a80102",3729,"Payload delivery","filename","Extendo.m68k","",0,1588848349,"","","","",""
"5eb3e6dd-167c-432b-9b2c-1c5bc0a80102",3729,"Payload delivery","md5","7b485c80f36688519ba0e1c8f0681950","",1,1588848349,"","","","",""
"5eb3e6dd-e5f0-49b5-ae2b-1c5bc0a80102",3729,"Payload delivery","sha1","fdf0f5ac8ac08b4c3f465b36cf2952c3d5b0301a","",1,1588848349,"","","","",""
"5eb3e6dd-db48-4ce6-9b9d-1c5bc0a80102",3729,"Payload delivery","sha256","b4d9f50ef3c50ac89a2b6680a7441eb3869bc0cbdc17a8d92ff862c642b74162","",1,1588848349,"","","","",""
"5eb3e6dd-6954-4eaf-bf4b-1c5bc0a80102",3729,"Payload delivery","mime-type","ELF 32-bit MSB executable, Motorola m68k, 68020, version 1 (SYSV), statically linked, stripped","",0,1588848349,"","","","",""
"5eb3e6dd-d6ec-4c00-93c9-1c5bc0a80102",3729,"Network activity","url","http://52.255.143.183/AB4g5/Extendo.m68k","",1,1588848349,"","","","",""
"5eb3e6dd-6970-4226-8fd9-1c5bc0a80102",3729,"Network activity","ip-dst","52.255.143.183","",1,1588848349,"","","","",""
"022af73c-518c-46fc-9af2-0d08086aa152",3729,"External analysis","link","https://www.virustotal.com/gui/file/b4d9f50ef3c50ac89a2b6680a7441eb3869bc0cbdc17a8d92ff862c642b74162/detection","",0,1588848349,"permalink","","b50b101b-96b8-4e6e-a2a3-1964c8924d65","virustotal-report","misc"
"a0027d4f-dc53-4e85-8835-0f25545bc790",3729,"Other","datetime","2020-05-06T23:30:56.000000+0000","",0,1588848349,"last-submission","","b50b101b-96b8-4e6e-a2a3-1964c8924d65","virustotal-report","misc"
"9d0ac6ba-1e80-4196-aafb-a08aa5e89815",3729,"Other","text","32/58","",0,1588848349,"detection-ratio","","b50b101b-96b8-4e6e-a2a3-1964c8924d65","virustotal-report","misc"

