uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ebcc112-dc94-406b-9b08-53a4c0a80102",5081,"Payload delivery","filename","Ayedz.Armv61","",0,1589428498,"","","","",""
"5ebcc112-0028-4c16-b6ea-53a4c0a80102",5081,"Payload delivery","md5","329232617aaf6442cd2199ac08bb57f7","",1,1589428498,"","","","",""
"5ebcc112-f428-4969-89a3-53a4c0a80102",5081,"Payload delivery","sha1","867be10d3ddb59d84629c9ce843645464a6eb28e","",1,1589428498,"","","","",""
"5ebcc112-4290-4f1a-a7ed-53a4c0a80102",5081,"Payload delivery","sha256","86663fd0f58303fe405b87a6c878ef7a224fd660528451f021435f79344800ba","",1,1589428498,"","","","",""
"5ebcc112-d3e8-4b6c-8a2e-53a4c0a80102",5081,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1589428498,"","","","",""
"5ebcc112-1540-4935-8ed3-53a4c0a80102",5081,"Network activity","url","http://45.11.180.141/Ayedz.Armv61","",1,1589428498,"","","","",""
"5ebcc113-baa8-4e07-887c-53a4c0a80102",5081,"Network activity","ip-dst","45.11.180.141","",1,1589428499,"","","","",""
"e53ee964-fffa-4647-9660-2a8bb7808508",5081,"External analysis","link","https://www.virustotal.com/gui/file/86663fd0f58303fe405b87a6c878ef7a224fd660528451f021435f79344800ba/detection","",0,1589428499,"permalink","","ceaf846f-bebe-44d2-af5a-f28d02eac150","virustotal-report","misc"
"34a7816c-3e41-42c1-b4c6-1b6b81fbc276",5081,"Other","datetime","2020-05-14T01:07:27.000000+0000","",0,1589428499,"last-submission","","ceaf846f-bebe-44d2-af5a-f28d02eac150","virustotal-report","misc"
"32bcce12-d3eb-4899-a71e-be6fad7662ba",5081,"Other","text","33/59","",0,1589428499,"detection-ratio","","ceaf846f-bebe-44d2-af5a-f28d02eac150","virustotal-report","misc"

