uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ec54f2c-f380-44da-88ff-2d15c0a80102",6442,"Payload delivery","filename","temp.exe","",0,1589989164,"","","","",""
"5ec54f2c-f03c-4106-a106-2d15c0a80102",6442,"Payload delivery","md5","9a9fb28fc1d8975435cdc4dcf8181c60","",1,1589989164,"","","","",""
"5ec54f2c-ca18-466c-b2f3-2d15c0a80102",6442,"Payload delivery","sha1","a68966d3d7e45d415e3f3f500449052a7f8d58e9","",1,1589989164,"","","","",""
"5ec54f2c-91fc-4699-b384-2d15c0a80102",6442,"Payload delivery","sha256","da84453f047b0c5e2a88e6ba46a11f390b4944f7c7f45563e19aef895c196e8e","",1,1589989164,"","","","",""
"5ec54f2c-9798-4130-a40f-2d15c0a80102",6442,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1589989164,"","","","",""
"5ec54f2c-9528-46c5-a215-2d15c0a80102",6442,"Payload delivery","imphash","7c155aa3c75b5b5baa5ee6e90791bd1e","",0,1589989164,"","","","",""
"5ec54f2c-f8a8-430d-ab05-2d15c0a80102",6442,"Network activity","url","http://5.206.224.171/private/temp.exe","",1,1589989164,"","","","",""
"5ec54f2c-aef8-4bd9-8b37-2d15c0a80102",6442,"Network activity","ip-dst","5.206.224.171","",1,1589989164,"","","","",""
"10ab68ef-ba0b-4636-9d56-1ce2da8797aa",6442,"Other","text",".text","",0,1589989164,"name","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"5160f565-7d7a-44b3-849c-22867ab79cad",6442,"Payload delivery","md5","da3709fbeb326a83a369a2b02d7f27ce","",1,1589989164,"md5","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"c432d693-6a20-4ade-99a5-dbff5ca990dd",6442,"Payload delivery","sha1","1aa4f7e52e6a90e5596ccec9f11f79e6a23363ab","",1,1589989165,"sha1","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"10d2b6a6-545a-4f0e-ad8f-2637ea83159f",6442,"Payload delivery","sha256","e266f7b04338753f4a3643f5bc4f7f041d8eee05b755ffccf78c4d31242a1ee1","",1,1589989165,"sha256","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"d3e4c574-6095-4ee8-9f72-ea3f172336e0",6442,"Other","size-in-bytes",102400,"",0,1589989165,"size-in-bytes","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"9d0a450f-9659-4889-8be7-a9d3d08a8c94",6442,"Other","float",4.47831,"",0,1589989165,"entropy","","d3baadc3-cbba-4e4d-8375-5421a5bcf516","pe-section","file"
"e0f57b28-f935-4edc-b32e-7aabde0d96db",6442,"Other","text",".data","",0,1589989165,"name","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"1736a213-b6ed-4e65-8f6b-45b74b5c3704",6442,"Payload delivery","md5","620f0b67a91f7f74151bc5be745b7110","",1,1589989165,"md5","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"26ab5145-ff22-4e20-a538-168ea9f6bd5d",6442,"Payload delivery","sha1","1ceaf73df40e531df3bfb26b4fb7cd95fb7bff1d","",1,1589989165,"sha1","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"e082fa35-8d80-4c73-9c9f-462666739286",6442,"Payload delivery","sha256","ad7facb2586fc6e966c004d7d1d16b024f5805ff7cb47c7a85dabd8b48892ca7","",1,1589989165,"sha256","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"8fb7a7a9-d3bd-4b95-a887-20c9ec961b71",6442,"Other","size-in-bytes",4096,"",0,1589989165,"size-in-bytes","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"50f9928f-f49b-492f-afa0-a32826f799d6",6442,"Other","float",0.0,"",0,1589989165,"entropy","","1b9f0136-4cbb-44d1-9b10-126fb8988a03","pe-section","file"
"6a983145-a249-4d4a-b9d7-e6545e2bbde9",6442,"Other","text",".rsrc","",0,1589989166,"name","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"
"ba81dc7c-f88a-4825-9ec5-e7c2c4bda8d5",6442,"Payload delivery","md5","1655a231e6c90b3695768e3f2759d7e0","",1,1589989167,"md5","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"
"149e83d1-1658-452d-a862-12da2cfbafbb",6442,"Payload delivery","sha1","a6ffef54a3ef3f46407e78f1520f56c4c1b47842","",1,1589989168,"sha1","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"
"6a03ae61-6b69-4a6e-8ab3-a1c97b087256",6442,"Payload delivery","sha256","011d3f95d04ddc3ce4214bda26a12844346fdbb194e52eda4b81fed109f7efc3","",1,1589989168,"sha256","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"
"1875ff09-f67c-48d6-89a2-d2be6b65439b",6442,"Other","size-in-bytes",4096,"",0,1589989168,"size-in-bytes","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"
"ac92a490-90b8-4772-9c37-7a7e4dc74fa9",6442,"Other","float",1.93348,"",0,1589989168,"entropy","","b1cb985c-eb57-4e96-a5b6-925c85d2255c","pe-section","file"

