uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ec6acc8-e124-44f3-93da-7b49c0a80102",6816,"Payload delivery","filename","500B7Ai1.exe","",0,1590078664,"","","","",""
"5ec6acc8-00d8-43be-a9e5-7b49c0a80102",6816,"Payload delivery","md5","da158e9233b93055a2948531dec5b6c0","",1,1590078664,"","","","",""
"5ec6acc8-7de8-40da-a7a4-7b49c0a80102",6816,"Payload delivery","sha1","f7d8a4c5724429e8389d454497d58f81a8d65604","",1,1590078664,"","","","",""
"5ec6acc8-f328-4a30-854d-7b49c0a80102",6816,"Payload delivery","sha256","79ca45d8d245d463c5f528ffc1206ca384d7c75bd73db3b6b3153ef9bba2e13d","",1,1590078664,"","","","",""
"5ec6acc8-1a1c-427c-a3f1-7b49c0a80102",6816,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1590078664,"","","","",""
"5ec6acc8-4b74-41c9-8291-7b49c0a80102",6816,"Payload delivery","imphash","c8c95a8437da5797cf192c4cf27b186f","",0,1590078664,"","","","",""
"5ec6acc8-6df4-4ab5-a900-7b49c0a80102",6816,"Network activity","url","http://bespokemerchandises.com/wrong/500B7Ai1.exe","",1,1590078664,"","","","",""
"5ec6acc8-8aa8-42ad-bf5b-7b49c0a80102",6816,"Network activity","domain","bespokemerchandises.com","",1,1590078664,"","","","",""
"d49d02e1-e9de-48ca-b318-b5b5ef5baad6",6816,"Other","text",".text","",0,1590078666,"name","","c9e3a433-dcd9-4dd1-8f71-1b321309ba07","pe-section","file"
"b2f32aac-d7c6-4855-ae69-e37a829902e2",6816,"Payload delivery","md5","5cd3942de5ea918bbe1dece4a4444b1f","",1,1590078666,"md5","","c9e3a433-dcd9-4dd1-8f71-1b321309ba07","pe-section","file"
"d51c94e5-601c-4172-b195-50a9e6cc4b1d",6816,"Payload delivery","sha1","0a086b72b81b0e26abd9b19a659f283212a1648a","",1,1590078666,"sha1","","c9e3a433-dcd9-4dd1-8f71-1b321309ba07","pe-section","file"
"5d88a043-b54e-4bfd-bbcf-c6e7a7eaa799",6816,"Payload delivery","sha256","c4a0d4ccc76454ebf9db97e3e70c35a90199d23f3e8f05d2f3fa40f0dc3fb409","",1,1590078666,"sha256","","c9e3a433-dcd9-4dd1-8f71-1b321309ba07","pe-section","file"
