uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ed99a36-871c-4e97-aa07-38dfc0a80102",10401,"Payload delivery","filename","187w55a4r.exe","",0,1591319094,"","","","",""
"5ed99a36-514c-4c4e-a4c1-38dfc0a80102",10401,"Payload delivery","md5","9151875c343d83c6d20540b701a111e6","",1,1591319094,"","","","",""
"5ed99a36-42cc-4c1e-8443-38dfc0a80102",10401,"Payload delivery","sha1","430c2d318e985abf7a75f7443d076ee69d0fd9c4","",1,1591319094,"","","","",""
"5ed99a36-897c-435d-b796-38dfc0a80102",10401,"Payload delivery","sha256","8190320d71768d12e4c58c7e69c4cd06c088d982fd8e16cfb0fd76377a8e77e0","",1,1591319094,"","","","",""
"5ed99a36-2ef4-4ce2-b298-38dfc0a80102",10401,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1591319094,"","","","",""
"5ed99a36-888c-4d00-be33-38dfc0a80102",10401,"Payload delivery","imphash","e140a623d7146bf12857928255944bfc","",0,1591319094,"","","","",""
"5ed99a36-03dc-474d-be42-38dfc0a80102",10401,"Network activity","url","http://www.adrelatemedia.com/haidress/187w55a4r.exe","",1,1591319094,"","","","",""
"5ed99a36-1ea0-4c35-b9f3-38dfc0a80102",10401,"Network activity","domain","www.adrelatemedia.com","",1,1591319094,"","","","",""
"51c220a1-e6be-422b-acf5-f2c84f1597a0",10401,"Other","text",".text","",0,1591319095,"name","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"b8baad2d-e353-416c-aa93-410336754f24",10401,"Payload delivery","md5","63c9151a8921040d7361e28d5286b118","",1,1591319095,"md5","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"8b4c2c5f-4f2d-4c83-a9c2-49d14f3dada1",10401,"Payload delivery","sha1","c00bf6166fd9010cfd58be7028e933718e757749","",1,1591319095,"sha1","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"95dae5c3-8901-42fa-9f0f-025d2273ad10",10401,"Payload delivery","sha256","245c3e7ad6d9ba471fe6f1af0a6234cc08de2bbb8ce73d54d5126958e861cfe0","",1,1591319095,"sha256","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"13029d6e-7bf4-4c48-a04e-e377cabdf1e7",10401,"Other","size-in-bytes",231424,"",0,1591319095,"size-in-bytes","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"a9f21aa2-24ce-4b6b-abdc-b406e92f43c6",10401,"Other","float",5.08273,"",0,1591319095,"entropy","","f8435a30-1fd7-40da-b50f-d0b3c5356313","pe-section","file"
"4cd814d3-7912-4cfa-8508-d105c3aa5234",10401,"Other","text",".data","",0,1591319096,"name","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"52975a4d-cb05-4903-9597-db6b3070a4f2",10401,"Payload delivery","md5","6054a6a9e0ca0747eb25090d334ecf45","",1,1591319096,"md5","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"fb1cedcf-bae4-4310-bc73-258e28897b2e",10401,"Payload delivery","sha1","b4d998b12dde6b99fde0cbbd69fec8b8dbe629e8","",1,1591319096,"sha1","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"2f7a0f8f-82c8-4cf9-bc19-730824e11b37",10401,"Payload delivery","sha256","bc81ea6c1b289e3d348cc598c9a43e44588d060a0f6dd73cec9ab6be340ce476","",1,1591319096,"sha256","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"601fb3a8-69ef-4d5a-b3ce-0786217500ea",10401,"Other","size-in-bytes",226816,"",0,1591319097,"size-in-bytes","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"e952ec5b-b00b-4d83-8a2d-53b68c0acdab",10401,"Other","float",4.32299,"",0,1591319097,"entropy","","18d7bf32-7bfa-465e-a815-19bb0d0d0c7b","pe-section","file"
"8c154516-3fb8-44a0-aa95-c7e2295fe7f2",10401,"Other","text",".rsrc","",0,1591319098,"name","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"d72fada0-445c-4502-b9ad-123cb2fe6f27",10401,"Payload delivery","md5","55b26522957ac77d4bc10abaa1cc1b08","",1,1591319098,"md5","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"fce361b2-4a5a-4e93-909b-91a98ad9c23e",10401,"Payload delivery","sha1","964825fddf3f55ddc0136c9535807c065eb9bac9","",1,1591319098,"sha1","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"6bee2d8f-fd54-4700-a0e7-d0195ec9f460",10401,"Payload delivery","sha256","36e099aede9871d1f54d30025b295a10b607f0f9f5f852e92ca8c88b74731c4d","",1,1591319098,"sha256","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"150dd605-56c0-44e1-9936-720a75620add",10401,"Other","size-in-bytes",4608,"",0,1591319098,"size-in-bytes","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"5f8b5ce4-1989-410d-aa39-4bb2b745323c",10401,"Other","float",3.67872,"",0,1591319098,"entropy","","1a2aab8b-2023-4e5d-af8c-522c58434d5a","pe-section","file"
"4cd2dc1f-c213-4472-bf75-5b707ab73475",10401,"External analysis","link","https://www.virustotal.com/gui/file/8190320d71768d12e4c58c7e69c4cd06c088d982fd8e16cfb0fd76377a8e77e0/detection","",0,1591319099,"permalink","","9e299195-b6f2-4e19-abf8-c64568810662","virustotal-report","misc"
"889874c1-e240-40ff-ab24-d7e10d32d1b2",10401,"Other","datetime","2020-06-05T00:02:04.000000+0000","",0,1591319099,"last-submission","","9e299195-b6f2-4e19-abf8-c64568810662","virustotal-report","misc"
"a44661f0-3eae-402d-ac61-ec012763e9e3",10401,"Other","text","16/72","",0,1591319099,"detection-ratio","","9e299195-b6f2-4e19-abf8-c64568810662","virustotal-report","misc"

