uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ed9a23a-c048-40f3-a5b7-3ac0c0a80102",10430,"Payload delivery","filename","632w55a4r.exe","",0,1591321146,"","","","",""
"5ed9a23a-3820-4df9-8e51-3ac0c0a80102",10430,"Payload delivery","md5","7f9fcb61b5cc9499401cee13d695b92a","",1,1591321146,"","","","",""
"5ed9a23a-820c-4978-9ca3-3ac0c0a80102",10430,"Payload delivery","sha1","b911540f872f738983be7c4cfaf019e704135f90","",1,1591321146,"","","","",""
"5ed9a23a-fdf8-4fb2-b20a-3ac0c0a80102",10430,"Payload delivery","sha256","73b6776618348d83a6737914b963dd8eb8cfd358c72370728e43589aeffb7b8d","",1,1591321146,"","","","",""
"5ed9a23a-66f8-47b1-802d-3ac0c0a80102",10430,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1591321146,"","","","",""
"5ed9a23a-3b40-4822-aebb-3ac0c0a80102",10430,"Payload delivery","imphash","e140a623d7146bf12857928255944bfc","",0,1591321146,"","","","",""
"5ed9a23a-0af0-4554-8f75-3ac0c0a80102",10430,"Network activity","url","http://www.adrelatemedia.com/haidress/632w55a4r.exe","",1,1591321146,"","","","",""
"5ed9a23a-cdec-4f36-8ca8-3ac0c0a80102",10430,"Network activity","domain","www.adrelatemedia.com","",1,1591321146,"","","","",""
"5ed9b4d8-0cdc-489b-a9fa-3928c0a80102",10430,"Payload delivery","filename","722w55a4r.exe","",0,1591325912,"","","","",""
"15f29f89-acc3-4d4c-ade9-7af34afb63a1",10430,"Other","text",".text","",0,1591321148,"name","","32dcda0a-f8dc-45a4-bc4a-f95095fef01f","pe-section","file"
"d6a51c17-d180-457a-8236-2af995de765b",10430,"Payload delivery","md5","63c9151a8921040d7361e28d5286b118","",1,1591321148,"md5","","32dcda0a-f8dc-45a4-bc4a-f95095fef01f","pe-section","file"
"5faf12d7-db4d-4cbb-8b2d-9f1f445d7d50",10430,"Payload delivery","sha1","c00bf6166fd9010cfd58be7028e933718e757749","",1,1591321148,"sha1","","32dcda0a-f8dc-45a4-bc4a-f95095fef01f","pe-section","file"
"ee173f65-945d-4a52-91c6-4b5267ddb02b",10430,"Payload delivery","sha256","245c3e7ad6d9ba471fe6f1af0a6234cc08de2bbb8ce73d54d5126958e861cfe0","",1,1591321148,"sha256","","32dcda0a-f8dc-45a4-bc4a-f95095fef01f","pe-section","file"
