uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ed9abae-2a30-4e4f-9bee-3ac0c0a80102",10461,"Payload delivery","filename","676w55a4r.exe","",0,1591323566,"","","","",""
"5ed9abae-0f8c-47ce-849a-3ac0c0a80102",10461,"Payload delivery","md5","e0fd95b7c44968099488e8119ecbdc94","",1,1591323566,"","","","",""
"5ed9abae-94d0-4692-a555-3ac0c0a80102",10461,"Payload delivery","sha1","d6a3a39cb9d2fe7515a86ea7f252d61418a371e1","",1,1591323566,"","","","",""
"5ed9abae-4ab0-4689-a386-3ac0c0a80102",10461,"Payload delivery","sha256","c9e8b3bbd80bf51b4cffceb616aafa3f67d3debb254e9fbac1606ce09d5e613b","",1,1591323566,"","","","",""
"5ed9abae-99e8-4b0f-adff-3ac0c0a80102",10461,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1591323566,"","","","",""
"5ed9abae-d95c-4ea1-bf57-3ac0c0a80102",10461,"Payload delivery","imphash","e140a623d7146bf12857928255944bfc","",0,1591323566,"","","","",""
"5ed9abae-cc34-43f0-9b5b-3ac0c0a80102",10461,"Network activity","url","http://www.adrelatemedia.com/haidress/676w55a4r.exe","",1,1591323566,"","","","",""
"5ed9abae-df54-4e1a-86a6-3ac0c0a80102",10461,"Network activity","domain","www.adrelatemedia.com","",1,1591323566,"","","","",""
"7a20e2c4-ab68-46b3-b03c-d55cb7c7ae48",10461,"Other","text",".text","",0,1591323567,"name","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"a0ff542b-f411-402a-94ec-5364d55a6e8f",10461,"Payload delivery","md5","63c9151a8921040d7361e28d5286b118","",1,1591323567,"md5","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"46324cbd-4976-463d-af49-11b3d42d1ac3",10461,"Payload delivery","sha1","c00bf6166fd9010cfd58be7028e933718e757749","",1,1591323567,"sha1","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"11ac905a-b05a-4c54-8e1e-bdc867646c25",10461,"Payload delivery","sha256","245c3e7ad6d9ba471fe6f1af0a6234cc08de2bbb8ce73d54d5126958e861cfe0","",1,1591323567,"sha256","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"bbe25478-d746-473c-867a-7dafb1eb9f46",10461,"Other","size-in-bytes",231424,"",0,1591323567,"size-in-bytes","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"0b29ae83-37cb-4e5a-b65f-6cebefeffa38",10461,"Other","float",5.08273,"",0,1591323567,"entropy","","33d3c0de-c668-4d6e-b511-93ba1ceafa42","pe-section","file"
"7d2ae78d-18ae-4918-9b6d-3109b58bb7c4",10461,"Other","text",".data","",0,1591323569,"name","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"ca32ad8b-f3a5-4502-a4c1-8f44ec0270b4",10461,"Payload delivery","md5","6054a6a9e0ca0747eb25090d334ecf45","",1,1591323570,"md5","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"2ed4f64b-a076-4d6c-a60e-b1decbaec50c",10461,"Payload delivery","sha1","b4d998b12dde6b99fde0cbbd69fec8b8dbe629e8","",1,1591323570,"sha1","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"38e16f2f-660d-4558-acdb-1f704e22f975",10461,"Payload delivery","sha256","bc81ea6c1b289e3d348cc598c9a43e44588d060a0f6dd73cec9ab6be340ce476","",1,1591323571,"sha256","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"6d0f95da-b109-48a2-b27b-66aa6020a5e9",10461,"Other","size-in-bytes",226816,"",0,1591323572,"size-in-bytes","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"460964cf-9cf6-4855-95cc-79be1f9e74f1",10461,"Other","float",4.32299,"",0,1591323572,"entropy","","48c4ed2c-4058-41a8-afab-7effb94d47c8","pe-section","file"
"729d8cee-ab42-4ddc-ad12-bd29f4b4a702",10461,"Other","text",".rsrc","",0,1591323576,"name","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"41932b28-07ac-48ba-90cf-45cc7a977bd5",10461,"Payload delivery","md5","55b26522957ac77d4bc10abaa1cc1b08","",1,1591323576,"md5","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"cbe36286-3969-448c-99cb-8fbe72111168",10461,"Payload delivery","sha1","964825fddf3f55ddc0136c9535807c065eb9bac9","",1,1591323576,"sha1","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"e1afc447-f6b8-48cf-8273-59caf280e1e9",10461,"Payload delivery","sha256","36e099aede9871d1f54d30025b295a10b607f0f9f5f852e92ca8c88b74731c4d","",1,1591323576,"sha256","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"b4062028-60c8-432d-9ea3-fd2cda60fba3",10461,"Other","size-in-bytes",4608,"",0,1591323576,"size-in-bytes","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"20f3d8e0-c4bf-4ff1-aa7a-905c4131126a",10461,"Other","float",3.67872,"",0,1591323576,"entropy","","296473d8-8db9-4ee8-99ea-c516a4a6829f","pe-section","file"
"4dcfecb7-ace4-4585-8db6-fd5914c8d36d",10461,"External analysis","link","https://www.virustotal.com/gui/file/c9e8b3bbd80bf51b4cffceb616aafa3f67d3debb254e9fbac1606ce09d5e613b/detection","",0,1591323578,"permalink","","5c5e08b8-9ccd-44f5-8216-3b98a754b21e","virustotal-report","misc"
"e2c4e8bc-d8cb-456e-a032-051dee891c36",10461,"Other","datetime","2020-06-04T23:41:51.000000+0000","",0,1591323584,"last-submission","","5c5e08b8-9ccd-44f5-8216-3b98a754b21e","virustotal-report","misc"
"8232f129-e45c-498b-9499-9dc918ab4aef",10461,"Other","text","15/73","",0,1591323584,"detection-ratio","","5c5e08b8-9ccd-44f5-8216-3b98a754b21e","virustotal-report","misc"

