uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ed9f378-65fc-4762-bdf1-38a9c0a80102",10718,"Payload delivery","filename","543dsdfsdfsdf.exe","",0,1591341944,"","","","",""
"5ed9f378-5bb8-458c-a4aa-38a9c0a80102",10718,"Payload delivery","md5","6755f6d986bd848cacfaef45fb8bd4cf","",1,1591341944,"","","","",""
"5ed9f378-1cd0-473a-9665-38a9c0a80102",10718,"Payload delivery","sha1","fb45a690e751465cef3f5e6136c5de25179c1b18","",1,1591341944,"","","","",""
"5ed9f378-3eec-4c14-a6e5-38a9c0a80102",10718,"Payload delivery","sha256","14591f6fe1123d845665a8b0cd61bd55706d4ed9bc1f75660233174453bdb22c","",1,1591341944,"","","","",""
"5ed9f378-02c0-4c38-86a9-38a9c0a80102",10718,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1591341944,"","","","",""
"5ed9f378-3d98-402f-8468-38a9c0a80102",10718,"Payload delivery","imphash","e140a623d7146bf12857928255944bfc","",0,1591341944,"","","","",""
"5ed9f378-d160-43fe-a34a-38a9c0a80102",10718,"Network activity","url","http://www.adrelatemedia.com/haidress/543dsdfsdfsdf.exe","",1,1591341944,"","","","",""
"5ed9f378-24ac-451c-a9f6-38a9c0a80102",10718,"Network activity","domain","www.adrelatemedia.com","",1,1591341944,"","","","",""
"b64bca27-c72a-4689-90aa-e4709ca6bef9",10718,"Other","text",".text","",0,1591341945,"name","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"95585e7f-7ed0-4acd-b7c6-da3865a9b5f9",10718,"Payload delivery","md5","63c9151a8921040d7361e28d5286b118","",1,1591341945,"md5","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"b0c8e524-0e18-4ef6-ad44-6646b9d46bc4",10718,"Payload delivery","sha1","c00bf6166fd9010cfd58be7028e933718e757749","",1,1591341945,"sha1","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"0025cae8-bc8c-4e62-ae09-a307db8ab350",10718,"Payload delivery","sha256","245c3e7ad6d9ba471fe6f1af0a6234cc08de2bbb8ce73d54d5126958e861cfe0","",1,1591341945,"sha256","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"f18a6c74-eb07-45b7-b9e1-48bb6acc9a73",10718,"Other","size-in-bytes",231424,"",0,1591341945,"size-in-bytes","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"1046632c-ef9d-4d43-88ff-25c6d4efa567",10718,"Other","float",5.08273,"",0,1591341945,"entropy","","ad7857d4-23ff-4f62-b7e7-c75fa0e93036","pe-section","file"
"e46b9fc5-bd9e-4d2d-942b-c4903e3434c3",10718,"Other","text",".data","",0,1591341946,"name","","c876ea46-1af6-49aa-bc74-823ab7fcb41d","pe-section","file"
"42185afb-c9a7-44f1-bcb5-2869d8672376",10718,"Payload delivery","md5","6054a6a9e0ca0747eb25090d334ecf45","",1,1591341952,"md5","","c876ea46-1af6-49aa-bc74-823ab7fcb41d","pe-section","file"
