uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eddd061-a060-4743-bc35-042bc0a80102",11265,"Payload delivery","filename","ds1.exe","",0,1591595105,"","","","",""
"5eddd061-b008-4452-ade5-042bc0a80102",11265,"Payload delivery","md5","4ace39c37c4b26f1840f4923eb131d48","",1,1591595105,"","","","",""
"5eddd061-ad08-4e52-ba71-042bc0a80102",11265,"Payload delivery","sha1","d19be162a68780ce0585af459737532a33c88866","",1,1591595105,"","","","",""
"5eddd061-9d88-4cd1-9a26-042bc0a80102",11265,"Payload delivery","sha256","65cc8fe3cb8c1016fe0791ec14987d8804a6da0db1cbb10418b4cee00942dcfa","",1,1591595105,"","","","",""
"5eddd061-9324-4387-aff0-042bc0a80102",11265,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1591595105,"","","","",""
"5eddd061-b6f0-4fa0-b376-042bc0a80102",11265,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1591595105,"","","","",""
"5eddd061-5824-4e45-adf3-042bc0a80102",11265,"Network activity","url","http://troygillet.ug/ds1.exe","",1,1591595105,"","","","",""
"5eddd061-9278-413b-86e3-042bc0a80102",11265,"Network activity","domain","troygillet.ug","",1,1591595105,"","","","",""
"7862d50f-6110-4c7c-ad31-7712635225f7",11265,"Other","text",".text","",0,1591595106,"name","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"f84d3ef6-9008-457f-b18d-3ecda9d8965d",11265,"Payload delivery","md5","67c22bed1c3eda1ca1c9284427716efd","",1,1591595106,"md5","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"209eea53-1f0d-4747-8fbc-3090fc0e8e36",11265,"Payload delivery","sha1","70769a17a32ccf2ac386559aa6188f77152b91ea","",1,1591595106,"sha1","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"1c7b8f23-38c2-4004-bc3c-072a70037612",11265,"Payload delivery","sha256","c6c1934d9e806bdd6a6927ca5d28e61f29f19669d1c89bc6e00fe136e06d0e1e","",1,1591595106,"sha256","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"a4b121f4-a9b5-461b-93e2-e707d120601c",11265,"Other","size-in-bytes",143872,"",0,1591595106,"size-in-bytes","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"b49bec35-8563-43cc-b7a7-da010c35cf42",11265,"Other","float",7.4807,"",0,1591595106,"entropy","","f69d431d-a0c1-4a7b-b2ac-6ae0e20fc9b9","pe-section","file"
"1a0936ff-985d-45f3-a262-3d9c28a34958",11265,"Other","text",".rsrc","",0,1591595106,"name","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"b5c51386-4e20-43c6-ae0f-b98f5bd73de9",11265,"Payload delivery","md5","9b97460db59d70bff867b32ff3426c9b","",1,1591595106,"md5","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"09886f65-270b-41e7-8296-a1eadd9239dc",11265,"Payload delivery","sha1","53fe729ad3c9d5274d2ba10ee7b90b41185f94c2","",1,1591595106,"sha1","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"33cb6358-35e1-4f6e-860f-0e51e89feee4",11265,"Payload delivery","sha256","7dd274ba3eb918619a86f9733a5b56b69af48411d69f4d24f6a5bdd48cce8448","",1,1591595106,"sha256","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"69d2e0f1-af2c-4178-808e-06de6b1901b9",11265,"Other","size-in-bytes",1536,"",0,1591595106,"size-in-bytes","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"8cb73f9d-f48a-49d6-8683-8629f927b473",11265,"Other","float",4.1844,"",0,1591595106,"entropy","","5dd1cdb9-c309-417a-8f3e-c1c38db8ebf4","pe-section","file"
"1e120d16-a053-4c68-8a85-1d369cadcfa3",11265,"Other","text",".reloc","",0,1591595107,"name","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"bcc43383-06e6-44a1-9027-aaf00109b9f3",11265,"Payload delivery","md5","a7f1684e501bad414b68dbabf6f22d02","",1,1591595107,"md5","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"03a88a13-6cb6-4829-a372-fe72e62229a9",11265,"Payload delivery","sha1","42fd086adef76e49da8e84294ce49ff4ded7f2f2","",1,1591595107,"sha1","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"44a265b9-93b0-45cf-9e2c-a0c5c1c93f0b",11265,"Payload delivery","sha256","ac4c6bc001f4bd72af6164c22d3cfdfab21eb6adc39710d6ad7047d4a70c03a7","",1,1591595107,"sha256","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"f71bbc14-555b-4f98-b001-ff6a8af910eb",11265,"Other","size-in-bytes",512,"",0,1591595107,"size-in-bytes","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"69258b02-a95a-41c1-b137-d45c580fc0b2",11265,"Other","float",0.10191,"",0,1591595107,"entropy","","6ef1256d-19b7-432c-860b-fe3297ec1b01","pe-section","file"
"173cbad4-4b0e-4a3b-a80b-cfb9ebebdaad",11265,"External analysis","link","https://www.virustotal.com/gui/file/65cc8fe3cb8c1016fe0791ec14987d8804a6da0db1cbb10418b4cee00942dcfa/detection","",0,1591595108,"permalink","","ac0dbf96-7c6c-4c29-801a-81e0a99e6bff","virustotal-report","misc"
"5876011f-acde-414b-b132-2b6f802f495a",11265,"Other","datetime","2020-06-08T04:29:35.000000+0000","",0,1591595108,"last-submission","","ac0dbf96-7c6c-4c29-801a-81e0a99e6bff","virustotal-report","misc"
"a0469ed0-dc34-45e6-a1aa-8b3ed17429a9",11265,"Other","text","7/72","",0,1591595108,"detection-ratio","","ac0dbf96-7c6c-4c29-801a-81e0a99e6bff","virustotal-report","misc"

