uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ee0b90b-bbd4-402e-9773-38d9c0a80102",11833,"Payload delivery","filename","zte.dll","",0,1591785739,"","","","",""
"5ee0b90b-68a4-4e0d-86c2-38d9c0a80102",11833,"Payload delivery","md5","c2d1066eb008ae8f3c9db39d64ca99b9","",1,1591785739,"","","","",""
"5ee0b90b-1720-4825-91f7-38d9c0a80102",11833,"Payload delivery","sha1","b8256e54f09b6c896950bf9d8f17bdb2318de1c6","",1,1591785739,"","","","",""
"5ee0b90b-0cb4-4f18-9b24-38d9c0a80102",11833,"Payload delivery","sha256","e5b206c59e3e6303847ef274b648ff90b04f35ed378a0d2fda2dae71010bdca6","",1,1591785739,"","","","",""
"5ee0b90b-7e14-44a6-80d8-38d9c0a80102",11833,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1591785739,"","","","",""
"5ee0b90b-2a50-4c28-b635-38d9c0a80102",11833,"Payload delivery","imphash","8576f2eda7a30aeed43fccdbadabc440","",0,1591785739,"","","","",""
"5ee0b90b-9bb8-44c1-ae84-38d9c0a80102",11833,"Network activity","url","https://erpoweredent.at//3/zte.dll","",1,1591785739,"","","","",""
"5ee0b90b-eac0-473d-9316-38d9c0a80102",11833,"Network activity","domain","erpoweredent.at","",1,1591785739,"","","","",""
"7d4839b8-b51f-4c5b-b53e-cbf500ed3424",11833,"Other","text",".text","",0,1591785740,"name","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
"c6ed03c6-4d5b-4b28-a7f4-264159255592",11833,"Payload delivery","md5","551d287b8347ee900cd36764531048aa","",1,1591785740,"md5","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
"6a52deee-3948-46f7-a172-a3758e24324d",11833,"Payload delivery","sha1","c888780aacf25fe1158520772cf090cf1de46519","",1,1591785740,"sha1","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
"0b6b7da6-6a7d-4989-a105-30139395eab2",11833,"Payload delivery","sha256","ee69082899530a320d63c3e76c22f5e74b37ec13fc3c929a6d89ea1e713ef2ba","",1,1591785740,"sha256","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
"a21ea10d-c910-4dc1-8d10-8329a61bb712",11833,"Other","size-in-bytes",113664,"",0,1591785740,"size-in-bytes","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
"dde4f706-f5e5-413a-b6d0-9b5d84ead635",11833,"Other","float",6.68413,"",0,1591785740,"entropy","","fa590d70-2206-467e-9993-bf540c7da5ac","pe-section","file"
