uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ee8a004-0568-4b53-9b6c-379ec0a80102",13001,"Payload delivery","filename","1061op9nb6m7.exe","",0,1592303620,"","","","",""
"5ee8a004-5d24-4cd9-821f-379ec0a80102",13001,"Payload delivery","md5","b930b6897e1ca59b50d37dad4a85ad25","",1,1592303620,"","","","",""
"5ee8a004-46f8-4c0a-9670-379ec0a80102",13001,"Payload delivery","sha1","3dc333288ca5b27975f5eacff1d91a464c081f13","",1,1592303620,"","","","",""
"5ee8a004-17d4-4a34-950e-379ec0a80102",13001,"Payload delivery","sha256","109dbfef54b60489f50539f59b3d6c4df5747fbb35238b10d620244d56fc8a0a","",1,1592303620,"","","","",""
"5ee8a004-812c-4b42-958c-379ec0a80102",13001,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1592303620,"","","","",""
"5ee8a004-b1a4-4fd7-8bc9-379ec0a80102",13001,"Payload delivery","imphash","23a08796a30080ed313b5b19ec6c757d","",0,1592303620,"","","","",""
"5ee8a004-8d78-4d18-bad9-379ec0a80102",13001,"Network activity","url","https://memberteam.works/templatesb/1061op9nb6m7.exe","",1,1592303620,"","","","",""
"5ee8a004-fe10-48d9-a382-379ec0a80102",13001,"Network activity","domain","memberteam.works","",1,1592303620,"","","","",""
"e27304ea-1c4f-4f97-a70c-8e93db65e77a",13001,"Other","text",".text","",0,1592303620,"name","","55f9314f-dd5b-4bcd-b22b-3617fe44ae53","pe-section","file"
"dc7bfe24-5069-4864-9421-fc303ce96e6d",13001,"Payload delivery","md5","6379bd170a6722cde734c3b1e4c11200","",1,1592303620,"md5","","55f9314f-dd5b-4bcd-b22b-3617fe44ae53","pe-section","file"
"f967e770-f1c5-428d-9371-c9e31fd448b2",13001,"Payload delivery","sha1","3a71c2a800cae62d51f7321312a4ca3e736be4b7","",1,1592303620,"sha1","","55f9314f-dd5b-4bcd-b22b-3617fe44ae53","pe-section","file"
"54fb74ef-23ae-42b8-836d-fa2ea36eea37",13001,"Payload delivery","sha256","67ede2d586abc8692171664ab1be804b6ae206e9d8c8d9d3f776035ca48b88ab","",1,1592303620,"sha256","","55f9314f-dd5b-4bcd-b22b-3617fe44ae53","pe-section","file"
