uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eeba79d-9e0c-4279-8725-2808c0a80102",13640,"Payload delivery","filename","11a01938abgs.exe","",0,1592502173,"","","","",""
"5eeba79d-75c0-4a42-8f2f-2808c0a80102",13640,"Payload delivery","md5","abeec549da57db85435083f3339e1ba7","",1,1592502173,"","","","",""
"5eeba79d-f9b4-461a-9c3b-2808c0a80102",13640,"Payload delivery","sha1","b27d8751fd6a0a8a8c8f7cc25eb1a86b24a71008","",1,1592502173,"","","","",""
"5eeba79e-6a60-433c-bd96-2808c0a80102",13640,"Payload delivery","sha256","99b2d4e3d85be87b28674fa67b0d2f09321e8d1064dd89da8da210006c347638","",1,1592502174,"","","","",""
"5eeba79e-4f90-486a-a29a-2808c0a80102",13640,"Payload delivery","mime-type","PE32 executable (console) Intel 80386, for MS Windows","",0,1592502174,"","","","",""
"5eeba79e-fa4c-484d-beb9-2808c0a80102",13640,"Payload delivery","imphash","309dc8b960c76c803df697b3e5b0e3ea","",0,1592502174,"","","","",""
"5eeba79e-4004-4ae2-8d92-2808c0a80102",13640,"Network activity","url","https://playthefinancialgame.com/createfoldernow/11a01938abgs.exe","",1,1592502174,"","","","",""
"5eeba79e-09c0-42bc-8ae8-2808c0a80102",13640,"Network activity","domain","playthefinancialgame.com","",1,1592502174,"","","","",""
"b8a1cdb2-f69e-4f76-a309-b9f4db45896f",13640,"Other","text",".text","",0,1592502182,"name","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"a2f1f1b1-669a-472d-9ceb-73d37b05e58e",13640,"Payload delivery","md5","b3295aa40283d47a597ae665bf1f148e","",1,1592502182,"md5","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"33e15474-77b5-4a55-a882-3a23d45805c4",13640,"Payload delivery","sha1","168f7e22a5346b34a4add661034b8b95dd810c1a","",1,1592502182,"sha1","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"dcd47afa-a724-4006-b41f-ada5863d4a29",13640,"Payload delivery","sha256","afc466227ca7d3e87d7786ac2299b7b110732a01f8f16012cb031defb1fb5ebf","",1,1592502182,"sha256","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"a24d2ef8-fece-4ec7-aece-6d3cd59b8996",13640,"Other","size-in-bytes",26112,"",0,1592502183,"size-in-bytes","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"1dd438be-f1a7-44a2-89ba-778112ff7ef4",13640,"Other","float",4.95421,"",0,1592502183,"entropy","","de087d0c-17fd-4cc0-bbb3-5c927c50aca2","pe-section","file"
"bcc8a571-343e-4b15-a2d6-efb0856161a7",13640,"Other","text",".rdata","",0,1592502198,"name","","53707858-aa31-4586-8a13-ee7a368a54cc","pe-section","file"
"aa0270ae-8c44-48e7-a9a7-10c974289819",13640,"Payload delivery","md5","08f50854d51388109e1737d957a64202","",1,1592502198,"md5","","53707858-aa31-4586-8a13-ee7a368a54cc","pe-section","file"
"dbe5d879-ff34-46f9-b926-05fe7d897506",13640,"Payload delivery","sha1","148c3ffb86eda7951b575ccb10578bfd0d91deef","",1,1592502198,"sha1","","53707858-aa31-4586-8a13-ee7a368a54cc","pe-section","file"
