uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eec3638-e5f0-405b-a50b-483ec0a80102",14016,"Payload delivery","filename","sparc","",0,1592538680,"","","","",""
"5eec3638-151c-4258-8fbb-483ec0a80102",14016,"Payload delivery","md5","2b608a18023fe029994e09cf999ba822","",1,1592538680,"","","","",""
"5eec3638-4798-4797-9cf6-483ec0a80102",14016,"Payload delivery","sha1","4502012f22d6e3207c80207b3ea28349d84b8cf2","",1,1592538680,"","","","",""
"5eec3638-77c4-4edc-95d4-483ec0a80102",14016,"Payload delivery","sha256","c02814a4d388487436a768f75dc973a4550e28960c7acc66fdd91841c88dafbd","",1,1592538680,"","","","",""
"5eec3638-e9f4-47e9-8d8b-483ec0a80102",14016,"Payload delivery","mime-type","ELF 32-bit MSB executable, SPARC, version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1592538680,"","","","",""
"5eec3639-6b78-4c0d-941d-483ec0a80102",14016,"Network activity","url","http://104.244.79.242/sparc","",1,1592538681,"","","","",""
"5eec3639-cc9c-4920-8dfd-483ec0a80102",14016,"Network activity","ip-dst","104.244.79.242","",1,1592538681,"","","","",""
"cddf2fe2-ad34-45f9-8c26-4401993ae47a",14016,"External analysis","link","https://www.virustotal.com/gui/file/c02814a4d388487436a768f75dc973a4550e28960c7acc66fdd91841c88dafbd/detection","",0,1592538691,"permalink","","927ec1b1-0095-4cf3-8a6c-11a541628c7c","virustotal-report","misc"
"a498459f-b43d-47dc-832a-9fb55e875682",14016,"Other","datetime","2020-06-19T01:13:41.000000+0000","",0,1592538692,"last-submission","","927ec1b1-0095-4cf3-8a6c-11a541628c7c","virustotal-report","misc"
"fd83840c-8359-438a-b7fe-3f18113fc610",14016,"Other","text","36/60","",0,1592538692,"detection-ratio","","927ec1b1-0095-4cf3-8a6c-11a541628c7c","virustotal-report","misc"

