uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5eed1433-fbe4-40d6-9532-75b8c0a80102",14090,"Payload delivery","filename","de.exe","",0,1592595507,"","","","",""
"5eed1433-0400-406a-a35d-75b8c0a80102",14090,"Payload delivery","md5","5ef37427c716e4984392d4b49306ede6","",1,1592595507,"","","","",""
"5eed1433-98ac-4372-923f-75b8c0a80102",14090,"Payload delivery","sha1","911e987c504700f7a65bb4a04ed41dfbc83447e1","",1,1592595507,"","","","",""
"5eed1433-43f8-4902-877a-75b8c0a80102",14090,"Payload delivery","sha256","c5950364dc53023d6222f8a8a5bec8420e80ebd71175447a717b5807397a3ee2","",1,1592595507,"","","","",""
"5eed1433-ccf8-4f08-8a1c-75b8c0a80102",14090,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1592595507,"","","","",""
"5eed1433-1cfc-4a49-86c0-75b8c0a80102",14090,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1592595507,"","","","",""
"5eed1433-2d98-47d2-91ae-75b8c0a80102",14090,"Network activity","url","http://omeubebexxs.org/storage/app/files/de.exe","",1,1592595507,"","","","",""
"5eed1433-f75c-4b62-a569-75b8c0a80102",14090,"Network activity","domain","omeubebexxs.org","",1,1592595507,"","","","",""
"604e0c1b-82c2-4842-a23c-bb4a94ccecfd",14090,"Other","text",".text","",0,1592595508,"name","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"def4fe4b-e5bc-4e3e-aeb2-814d7c4aa68a",14090,"Payload delivery","md5","29e001f6b65de4790e0702965680e6e9","",1,1592595508,"md5","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"0d8922fe-639d-4a4a-9b3e-f4dd0c0e469d",14090,"Payload delivery","sha1","7f028409ffb04ca73ef524fabb140373de399c22","",1,1592595508,"sha1","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"1c2784a2-5757-46e6-8986-e366cb4e020d",14090,"Payload delivery","sha256","09ae64a0389eb2be4711137cac8149f3adb29a0bbc6408c93ccf45f44392b8c8","",1,1592595508,"sha256","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"7d5f50f3-20ee-409e-952d-0b6eb4ed9a95",14090,"Other","size-in-bytes",282112,"",0,1592595508,"size-in-bytes","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"3e6669a3-0124-4fec-addf-699a5a924774",14090,"Other","float",6.59749,"",0,1592595508,"entropy","","b05ddbe0-1b80-40cd-a2b3-b9320ea00575","pe-section","file"
"c879c47a-4bb4-4b84-bf8d-a4a508c099ce",14090,"Other","text",".rsrc","",0,1592595509,"name","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"6243ce87-1619-4fd2-98ae-801fc81f5499",14090,"Payload delivery","md5","6f4a9ab0790fe4610bf9b63c804efcb5","",1,1592595509,"md5","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"a6a2ecce-a48e-400c-91f9-dc3b726eb145",14090,"Payload delivery","sha1","6c542b0bd2bfd09d504e25b3387ec6702ef0e1cd","",1,1592595509,"sha1","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"a732ac76-790b-49cd-811c-d0034ce0e435",14090,"Payload delivery","sha256","7864bc22d742b52eec3f3daae23699d01d006a8ab150ba5811e4d25ebaf7294a","",1,1592595509,"sha256","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"91bbd7a8-2302-4130-9ae9-01752cf708e0",14090,"Other","size-in-bytes",1024,"",0,1592595509,"size-in-bytes","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"7f05b07f-ad61-4694-87ea-49e2b8a44748",14090,"Other","float",2.4123,"",0,1592595509,"entropy","","6e0704da-8fe5-42f7-8563-e63f75e90ce4","pe-section","file"
"b9d86b91-9fba-4629-a31c-1ae702610f93",14090,"Other","text",".reloc","",0,1592595511,"name","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"dcb769ed-6346-4f63-9e37-a237710db766",14090,"Payload delivery","md5","cfa09352fc8a9c97696c920756b0f3fa","",1,1592595511,"md5","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"cf7edadd-5083-4e7e-8186-3f9bbaee7043",14090,"Payload delivery","sha1","f3bc7130ef80ebee2a5bc1806f9b0186d4bcbb99","",1,1592595511,"sha1","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"7db03562-27a9-429b-af80-319813c9b78a",14090,"Payload delivery","sha256","cdb824a13d050d2bba53facba5b8a9f7cf3a0e93b1a349071c0395295cb068b1","",1,1592595511,"sha256","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"d4ebe72e-34c7-45fa-9a87-2adbc9590c1d",14090,"Other","size-in-bytes",512,"",0,1592595511,"size-in-bytes","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"cdbc82a4-c2b6-4618-8950-234b86ce1034",14090,"Other","float",0.10191,"",0,1592595511,"entropy","","d182bd95-6db0-49fb-960e-5782202828f5","pe-section","file"
"d107480b-897e-40db-a392-c2163e4a4332",14090,"External analysis","link","https://www.virustotal.com/gui/file/c5950364dc53023d6222f8a8a5bec8420e80ebd71175447a717b5807397a3ee2/detection","",0,1592595512,"permalink","","eacf337e-81c8-4034-8883-1c7c026803f6","virustotal-report","misc"
"5d27255a-f048-49e4-bfce-336cbe448700",14090,"Other","datetime","2020-06-19T02:27:52.000000+0000","",0,1592595512,"last-submission","","eacf337e-81c8-4034-8883-1c7c026803f6","virustotal-report","misc"
"a6d5852c-8050-4c86-9220-7c4b67d896a7",14090,"Other","text","42/74","",0,1592595512,"detection-ratio","","eacf337e-81c8-4034-8883-1c7c026803f6","virustotal-report","misc"

