uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ef01545-c0e8-4240-9869-7357c0a80102",14435,"Payload delivery","filename","KKKbins.sh","",0,1592792389,"","","","",""
"5ef01545-41a8-420e-b8a2-7357c0a80102",14435,"Payload delivery","md5","beb45658bf87df5a72fc7a2fd73c9931","",1,1592792389,"","","","",""
"5ef01545-6d28-433e-af22-7357c0a80102",14435,"Payload delivery","sha1","fb5a83c9daa4efde6d40bdf26df045716e8481af","",1,1592792389,"","","","",""
"5ef01545-25a8-48b8-987b-7357c0a80102",14435,"Payload delivery","sha256","611514f75900f7148052d9ea11f0427723d50344708e9e0d15274fd4f55243d7","",1,1592792389,"","","","",""
"5ef01545-f3e4-4762-862b-7357c0a80102",14435,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1592792389,"","","","",""
"5ef01545-ee04-49ab-808f-7357c0a80102",14435,"Network activity","url","http://192.3.161.156/KKKbins.sh","",1,1592792389,"","","","",""
"5ef01545-8868-4060-a2e6-7357c0a80102",14435,"Network activity","ip-dst","192.3.161.156","",1,1592792389,"","","","",""
"482b934e-0563-4445-a153-d42d38643624",14435,"External analysis","link","https://www.virustotal.com/gui/file/611514f75900f7148052d9ea11f0427723d50344708e9e0d15274fd4f55243d7/detection","",0,1592792389,"permalink","","65208976-7b1a-4bf4-b9c8-8e139aa2af36","virustotal-report","misc"
"b95ffa82-ce96-42b3-8aa4-f7ef1ec12e0e",14435,"Other","datetime","2020-06-22T00:49:19.000000+0000","",0,1592792389,"last-submission","","65208976-7b1a-4bf4-b9c8-8e139aa2af36","virustotal-report","misc"
"2b70959d-d0c0-4a02-840b-556cf55f7a4d",14435,"Other","text","33/61","",0,1592792389,"detection-ratio","","65208976-7b1a-4bf4-b9c8-8e139aa2af36","virustotal-report","misc"

