uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ef2bd81-f9a8-4c7c-8f9a-20eac0a80102",14811,"Payload delivery","filename","Update.exe","",0,1592966529,"","","","",""
"5ef2bd81-86b4-4969-a7aa-20eac0a80102",14811,"Payload delivery","md5","bd17c24dc4521e1acf5e606de6f9362e","",1,1592966529,"","","","",""
"5ef2bd81-4128-4438-bb54-20eac0a80102",14811,"Payload delivery","sha1","c55e60c937531ff2c782cb3d7df459fadd7ace38","",1,1592966529,"","","","",""
"5ef2bd81-f008-471c-b97f-20eac0a80102",14811,"Payload delivery","sha256","7979416b5226d888d6a3c57d1465c217848ebee2863400a26448f87ec6613505","",1,1592966529,"","","","",""
"5ef2bd81-7108-45a6-a5ca-20eac0a80102",14811,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows, Nullsoft Installer self-extracting archive","",0,1592966529,"","","","",""
"5ef2bd81-a5cc-4098-ad2f-20eac0a80102",14811,"Payload delivery","imphash","099c0646ea7282d232219f8807883be0","",0,1592966529,"","","","",""
"5ef2bd81-6de4-4fdc-9b02-20eac0a80102",14811,"Network activity","url","http://179.43.149.3:8888/Update.exe","",1,1592966529,"","","","",""
"5ef2bd81-fc2c-4134-9464-20eac0a80102",14811,"Network activity","ip-dst","179.43.149.3","",1,1592966529,"","","","",""
"0838ba9b-efe4-4e2c-b950-3e1e7ff6c8d0",14811,"Other","text",".text","",0,1592966529,"name","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"203fdb34-ecc3-427e-8c90-fb60a9891984",14811,"Payload delivery","md5","0bc2ffd32265a08d72b795b18265828d","",1,1592966529,"md5","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"9b4cc9da-3093-457a-945b-905bd7d8bdd3",14811,"Payload delivery","sha1","dd2a446014a37556f39173b802c63a4e46e09366","",1,1592966529,"sha1","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"5c2890ca-c645-4d65-aa8f-617067a70781",14811,"Payload delivery","sha256","c5ee0a2892a4f9c317f9b33bfc3531e0235faa9a2a3b4c41bd71d39e4fd87d6f","",1,1592966529,"sha256","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"66f051ad-923b-418d-a419-be8dafccff7b",14811,"Other","size-in-bytes",23552,"",0,1592966529,"size-in-bytes","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"304d478c-21f9-4035-8c92-cb740d196c4e",14811,"Other","float",6.4177,"",0,1592966529,"entropy","","e4b5a4c9-83f1-456d-8ed3-d636e4b76a0c","pe-section","file"
"193924a0-06e5-470e-92b1-f75b2ef082b1",14811,"Other","text",".rdata","",0,1592966530,"name","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"b8cba5fc-30c2-43dc-a7a5-26adc4617b47",14811,"Payload delivery","md5","f179218a059068529bdb4637ef5fa28e","",1,1592966530,"md5","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"030c776e-8409-4c72-bc53-88d33d2bfc49",14811,"Payload delivery","sha1","6035d27db526131eb0f29aee60cfcdbb5072ed7d","",1,1592966530,"sha1","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"7801687d-7c19-433f-af3e-d9cd383933df",14811,"Payload delivery","sha256","f80bf00310bd25e46e26c4b2042fa8215c3e5ce759947fe081d25b454dfc0fbe","",1,1592966530,"sha256","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"49885298-b0e8-47cb-8405-d2dcbf3bd2ed",14811,"Other","size-in-bytes",4608,"",0,1592966530,"size-in-bytes","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"b4ace40a-bff8-493d-8b3b-bcb05f3fb741",14811,"Other","float",5.18163,"",0,1592966530,"entropy","","05fda70f-6607-443f-a80d-9a551e189470","pe-section","file"
"15587083-52b7-41fc-aa3a-77cefe745962",14811,"Other","text",".data","",0,1592966530,"name","","1fc325fa-eb6b-4bb3-b0ea-e1b673d40cd8","pe-section","file"
"8466f0da-4ff4-497c-96b1-34ac14acb48e",14811,"Payload delivery","md5","975304d6dd6c4a4f076b15511e2bbbc0","",1,1592966530,"md5","","1fc325fa-eb6b-4bb3-b0ea-e1b673d40cd8","pe-section","file"
