uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ef445fc-28b8-474c-8e2b-47fdc0a80102",15096,"Payload delivery","filename","b3astmode.arm5","",0,1593067004,"","","","",""
"5ef445fc-292c-4c88-8983-47fdc0a80102",15096,"Payload delivery","md5","f664556a68720a85bcf4035718795cf0","",1,1593067004,"","","","",""
"5ef445fc-30a8-4915-9fc2-47fdc0a80102",15096,"Payload delivery","sha1","fbc36c0c7eb832c5c3ba450364f77d4c1bd9fbe6","",1,1593067004,"","","","",""
"5ef445fc-9058-455d-ac5a-47fdc0a80102",15096,"Payload delivery","sha256","bf52fed926a7087905aaced7293c39b56bea86bccf0e106ac3062b14a951444b","",1,1593067004,"","","","",""
"5ef445fc-76b0-4e3e-b5ae-47fdc0a80102",15096,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1593067004,"","","","",""
"5ef445fc-9b3c-4c59-8085-47fdc0a80102",15096,"Network activity","url","http://45.95.168.216/beastmode/b3astmode.arm5","",1,1593067004,"","","","",""
"5ef445fc-e724-45c4-9b2c-47fdc0a80102",15096,"Network activity","ip-dst","45.95.168.216","",1,1593067004,"","","","",""
"5cabc2c9-5205-4cb2-a318-a112bdb6caa4",15096,"External analysis","link","https://www.virustotal.com/gui/file/bf52fed926a7087905aaced7293c39b56bea86bccf0e106ac3062b14a951444b/detection","",0,1593067010,"permalink","","b8ab13a7-a030-4b3d-97e1-1b9595cee243","virustotal-report","misc"
"1da649a2-af6b-4bc5-9698-4900fc7ed286",15096,"Other","datetime","2020-06-25T04:43:02.000000+0000","",0,1593067010,"last-submission","","b8ab13a7-a030-4b3d-97e1-1b9595cee243","virustotal-report","misc"
"e468723b-640c-4054-ae99-25b715106b69",15096,"Other","text","33/59","",0,1593067010,"detection-ratio","","b8ab13a7-a030-4b3d-97e1-1b9595cee243","virustotal-report","misc"

