uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ef5e01e-3810-4ad8-9000-7098c0a80102",15342,"Payload delivery","filename","arm","",0,1593171998,"","","","",""
"5ef5e01e-1a2c-4c35-90fa-7098c0a80102",15342,"Payload delivery","md5","1dbc892c3891a27677ae2e9e08195a2b","",1,1593171998,"","","","",""
"5ef5e01e-fef4-42db-8371-7098c0a80102",15342,"Payload delivery","sha1","9999f51f55f25b608c61b993ab7e4530692ea562","",1,1593171998,"","","","",""
"5ef5e01e-4820-4c8a-b579-7098c0a80102",15342,"Payload delivery","sha256","0e654e0d76a2cf33135cae4b015cc093be09258d987ea97adbd332d9192f6d70","",1,1593171998,"","","","",""
"5ef5e01e-3af8-4d83-9df4-7098c0a80102",15342,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1593171998,"","","","",""
"5ef5e01e-7b48-4df0-b529-7098c0a80102",15342,"Network activity","url","http://45.84.196.135/bins/arm","",1,1593171998,"","","","",""
"5ef5e01e-f168-4096-a7d4-7098c0a80102",15342,"Network activity","ip-dst","45.84.196.135","",1,1593171998,"","","","",""
"a77ecb94-6709-4e6e-8951-6eb8fb2f7231",15342,"External analysis","link","https://www.virustotal.com/gui/file/0e654e0d76a2cf33135cae4b015cc093be09258d987ea97adbd332d9192f6d70/detection","",0,1593171998,"permalink","","73e145d4-9b00-4dd6-8758-029508075a4a","virustotal-report","misc"
"57e1ecf1-cb84-4a92-a8b9-5928a77be8c5",15342,"Other","datetime","2020-06-26T09:55:04.000000+0000","",0,1593171998,"last-submission","","73e145d4-9b00-4dd6-8758-029508075a4a","virustotal-report","misc"
"2b2d56c0-2ed7-4fb6-a8f0-f06491add06c",15342,"Other","text","24/59","",0,1593171998,"detection-ratio","","73e145d4-9b00-4dd6-8758-029508075a4a","virustotal-report","misc"

