uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5ef93af1-79a4-434c-aff1-5eb6c0a80102",15626,"Payload delivery","filename","hxtensa","",0,1593391857,"","","","",""
"5ef93af1-01b4-4bee-ac2b-5eb6c0a80102",15626,"Payload delivery","md5","f03d244fddc1cba830e5fe9ecdf1643b","",1,1593391857,"","","","",""
"5ef93af1-2e50-41f6-9faa-5eb6c0a80102",15626,"Payload delivery","sha1","471138a598c11775f45011b6a58ebe410ea28c00","",1,1593391857,"","","","",""
"5ef93af1-a764-4e8e-b15b-5eb6c0a80102",15626,"Payload delivery","sha256","4966dc96453739209d5cab36ff5638317dd1fce30c949ba4c941aa0d8509bfcc","",1,1593391857,"","","","",""
"5ef93af1-a710-436c-82df-5eb6c0a80102",15626,"Payload delivery","mime-type","ELF 32-bit LSB executable, Tensilica Xtensa, version 1 (SYSV), dynamically linked, interpreter /lib/ld-uClibc.so.0, not stripped","",0,1593391857,"","","","",""
"5ef93af1-33f4-4830-9227-5eb6c0a80102",15626,"Network activity","url","http://185.172.111.212/swrgiuhguhwrguiwetu/hxtensa","",1,1593391857,"","","","",""
"5ef93af1-3084-4d5d-a666-5eb6c0a80102",15626,"Network activity","ip-dst","185.172.111.212","",1,1593391857,"","","","",""
"43be7495-eb62-40a2-a5be-f73efe1d671d",15626,"External analysis","link","https://www.virustotal.com/gui/file/4966dc96453739209d5cab36ff5638317dd1fce30c949ba4c941aa0d8509bfcc/detection","",0,1593391858,"permalink","","aee78b38-82e2-4c43-a97f-289e6b9907f8","virustotal-report","misc"
"12b68c89-310e-4879-bd7a-e4ab92b11ec7",15626,"Other","datetime","2020-06-20T15:26:00.000000+0000","",0,1593391858,"last-submission","","aee78b38-82e2-4c43-a97f-289e6b9907f8","virustotal-report","misc"
"42a997ec-315f-452f-bfad-abe58de06d30",15626,"Other","text","24/61","",0,1593391858,"detection-ratio","","aee78b38-82e2-4c43-a97f-289e6b9907f8","virustotal-report","misc"

