uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efb1331-f2b4-4307-a7aa-032bc0a80102",16006,"Payload delivery","filename","arm6","",0,1593512753,"","","","",""
"5efb1331-f9d8-485d-bed9-032bc0a80102",16006,"Payload delivery","md5","f3881ebb6267ba81dee95aa4574ec742","",1,1593512753,"","","","",""
"5efb1331-0d80-4e07-a533-032bc0a80102",16006,"Payload delivery","sha1","2f24dd89f3034b4aef4c5aa956d931c81d37b216","",1,1593512753,"","","","",""
"5efb1331-e118-4270-93ec-032bc0a80102",16006,"Payload delivery","sha256","117a9d0bf4d5129112a785dd99166bac1d3dc05ade80c704792e386062b756cf","",1,1593512753,"","","","",""
"5efb1331-433c-4121-8dd0-032bc0a80102",16006,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (GNU/Linux), statically linked, no section header","",0,1593512753,"","","","",""
"5efb1331-51f0-4f4d-b397-032bc0a80102",16006,"Network activity","url","http://45.91.67.16/bins/arm6","",1,1593512753,"","","","",""
"5efb1331-be44-44dd-a30c-032bc0a80102",16006,"Network activity","ip-dst","45.91.67.16","",1,1593512753,"","","","",""
"d83e2d7f-a4c1-44e8-9c01-4e42394dd514",16006,"External analysis","link","https://www.virustotal.com/gui/file/117a9d0bf4d5129112a785dd99166bac1d3dc05ade80c704792e386062b756cf/detection","",0,1593512756,"permalink","","d7a46c11-1bd6-46c3-8eda-01492c402ee4","virustotal-report","misc"
"eb4c1e9c-1686-4709-9fdf-004ae96d8f5f",16006,"Other","datetime","2020-06-30T08:59:55.000000+0000","",0,1593512758,"last-submission","","d7a46c11-1bd6-46c3-8eda-01492c402ee4","virustotal-report","misc"
"5d82f992-5c99-4864-b966-afaf6bddedf9",16006,"Other","text","21/59","",0,1593512759,"detection-ratio","","d7a46c11-1bd6-46c3-8eda-01492c402ee4","virustotal-report","misc"

