uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efb98de-a07c-4910-ad6b-0329c0a80102",16209,"Payload delivery","filename","1332o4dnao4z9a.exe","",0,1593546974,"","","","",""
"5efb98de-80bc-48b5-b211-0329c0a80102",16209,"Payload delivery","md5","607c17387932b9a8d55bb1f2612457c0","",1,1593546974,"","","","",""
"5efb98de-ffd0-428f-90fe-0329c0a80102",16209,"Payload delivery","sha1","d9d2266d0bf3ac00540b042666cba050992aea34","",1,1593546974,"","","","",""
"5efb98de-fd98-42a4-9a74-0329c0a80102",16209,"Payload delivery","sha256","02ecc77790239534e7b9394cc6dd3f9eb45f141acab361a7a0d86306741bb676","",1,1593546974,"","","","",""
"5efb98de-6f1c-47d8-a210-0329c0a80102",16209,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1593546974,"","","","",""
"5efb98de-1494-430d-b39c-0329c0a80102",16209,"Payload delivery","imphash","eb5ca1738675a1d611e0998bc388b800","",0,1593546974,"","","","",""
"5efb98de-2f44-4147-af10-0329c0a80102",16209,"Network activity","url","https://fishingonline.live/goldenfish/1332o4dnao4z9a.exe","",1,1593546974,"","","","",""
"5efb98de-696c-4733-9755-0329c0a80102",16209,"Network activity","domain","fishingonline.live","",1,1593546974,"","","","",""
"cdfefaf6-819e-415f-8f03-446ab042e454",16209,"Other","text",".text","",0,1593546975,"name","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"e1d073c2-4bfd-48cd-98a2-abc1db5a5537",16209,"Payload delivery","md5","916cbda0474f8a2734c47ed519221d90","",1,1593546975,"md5","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"64bfc323-b389-47d2-bb47-7dd2d9efae7f",16209,"Payload delivery","sha1","9812b03055e054c9ba2c490da069a3765e19be54","",1,1593546975,"sha1","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"5773b094-7eb0-46fa-b964-3a83bdb957cd",16209,"Payload delivery","sha256","1ef7934c4d8e01cbd047984edcd9829b05b29a885a5fc7244a1392ea05683402","",1,1593546975,"sha256","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"0ff7e0d6-b19e-4e0c-bdb9-72ae3738327b",16209,"Other","size-in-bytes",49152,"",0,1593546975,"size-in-bytes","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"4b3806ec-7684-4997-b7d0-59ce9f813a0e",16209,"Other","float",6.50339,"",0,1593546975,"entropy","","23c885c9-51d5-487b-9a81-5aa8285f18a2","pe-section","file"
"45e469e9-f146-46ea-ab48-fdd4f0c7a603",16209,"Other","text",".rdata","",0,1593546975,"name","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"62451711-18ff-43f0-b0d4-5d7577a569bd",16209,"Payload delivery","md5","f530dd6c0bb435685243d58f28017e14","",1,1593546975,"md5","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"ac1cf18a-9a6d-4005-b0a8-46ef81a0a2a6",16209,"Payload delivery","sha1","c31abe3762f56e99b979c3cd5452554fbe41ba69","",1,1593546975,"sha1","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"eb0c0d09-fbee-43bf-839a-4bacc9161d5f",16209,"Payload delivery","sha256","95c5d0cae46b0e2c14441e00514bc5451bdf1f45950fbb5e2d86ad39a2a0663d","",1,1593546975,"sha256","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"6d4d36d2-00d8-443a-b8f6-038c906758f4",16209,"Other","size-in-bytes",8192,"",0,1593546975,"size-in-bytes","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"8aa607b1-6829-4347-a22c-c981b21a4c57",16209,"Other","float",4.15923,"",0,1593546975,"entropy","","3aa36ae8-ab2d-4724-b4e4-a5e9b8b46483","pe-section","file"
"d5a9f4a4-7654-4a9f-92ba-155d846b3475",16209,"Other","text",".data","",0,1593546975,"name","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"c923423b-a9fd-4151-a7bb-5c7480ed0531",16209,"Payload delivery","md5","ac06515586033992b33df7d3da6a0b4e","",1,1593546975,"md5","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"dabd5e02-99b1-4699-bfb6-665d4a211026",16209,"Payload delivery","sha1","62651c9ee823ba1145467268227cc916816a2c45","",1,1593546975,"sha1","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"08233451-7f93-40cb-b222-8747deb0b702",16209,"Payload delivery","sha256","6591e0988f0596e130ffe309cd050a23124e44f9e8ecfa7627fef6a278fa05aa","",1,1593546975,"sha256","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"a714066c-26e4-46ee-acbe-bfbdbbb158b7",16209,"Other","size-in-bytes",8192,"",0,1593546975,"size-in-bytes","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"bfa1b6eb-e79d-4046-98c7-56a4fa65b4e1",16209,"Other","float",3.15368,"",0,1593546975,"entropy","","02b5655d-6c68-43c0-8bf9-fc0353885f04","pe-section","file"
"040fcf48-70b5-4e06-8745-b920aa556c85",16209,"Other","text",".rsrc","",0,1593546976,"name","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"c2e61e04-7a12-4b2d-acf3-9523ea0b0606",16209,"Payload delivery","md5","6d2b36b31bef59bf73c86018371cc617","",1,1593546976,"md5","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"e6d31104-e51c-474e-ba6c-34352cbd4374",16209,"Payload delivery","sha1","e12a553cacb5dcaeadb588e629da2876d415877b","",1,1593546976,"sha1","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"b765492a-597a-4c73-822a-23ada7212e0e",16209,"Payload delivery","sha256","e114ebb9fb04d83fbcc35a7ff5865f4d9bfff3198cbdff0fb4a973ac1753082f","",1,1593546976,"sha256","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"c006261f-7d2f-4535-9ca6-775c57085cfa",16209,"Other","size-in-bytes",303104,"",0,1593546976,"size-in-bytes","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"0ee5d394-aeb9-4b99-b25f-dd28a03d68fe",16209,"Other","float",7.80508,"",0,1593546976,"entropy","","f42812e4-3c8e-4413-9c0a-87e57726f0ba","pe-section","file"
"f5bab6f0-a808-4ec3-a9b4-0cfd2fcb5aae",16209,"External analysis","link","https://www.virustotal.com/gui/file/02ecc77790239534e7b9394cc6dd3f9eb45f141acab361a7a0d86306741bb676/detection","",0,1593546977,"permalink","","91c1eb8f-a175-4f3e-b3a7-01fae1782a79","virustotal-report","misc"
"e8d86308-84af-4ef5-a661-12e18281ce58",16209,"Other","datetime","2020-06-30T18:04:10.000000+0000","",0,1593546977,"last-submission","","91c1eb8f-a175-4f3e-b3a7-01fae1782a79","virustotal-report","misc"
"b7ec9c90-f26b-4137-9e1a-fc9f8409c4c6",16209,"Other","text","43/72","",0,1593546977,"detection-ratio","","91c1eb8f-a175-4f3e-b3a7-01fae1782a79","virustotal-report","misc"

