uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efba195-6d6c-43b0-ab2b-2005c0a80102",16246,"Payload delivery","filename","1662o4dnao4z9a.exe","",0,1593549205,"","","","",""
"5efba195-c7b0-4d55-ab62-2005c0a80102",16246,"Payload delivery","md5","6389d2b0f41890096ed683816a1b0284","",1,1593549205,"","","","",""
"5efba195-3554-4935-8a38-2005c0a80102",16246,"Payload delivery","sha1","1b962c88dd3eaa74e948da08983eb5220121b989","",1,1593549205,"","","","",""
"5efba195-e9ec-432c-bfa6-2005c0a80102",16246,"Payload delivery","sha256","232b8b03cd7a7a2c7de178762393be792bbafc4084cbd37f859b0824752fa0b1","",1,1593549205,"","","","",""
"5efba195-4d68-41d9-9559-2005c0a80102",16246,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1593549205,"","","","",""
"5efba195-f920-46ce-ad23-2005c0a80102",16246,"Payload delivery","imphash","eb5ca1738675a1d611e0998bc388b800","",0,1593549205,"","","","",""
"5efba196-fae8-4e37-9879-2005c0a80102",16246,"Network activity","url","https://fishingonline.live/goldenfish/1662o4dnao4z9a.exe","",1,1593549206,"","","","",""
"5efba196-fc6c-4d37-86ee-2005c0a80102",16246,"Network activity","domain","fishingonline.live","",1,1593549206,"","","","",""
"fdc6748c-bf8c-4994-88b9-f7e980a8a6af",16246,"Other","text",".text","",0,1593549206,"name","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"ca813b1c-3872-46e5-aa98-7e1ac538bb5f",16246,"Payload delivery","md5","916cbda0474f8a2734c47ed519221d90","",1,1593549206,"md5","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"d6eb9446-d43b-4826-bfc4-cb2f837c2ca8",16246,"Payload delivery","sha1","9812b03055e054c9ba2c490da069a3765e19be54","",1,1593549206,"sha1","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"b1b156eb-3be2-4636-b63a-23519df989f4",16246,"Payload delivery","sha256","1ef7934c4d8e01cbd047984edcd9829b05b29a885a5fc7244a1392ea05683402","",1,1593549206,"sha256","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"fca28544-d36d-46e7-9a4e-dee77441d4cc",16246,"Other","size-in-bytes",49152,"",0,1593549206,"size-in-bytes","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"c41d7fda-9fab-471c-853a-a09373dbd821",16246,"Other","float",6.50339,"",0,1593549206,"entropy","","05e9af27-9fae-48e9-96ff-89947a285ca0","pe-section","file"
"c26bfbff-024b-4389-bbb7-91e4bdf6379a",16246,"Other","text",".rdata","",0,1593549206,"name","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"fa9c269f-35f1-45fa-a4de-29676cba0cd4",16246,"Payload delivery","md5","f530dd6c0bb435685243d58f28017e14","",1,1593549207,"md5","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"e79be15a-d3aa-4e52-ad31-a3f9ccae9079",16246,"Payload delivery","sha1","c31abe3762f56e99b979c3cd5452554fbe41ba69","",1,1593549207,"sha1","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"9a39eec5-e037-4ac0-bff2-92bf96d59a0d",16246,"Payload delivery","sha256","95c5d0cae46b0e2c14441e00514bc5451bdf1f45950fbb5e2d86ad39a2a0663d","",1,1593549207,"sha256","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"ade88027-63d0-401d-991d-1056b92afcc9",16246,"Other","size-in-bytes",8192,"",0,1593549207,"size-in-bytes","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"aabf65a5-8d80-4a28-9e53-f07c4b3d5090",16246,"Other","float",4.15923,"",0,1593549207,"entropy","","d74f28ad-3fdf-4155-a081-c69c130aa808","pe-section","file"
"4c9cde80-19f7-4dd7-933a-f47045996568",16246,"Other","text",".data","",0,1593549207,"name","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"d5d479f4-0c6d-4800-bf70-e16afa98d6f5",16246,"Payload delivery","md5","ac06515586033992b33df7d3da6a0b4e","",1,1593549207,"md5","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"bbfff341-f08f-48d5-a37e-eafec715a8c7",16246,"Payload delivery","sha1","62651c9ee823ba1145467268227cc916816a2c45","",1,1593549207,"sha1","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"2bcb053a-29e5-41f7-a1cc-7f1aec4ac124",16246,"Payload delivery","sha256","6591e0988f0596e130ffe309cd050a23124e44f9e8ecfa7627fef6a278fa05aa","",1,1593549207,"sha256","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"58559b6e-b8f3-490c-9404-210a2040fbce",16246,"Other","size-in-bytes",8192,"",0,1593549207,"size-in-bytes","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"7f9c2a69-1d7f-41a9-bb80-6eb78bd3f3d3",16246,"Other","float",3.15368,"",0,1593549207,"entropy","","3d36157d-65a9-44e6-9980-554d097a5040","pe-section","file"
"ad0baf7f-2b44-4d5d-98ba-88b450e41673",16246,"Other","text",".rsrc","",0,1593549208,"name","","bc65eb2c-2191-4a55-b695-4490519dde15","pe-section","file"
"15992ba0-e500-4ae4-a5e7-1ec6e8041c7b",16246,"Payload delivery","md5","6d2b36b31bef59bf73c86018371cc617","",1,1593549208,"md5","","bc65eb2c-2191-4a55-b695-4490519dde15","pe-section","file"
"f4e5568d-340e-45d8-bb10-9092ab864bb8",16246,"Payload delivery","sha1","e12a553cacb5dcaeadb588e629da2876d415877b","",1,1593549208,"sha1","","bc65eb2c-2191-4a55-b695-4490519dde15","pe-section","file"
