uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efbd1f2-7c60-4005-bf7b-372fc0a80102",16303,"Payload delivery","filename","mipsel","",0,1593561586,"","","","",""
"5efbd1f3-07a4-451b-bb91-372fc0a80102",16303,"Payload delivery","md5","17676bc527cca05f3b9a956c36f1d6f4","",1,1593561587,"","","","",""
"5efbd1f3-bc50-4c9b-ba56-372fc0a80102",16303,"Payload delivery","sha1","bb0126c89eb43ecd79af769d5d4d5d98dd180036","",1,1593561587,"","","","",""
"5efbd1f3-9f24-471c-8ccd-372fc0a80102",16303,"Payload delivery","sha256","15bc9c8391ce8031cdda880cd67f506f9389e64c84069e19f25865eea96ce56f","",1,1593561587,"","","","",""
"5efbd1f3-9afc-4bbc-953b-372fc0a80102",16303,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, not stripped","",0,1593561587,"","","","",""
"5efbd1f3-37b4-4834-940d-372fc0a80102",16303,"Network activity","url","http://192.227.223.129/mipsel","",1,1593561587,"","","","",""
"5efbd1f3-edf8-4dbb-b192-372fc0a80102",16303,"Network activity","ip-dst","192.227.223.129","",1,1593561587,"","","","",""
"990cc790-ae48-415b-930b-7e07a21a872b",16303,"External analysis","link","https://www.virustotal.com/gui/file/15bc9c8391ce8031cdda880cd67f506f9389e64c84069e19f25865eea96ce56f/detection","",0,1593561587,"permalink","","432e9c8c-ceae-4348-8625-83d2182c116c","virustotal-report","misc"
"fdc1d5f3-7409-4fb2-be96-65ac559bde41",16303,"Other","datetime","2020-06-30T21:00:21.000000+0000","",0,1593561587,"last-submission","","432e9c8c-ceae-4348-8625-83d2182c116c","virustotal-report","misc"
"1532561f-3997-41c9-9112-0e5ae2b5566c",16303,"Other","text","36/59","",0,1593561587,"detection-ratio","","432e9c8c-ceae-4348-8625-83d2182c116c","virustotal-report","misc"

