uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efda02a-a0a8-435c-baaa-0fa7c0a80102",17228,"Payload delivery","filename","[cpu]","",0,1593679914,"","","","",""
"5efda02a-bc24-4980-870b-0fa7c0a80102",17228,"Payload delivery","md5","b314c60004e62ce77bb2a6cb151a5854","",1,1593679914,"","","","",""
"5efda02a-f870-4cc9-a625-0fa7c0a80102",17228,"Payload delivery","sha1","fd7eb063c0f3de43c5aba94deffeab9ecec17d2e","",1,1593679914,"","","","",""
"5efda02a-7a28-4651-a17d-0fa7c0a80102",17228,"Payload delivery","sha256","81febc9ef3b4bc3ca0f422a4552ae59009e1b15a6edf8b86ef0de40a2ee29cbf","",1,1593679914,"","","","",""
"5efda02a-1d78-4879-b94e-0fa7c0a80102",17228,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, with debug_info, not stripped","",0,1593679914,"","","","",""
"5efda02a-0b98-4eee-b649-0fa7c0a80102",17228,"Network activity","url","http://164.155.231.251/[cpu]","",1,1593679914,"","","","",""
"5efda02a-12a8-40fa-ab19-0fa7c0a80102",17228,"Network activity","ip-dst","164.155.231.251","",1,1593679914,"","","","",""
"d6a879f1-6955-473a-b30a-e2cc76b00e92",17228,"External analysis","link","https://www.virustotal.com/gui/file/81febc9ef3b4bc3ca0f422a4552ae59009e1b15a6edf8b86ef0de40a2ee29cbf/detection","",0,1593679914,"permalink","","c369c899-b244-49f1-9889-0ecf2a8df632","virustotal-report","misc"
"f5952d35-6c53-48ea-9ee0-48a98a83e46c",17228,"Other","datetime","2020-07-02T06:40:28.000000+0000","",0,1593679914,"last-submission","","c369c899-b244-49f1-9889-0ecf2a8df632","virustotal-report","misc"
"502ca13a-84cf-41d0-99fe-2b4257e1876e",17228,"Other","text","31/60","",0,1593679914,"detection-ratio","","c369c899-b244-49f1-9889-0ecf2a8df632","virustotal-report","misc"

