uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5efef9ad-8d08-4091-a64b-621fc0a80102",17422,"Payload delivery","filename","blessing.exe","",0,1593768365,"","","","",""
"5efef9ad-62bc-4b2b-a51c-621fc0a80102",17422,"Payload delivery","md5","9491d96f0da2f0668a7e66721e84ab52","",1,1593768365,"","","","",""
"5efef9ad-8a50-4b97-8795-621fc0a80102",17422,"Payload delivery","sha1","0281dfaddd71b8a5b1b8e54417cd94d051dd0450","",1,1593768365,"","","","",""
"5efef9ad-84d4-4b7c-a03f-621fc0a80102",17422,"Payload delivery","sha256","38c234dc0bd0297dc390529d3c11887b19219b76f5f279e8d3484856783f85eb","",1,1593768365,"","","","",""
"5efef9ad-4ee0-49bf-894f-621fc0a80102",17422,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1593768365,"","","","",""
"5efef9ad-f158-4612-9289-621fc0a80102",17422,"Payload delivery","imphash","eb3539e8006979f5750642b40bd0f3a8","",0,1593768365,"","","","",""
"5efef9ad-55b0-4e26-b469-621fc0a80102",17422,"Network activity","url","http://boasteel.us/blessing.exe","",1,1593768365,"","","","",""
"5efef9ad-d2a4-464b-bf6e-621fc0a80102",17422,"Network activity","domain","boasteel.us","",1,1593768365,"","","","",""
"68ebfbc0-2c09-401d-a4ae-634dbedec27f",17422,"Other","text","CODE","",0,1593768367,"name","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"70543cfd-91ed-403e-b7a9-9afcff2615d5",17422,"Payload delivery","md5","41d76d4ca89b4d96c40335a843cba168","",1,1593768367,"md5","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"c434c977-c8b0-4e00-8952-436d3ff37893",17422,"Payload delivery","sha1","f0e67884ddf41c9df113a207027f91869c4cab10","",1,1593768367,"sha1","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"3dff73f3-d98f-4de6-bc35-7d06fce914f1",17422,"Payload delivery","sha256","8719debe3e3e1bf5885dc2c680d454b096e7b035589f54b5f221b5d1310e1ac2","",1,1593768367,"sha256","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"705424a4-2f16-402a-a001-646d989dbcd7",17422,"Other","size-in-bytes",406528,"",0,1593768367,"size-in-bytes","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"516435a6-ecea-43ae-8956-406bc3844123",17422,"Other","float",6.60472,"",0,1593768367,"entropy","","0371b905-50a2-4476-8770-295cae4c79e5","pe-section","file"
"23114a80-cfbf-4a30-a921-432a91a07d96",17422,"Other","text","DATA","",0,1593768368,"name","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"9439463b-4f64-4a39-8e53-97bab2af300c",17422,"Payload delivery","md5","d85f3ab64a9aecf70fedf8bf29dfd4fe","",1,1593768368,"md5","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"79b237f7-640b-4ab7-8c23-f411b0a9839d",17422,"Payload delivery","sha1","6cd54c0a7ef9011cd318a54c4273bfb9dcb580f9","",1,1593768368,"sha1","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"3e5880ef-beb8-4aaf-b5c1-e34e89d066ce",17422,"Payload delivery","sha256","9c882106e93e80e66b13b2f5e8965a2926723472c91a0a9ece5c27e4f8771401","",1,1593768368,"sha256","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"9fec6dac-709e-4ed0-a2c3-b8474fb40559",17422,"Other","size-in-bytes",5120,"",0,1593768368,"size-in-bytes","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"208ef2eb-9d5c-43dd-8e26-479dc4a038fe",17422,"Other","float",3.90142,"",0,1593768368,"entropy","","11afe7c7-4030-4751-b30e-f5f865f0c8c3","pe-section","file"
"0a85404e-93a9-4c33-9ee5-f6ff3cb8a501",17422,"Other","text","BSS","",0,1593768369,"name","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"f1fdfddd-8741-4202-8be6-33cdd0d2ecea",17422,"Payload delivery","md5","d41d8cd98f00b204e9800998ecf8427e","",1,1593768369,"md5","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"6b223ecb-807c-4a07-a40f-6e9f0f9a082f",17422,"Payload delivery","sha1","da39a3ee5e6b4b0d3255bfef95601890afd80709","",1,1593768369,"sha1","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"b5ad600c-718d-4106-8f48-7c1e324b5169",17422,"Payload delivery","sha256","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","",1,1593768369,"sha256","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"065188f6-7970-49ab-bce0-2aee6205b486",17422,"Other","size-in-bytes",0,"",0,1593768369,"size-in-bytes","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"8a5423ab-9cac-4ead-b7ea-94d2379fbc2a",17422,"Other","float",0.0,"",0,1593768369,"entropy","","2b21564d-6017-44d2-bb1a-4527d8101a61","pe-section","file"
"ef8bda10-5eeb-49c4-b756-cde58b54dd46",17422,"Other","text",".idata","",0,1593768371,"name","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"3a34c06f-21a6-4536-996a-cb6c7f8ae603",17422,"Payload delivery","md5","bd6e125c5fff9dfa819b63e5de68c0e1","",1,1593768371,"md5","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"d1d448da-0248-45a0-aa6e-82da60d3d436",17422,"Payload delivery","sha1","73239fdba33977f8e99c5c68d7c4fedf1ebce438","",1,1593768371,"sha1","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"e64e0499-adc2-4c96-a6bd-d3c77f8dd51a",17422,"Payload delivery","sha256","11a4d29da28530bba4e7a830b8ee3e17b602dc7400c484d4957f7e846b36d65c","",1,1593768371,"sha256","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"c3994f02-8b1a-415c-aa4f-fa295cae110e",17422,"Other","size-in-bytes",8704,"",0,1593768371,"size-in-bytes","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"533944ae-7515-4a94-8478-5acdc3ef6840",17422,"Other","float",5.04603,"",0,1593768371,"entropy","","cb883b99-0340-43d7-8d2a-52f5d9a481a8","pe-section","file"
"963b5c2d-46b9-41cb-b328-733f09fec4cb",17422,"Other","text",".rdata","",0,1593768373,"name","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"ad61542d-c7e6-4ab6-af83-e5a5dd958545",17422,"Payload delivery","md5","ba8edfc02a98bf9d77c0dbfb8022249a","",1,1593768373,"md5","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"f226b7b5-d33d-44bb-ad2f-f67236de2bab",17422,"Payload delivery","sha1","9f8a0df79a50b3e39057404942306f7ac7fe3bf1","",1,1593768373,"sha1","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"568b93da-a6df-4c42-92b1-142c19b1cebd",17422,"Payload delivery","sha256","6505930b30936c4b3d53e36d45effbb454ab69e46306014e8e5fc9c81854b1f9","",1,1593768373,"sha256","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"c53eb8db-0da6-4891-9b82-1deefcbd024b",17422,"Other","size-in-bytes",512,"",0,1593768373,"size-in-bytes","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"a4fcb4ed-5b1d-4f91-b17b-df86cbe4ef93",17422,"Other","float",0.200582,"",0,1593768373,"entropy","","04dda67d-d88f-46e9-a9b3-9084ed1f96d3","pe-section","file"
"f6f889af-4a43-4917-95aa-21adfb733c9d",17422,"Other","text",".reloc","",0,1593768374,"name","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"ae22c246-4fac-4f26-8001-4f396b8fa825",17422,"Payload delivery","md5","f842336c60bc8031a84d4b0b240a25be","",1,1593768374,"md5","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"958ff3dd-5d78-4339-8075-cf31726afbe7",17422,"Payload delivery","sha1","8c042fc25619ddd4dc9009911d06141fcda1ff99","",1,1593768374,"sha1","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"d9c10a9c-2508-4607-a9a8-bf823bfe4ba2",17422,"Payload delivery","sha256","d9212c2164e114051b43da07f0270cfdd10b51caf04f5330b639b2a278b80532","",1,1593768374,"sha256","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"61450f4a-1995-4a8d-87a6-047c01b3c391",17422,"Other","size-in-bytes",26112,"",0,1593768374,"size-in-bytes","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"440070f4-6f42-4f83-a420-4124a05ef863",17422,"Other","float",6.66622,"",0,1593768374,"entropy","","3eb90925-2464-49ee-940b-afa1561e0d9e","pe-section","file"
"ab7bd0c3-ace3-4b67-8981-bfcd278aff1a",17422,"Other","text",".rsrc","",0,1593768376,"name","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"fb247864-75c0-45db-98f0-6545101f46a1",17422,"Payload delivery","md5","64af5327ef328914b71f152d233e1469","",1,1593768376,"md5","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"b0274c51-06b5-4567-9853-dd671010ab90",17422,"Payload delivery","sha1","4bbbd71ceaab43f179a090d6bfc98039abc2ece4","",1,1593768376,"sha1","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"24abe401-5aa5-4ca3-a836-833147ee1ceb",17422,"Payload delivery","sha256","03e1d0449ff676e25cef831389bc1432e3b830ae08a7b04ded8566287b9cf357","",1,1593768376,"sha256","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"2850c1bb-fe89-4ace-97a0-a314f2b702e9",17422,"Other","size-in-bytes",254464,"",0,1593768376,"size-in-bytes","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"a2a40100-b4ea-4ff8-b74a-0f7ef30897ea",17422,"Other","float",7.52602,"",0,1593768376,"entropy","","d1c4e5af-ccef-472c-bff9-f1b7ef19b210","pe-section","file"
"f371f74d-f2b7-49fc-9e92-9970f758da56",17422,"External analysis","link","https://www.virustotal.com/gui/file/38c234dc0bd0297dc390529d3c11887b19219b76f5f279e8d3484856783f85eb/detection","",0,1593768377,"permalink","","3fa96040-a3e5-4f45-982a-eb37ef52d849","virustotal-report","misc"
"2b72693f-9c96-40d8-9a8c-bded4062eb58",17422,"Other","datetime","2020-07-03T02:59:17.000000+0000","",0,1593768377,"last-submission","","3fa96040-a3e5-4f45-982a-eb37ef52d849","virustotal-report","misc"
