uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0429f4-ad58-45f9-9fe4-3971c0a80102",18063,"Payload delivery","filename","sora.x86","",0,1594108404,"","","","",""
"5f0429f4-833c-4940-b140-3971c0a80102",18063,"Payload delivery","md5","fa305086313563bd64ba4da2f473366e","",1,1594108404,"","","","",""
"5f0429f4-23fc-41ab-865b-3971c0a80102",18063,"Payload delivery","sha1","2b5055bebf6a51f2be9be9cc9ab05cd0c9c8b84d","",1,1594108404,"","","","",""
"5f0429f4-5eb4-48af-bc82-3971c0a80102",18063,"Payload delivery","sha256","5a73d209f4a73e200d07cadcff4961d14a306a0ba590eb4f6e946d121f0ad499","",1,1594108404,"","","","",""
"5f0429f5-68c4-4624-8375-3971c0a80102",18063,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (SYSV), statically linked, stripped","",0,1594108405,"","","","",""
"5f0429f5-79fc-4042-bca6-3971c0a80102",18063,"Network activity","url","http://165.22.112.208/bins/sora.x86","",1,1594108405,"","","","",""
"5f0429f5-fa78-49a2-a281-3971c0a80102",18063,"Network activity","ip-dst","165.22.112.208","",1,1594108405,"","","","",""
"7f83cfc4-b26d-4e5b-b976-47df9e205cec",18063,"External analysis","link","https://www.virustotal.com/gui/file/5a73d209f4a73e200d07cadcff4961d14a306a0ba590eb4f6e946d121f0ad499/detection","",0,1594108410,"permalink","","2a7c7392-fc45-43e8-b4f0-d0ddc5b409c0","virustotal-report","misc"
"507dd45b-ef2c-4c8c-928e-3505cc498971",18063,"Other","datetime","2020-07-06T11:14:26.000000+0000","",0,1594108412,"last-submission","","2a7c7392-fc45-43e8-b4f0-d0ddc5b409c0","virustotal-report","misc"
"ba5948d1-c4fb-462e-9202-6855f07ee1e5",18063,"Other","text","36/60","",0,1594108412,"detection-ratio","","2a7c7392-fc45-43e8-b4f0-d0ddc5b409c0","virustotal-report","misc"

