uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f060a4d-e620-4608-b8a5-61cdc0a80102",18320,"Payload delivery","filename","Ayedz.ppc","",0,1594231373,"","","","",""
"5f060a4d-423c-4cb7-b2c3-61cdc0a80102",18320,"Payload delivery","md5","6aee6037dfc9211577888c769007d596","",1,1594231373,"","","","",""
"5f060a4d-a8e4-46fd-a924-61cdc0a80102",18320,"Payload delivery","sha1","1459b79202f1f2654c27bbab519114cb8e54da93","",1,1594231373,"","","","",""
"5f060a4d-1218-4f54-91ba-61cdc0a80102",18320,"Payload delivery","sha256","11a471a25343f5dd7b40c32379632e9ccec8426f3e003bbb49e0886f3b2b9077","",1,1594231373,"","","","",""
"5f060a4d-8938-4aa0-846b-61cdc0a80102",18320,"Payload delivery","mime-type","ELF 32-bit MSB executable, PowerPC or cisco 4500, version 1 (SYSV), statically linked, not stripped","",0,1594231373,"","","","",""
"5f060a4d-f204-452e-ace5-61cdc0a80102",18320,"Network activity","url","http://37.49.230.45/Ayedz.ppc","",1,1594231373,"","","","",""
"5f060a4d-f840-45e2-acef-61cdc0a80102",18320,"Network activity","ip-dst","37.49.230.45","",1,1594231373,"","","","",""
"f5d4c2e3-3275-45ee-ad47-2daa3d9f2e0c",18320,"External analysis","link","https://www.virustotal.com/gui/file/11a471a25343f5dd7b40c32379632e9ccec8426f3e003bbb49e0886f3b2b9077/detection","",0,1594231373,"permalink","","48401885-e9fe-44d7-b310-7300fdffd2c8","virustotal-report","misc"
"f690b51e-b5ac-48c4-a306-317512464c4b",18320,"Other","datetime","2020-07-08T06:19:36.000000+0000","",0,1594231373,"last-submission","","48401885-e9fe-44d7-b310-7300fdffd2c8","virustotal-report","misc"
"7a30bf77-c3c2-40c6-a9cf-df157130fb6f",18320,"Other","text","28/59","",0,1594231373,"detection-ratio","","48401885-e9fe-44d7-b310-7300fdffd2c8","virustotal-report","misc"

