uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f06ccd6-542c-475f-88af-0a92c0a80102",18766,"Payload delivery","filename","vcimanagement.spc","",0,1594281174,"","","","",""
"5f06ccd6-6dd8-439f-8730-0a92c0a80102",18766,"Payload delivery","md5","d93c8d94187946e891648b019c7ac0c8","",1,1594281174,"","","","",""
"5f06ccd6-442c-4a30-a73e-0a92c0a80102",18766,"Payload delivery","sha1","3961ed406dc52eee8308ca505062a2d877decd5d","",1,1594281174,"","","","",""
"5f06ccd6-f820-442a-b65d-0a92c0a80102",18766,"Payload delivery","sha256","adfb7cf91f83cec14d74d8b8c91a401d7d63685b44e077dcc858665bac887f3d","",1,1594281174,"","","","",""
"5f06ccd6-3148-4892-b025-0a92c0a80102",18766,"Payload delivery","mime-type","ELF 32-bit MSB executable, SPARC, version 1 (SYSV), statically linked, stripped","",0,1594281174,"","","","",""
"5f06ccd6-92b4-4421-ae35-0a92c0a80102",18766,"Network activity","url","http://37.49.224.189/bins/vcimanagement.spc","",1,1594281174,"","","","",""
"5f06ccd6-032c-477c-9ab6-0a92c0a80102",18766,"Network activity","ip-dst","37.49.224.189","",1,1594281174,"","","","",""
"00e2860b-1ac5-4287-bb0c-68eceb33dfd7",18766,"External analysis","link","https://www.virustotal.com/gui/file/adfb7cf91f83cec14d74d8b8c91a401d7d63685b44e077dcc858665bac887f3d/detection","",0,1594281176,"permalink","","4bbbb009-08d3-4a91-a356-01702b030b3d","virustotal-report","misc"
"47071489-8b18-4d3f-820c-113e0b89842a",18766,"Other","datetime","2020-07-09T06:16:48.000000+0000","",0,1594281176,"last-submission","","4bbbb009-08d3-4a91-a356-01702b030b3d","virustotal-report","misc"
"14fdb227-d82f-4e7e-acab-527549fecc35",18766,"Other","text","30/57","",0,1594281176,"detection-ratio","","4bbbb009-08d3-4a91-a356-01702b030b3d","virustotal-report","misc"

