uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f07147a-c968-481a-96e3-0b71c0a80102",18855,"Payload delivery","filename","TZ9Z4hXCe51Vx1v.exe","",0,1594299514,"","","","",""
"5f07147a-d3ec-4611-921d-0b71c0a80102",18855,"Payload delivery","md5","74a8a89b839276f0573a2d0366425302","",1,1594299514,"","","","",""
"5f07147a-7d0c-4420-a80c-0b71c0a80102",18855,"Payload delivery","sha1","18e8763bae7a5c1b409ed10c0e2a7a52f57ba995","",1,1594299514,"","","","",""
"5f07147a-bbec-4fc6-9476-0b71c0a80102",18855,"Payload delivery","sha256","a7b732a20e4255640c357284a6677f92e755cdfc0a1b7fc81f3a6928c72fe857","",1,1594299514,"","","","",""
"5f07147a-5884-49cd-bbb7-0b71c0a80102",18855,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1594299514,"","","","",""
"5f07147a-819c-4fa7-8c61-0b71c0a80102",18855,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1594299514,"","","","",""
"5f07147a-4b78-449f-8218-0b71c0a80102",18855,"Network activity","url","http://192.3.31.220/TZ9Z4hXCe51Vx1v.exe","",1,1594299514,"","","","",""
"5f07147a-f2c0-4439-8219-0b71c0a80102",18855,"Network activity","ip-dst","192.3.31.220","",1,1594299514,"","","","",""
"26390716-da0a-4967-8aa5-8221fafa8633",18855,"Other","text",".text","",0,1594299515,"name","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"d311fc21-58cb-4a64-b8c3-62c86eb9fb1c",18855,"Payload delivery","md5","870ff43d16fb1767e28e7fa53e2c0b9e","",1,1594299515,"md5","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"324f4445-bf0f-4420-9c77-cf078cd33ef7",18855,"Payload delivery","sha1","751bd8f3438a79ae788802e342cb43b55ea2dc32","",1,1594299515,"sha1","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"7e2b30a0-2220-4b72-9262-391e0d9503e6",18855,"Payload delivery","sha256","8b92958e24b259b6c20b60a85b416fbf8afb6f7838f11702be5d148ce9b6a8a1","",1,1594299515,"sha256","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"0e04b480-0de9-4b9c-ba0a-3966eee3888b",18855,"Other","size-in-bytes",541696,"",0,1594299515,"size-in-bytes","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"b94bc84a-c4a3-4e70-b944-90ef8c3de39f",18855,"Other","float",7.92305,"",0,1594299515,"entropy","","bcc024b6-0fe3-49e6-940e-2f370899b528","pe-section","file"
"cf90b965-523c-4768-86f5-16d47fada532",18855,"Other","text",".rsrc","",0,1594299515,"name","","66084d72-e6c0-48b8-8c74-9eb3464b8133","pe-section","file"
"40e7b1ae-0125-41e4-a488-64792b6214fe",18855,"Payload delivery","md5","a80dfe99223824a0c97aa0925065752a","",1,1594299515,"md5","","66084d72-e6c0-48b8-8c74-9eb3464b8133","pe-section","file"
"d21c0f38-282d-4cca-accb-0ea25465eda3",18855,"Payload delivery","sha1","f4b41a9a1527c099dca8c5ac0d7c00a45c2048b8","",1,1594299515,"sha1","","66084d72-e6c0-48b8-8c74-9eb3464b8133","pe-section","file"
