uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f071e0c-5a08-471e-b347-2f0ec0a80102",18860,"Payload delivery","filename","47143a28_d773_4d2e_b216_b6242ec935d6.zip","",0,1594301964,"","","","",""
"5f071e0c-16dc-4327-922f-2f0ec0a80102",18860,"Payload delivery","md5","871d752ef4530fdfca89b8932f4f31bb","",1,1594301964,"","","","",""
"5f071e0c-be50-41e1-b51d-2f0ec0a80102",18860,"Payload delivery","sha1","0aeea1fb6d79c4f631099a49c03dd99b4d77f77b","",1,1594301964,"","","","",""
"5f071e0c-13f4-4d06-a407-2f0ec0a80102",18860,"Payload delivery","sha256","ea8e0b89263ee9edfadd09394f3db8db5e54f6863abf7e2ff74dc972b84d0347","",1,1594301964,"","","","",""
"5f071e0c-a2c4-4b72-9349-2f0ec0a80102",18860,"Payload delivery","mime-type","Zip archive data, at least v1.0 to extract","",0,1594301964,"","","","",""
"5f071e0c-29e4-4ec1-a3ab-2f0ec0a80102",18860,"Network activity","url","https://www.bdpolice.co/47143a28_d773_4d2e_b216_b6242ec935d6.zip","",1,1594301964,"","","","",""
"5f071e0c-2b30-4f99-870f-2f0ec0a80102",18860,"Network activity","domain","www.bdpolice.co","",1,1594301964,"","","","",""
"a99947e2-2872-4bc8-bd33-d4e1e2e1d396",18860,"External analysis","link","https://www.virustotal.com/gui/file/ea8e0b89263ee9edfadd09394f3db8db5e54f6863abf7e2ff74dc972b84d0347/detection","",0,1594301965,"permalink","","bca5a85c-e218-4405-9d95-a62395b53b82","virustotal-report","misc"
"3e4bbf89-37a6-492f-b861-4a3d12fa3f60",18860,"Other","datetime","2020-07-07T13:38:03.000000+0000","",0,1594301965,"last-submission","","bca5a85c-e218-4405-9d95-a62395b53b82","virustotal-report","misc"
"d5fba33c-6be1-4412-ab05-9daf38bb1cfe",18860,"Other","text","40/64","",0,1594301965,"detection-ratio","","bca5a85c-e218-4405-9d95-a62395b53b82","virustotal-report","misc"

