uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f084890-88e0-4cff-ba60-47a6c0a80102",19066,"Payload delivery","filename","armv6l","",0,1594378384,"","","","",""
"5f084890-6fe0-4dd9-8275-47a6c0a80102",19066,"Payload delivery","md5","032de243217497c3d6b14e5bdd7f6943","",1,1594378384,"","","","",""
"5f084890-7fdc-4a98-a382-47a6c0a80102",19066,"Payload delivery","sha1","e6b369e216226ddc41ead245f68e617d78283c27","",1,1594378384,"","","","",""
"5f084890-3cd0-4414-8365-47a6c0a80102",19066,"Payload delivery","sha256","a9a53ff222177087c49bbe5f1de3d29dcc959154c34bd9884eda9f14529c03d5","",1,1594378384,"","","","",""
"5f084890-4de4-419e-a3c8-47a6c0a80102",19066,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1594378384,"","","","",""
"5f084890-a7e4-4321-8ed7-47a6c0a80102",19066,"Network activity","url","http://45.95.168.106/armv6l","",1,1594378384,"","","","",""
"5f084890-1594-4c67-90d9-47a6c0a80102",19066,"Network activity","ip-dst","45.95.168.106","",1,1594378384,"","","","",""
"bc6ece46-8b76-477c-a721-85ba19f5f6f4",19066,"External analysis","link","https://www.virustotal.com/gui/file/a9a53ff222177087c49bbe5f1de3d29dcc959154c34bd9884eda9f14529c03d5/detection","",0,1594378385,"permalink","","3bfd0e71-725f-437e-a8d9-dde6893a2389","virustotal-report","misc"
"262eb61a-3bf0-4f12-997b-64befee9414b",19066,"Other","datetime","2020-07-10T06:01:37.000000+0000","",0,1594378385,"last-submission","","3bfd0e71-725f-437e-a8d9-dde6893a2389","virustotal-report","misc"
"4a824983-f1e0-44e1-baac-3fc6dbe6d923",19066,"Other","text","32/59","",0,1594378385,"detection-ratio","","3bfd0e71-725f-437e-a8d9-dde6893a2389","virustotal-report","misc"

