uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0a7b92-78d0-4af2-b647-49f7c0a80102",19708,"Payload delivery","filename","SnOoPy.sh","",0,1594522514,"","","","",""
"5f0a7b92-d724-48f3-816a-49f7c0a80102",19708,"Payload delivery","md5","d2aa70ca6a042434177e330239f071c0","",1,1594522514,"","","","",""
"5f0a7b92-c498-471b-92c2-49f7c0a80102",19708,"Payload delivery","sha1","060eb6a0c5687f5f4b764244a4e9b3e4735690b8","",1,1594522514,"","","","",""
"5f0a7b92-a86c-4d98-8eef-49f7c0a80102",19708,"Payload delivery","sha256","c7e3e9d203eaafe45086cc372ebf37b6f3953d3a25ee359e74318f8ae5c8cb2f","",1,1594522514,"","","","",""
"5f0a7b92-c7d8-466a-a541-49f7c0a80102",19708,"Payload delivery","mime-type","Bourne-Again shell script, ASCII text executable","",0,1594522514,"","","","",""
"5f0a7b92-5bcc-481b-9307-49f7c0a80102",19708,"Network activity","url","http://159.89.226.30/SnOoPy.sh","",1,1594522514,"","","","",""
"5f0a7b92-d534-4e90-af1d-49f7c0a80102",19708,"Network activity","ip-dst","159.89.226.30","",1,1594522514,"","","","",""
"80e8811e-d86a-48c3-9ad0-161c04fdbcd5",19708,"External analysis","link","https://www.virustotal.com/gui/file/c7e3e9d203eaafe45086cc372ebf37b6f3953d3a25ee359e74318f8ae5c8cb2f/detection","",0,1594522515,"permalink","","461d0583-a715-418d-b84d-3cff1a73aa35","virustotal-report","misc"
"0b630b33-2797-4ace-83f8-8a7a6edf7b68",19708,"Other","datetime","2020-07-12T00:58:42.000000+0000","",0,1594522515,"last-submission","","461d0583-a715-418d-b84d-3cff1a73aa35","virustotal-report","misc"
"281c7ff8-7167-448d-bac5-1d908e70e506",19708,"Other","text","20/60","",0,1594522515,"detection-ratio","","461d0583-a715-418d-b84d-3cff1a73aa35","virustotal-report","misc"

