uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0c20f5-e120-480c-8b32-02ddc0a80102",19990,"Payload delivery","filename","PRHRRPtelecom.mpsl","",0,1594630389,"","","","",""
"5f0c20f5-7408-4f1e-888e-02ddc0a80102",19990,"Payload delivery","md5","33a57bc835bb09adeebe469507924651","",1,1594630389,"","","","",""
"5f0c20f5-f3a4-4bb7-8c76-02ddc0a80102",19990,"Payload delivery","sha1","2f358473159b9d92c7fc6a4213c3c7c2a7f9578d","",1,1594630389,"","","","",""
"5f0c20f5-c4b0-418c-adc3-02ddc0a80102",19990,"Payload delivery","sha256","c2f0fad0ffc68b58f044e5ee88f0539434befb9c3a69338dd5f2d121e0ad3900","",1,1594630389,"","","","",""
"5f0c20f5-f284-4c50-8b44-02ddc0a80102",19990,"Payload delivery","mime-type","ELF 32-bit LSB executable, MIPS, MIPS-I version 1 (SYSV), statically linked, stripped","",0,1594630389,"","","","",""
"5f0c20f5-44d4-4b10-8327-02ddc0a80102",19990,"Network activity","url","http://45.95.168.157/bins/PRHRRPtelecom.mpsl","",1,1594630389,"","","","",""
"5f0c20f5-2930-46c9-9f63-02ddc0a80102",19990,"Network activity","ip-dst","45.95.168.157","",1,1594630389,"","","","",""
"8a2d86df-16b0-4767-9680-5376d89c980d",19990,"External analysis","link","https://www.virustotal.com/gui/file/c2f0fad0ffc68b58f044e5ee88f0539434befb9c3a69338dd5f2d121e0ad3900/detection","",0,1594630391,"permalink","","2867c0fc-2b2f-4b89-b547-2acde293a069","virustotal-report","misc"
"bd0a8cc8-0cb0-45fb-8e8b-99f04cc31e29",19990,"Other","datetime","2020-07-13T07:40:21.000000+0000","",0,1594630391,"last-submission","","2867c0fc-2b2f-4b89-b547-2acde293a069","virustotal-report","misc"
"3078a108-06d1-4303-b369-e1ec42fc9590",19990,"Other","text","28/59","",0,1594630391,"detection-ratio","","2867c0fc-2b2f-4b89-b547-2acde293a069","virustotal-report","misc"

