uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0c77b1-a1d0-49c4-8a64-039cc0a80102",20081,"Payload delivery","filename","facebook.Text.exe","",0,1594652593,"","","","",""
"5f0c77b1-10f4-428e-9dff-039cc0a80102",20081,"Payload delivery","md5","2d96d4b232edab88dd7bf3ab0e87f5f0","",1,1594652593,"","","","",""
"5f0c77b1-a6cc-4af8-9080-039cc0a80102",20081,"Payload delivery","sha1","7979259ca944d83302caa738fc01f460b31e8d85","",1,1594652593,"","","","",""
"5f0c77b1-bad0-4f04-be06-039cc0a80102",20081,"Payload delivery","sha256","d85623e40ad2ce2710913d1033fc78e3c0c7151837f4af41bf592ceb5bf68cdf","",1,1594652593,"","","","",""
"5f0c77b1-2cf0-43f2-b9b7-039cc0a80102",20081,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386 Mono/.Net assembly, for MS Windows","",0,1594652593,"","","","",""
"5f0c77b1-2a9c-4b4a-884c-039cc0a80102",20081,"Payload delivery","imphash","f34d5f2d4577ed6d9ceec516c1f5a744","",0,1594652593,"","","","",""
"5f0c77b1-0348-4eac-8fed-039cc0a80102",20081,"Network activity","url","http://web.eng.ubu.ac.th/~seminar/research/Research.2557/facebook.Text.exe","",1,1594652593,"","","","",""
"5f0c77b1-3a84-42a5-a96f-039cc0a80102",20081,"Network activity","domain","web.eng.ubu.ac.th","",1,1594652593,"","","","",""
"c0b6ac8b-c1ee-4deb-b249-6d8d65291e2a",20081,"Other","text",".text","",0,1594652593,"name","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"a7c96fc5-5962-47af-8dfe-9aee313eb542",20081,"Payload delivery","md5","c61e0d32e47d31043e9902f95fb6f594","",1,1594652593,"md5","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"1fe1bec2-afd1-402a-8bdc-ce3539abe525",20081,"Payload delivery","sha1","1ce4e3bc48b3c18a578ef7f760df793760690ccd","",1,1594652593,"sha1","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"a80c5dbe-f8b1-4898-884d-6cbf1ca2faf7",20081,"Payload delivery","sha256","a8b5aed73360d65dad55995bc2faf58f4add132762b091f0a9305d3c6a103026","",1,1594652593,"sha256","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"f6e52d7e-b7e1-4803-abc8-99f2c355287f",20081,"Other","size-in-bytes",97792,"",0,1594652593,"size-in-bytes","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"7993c015-bce8-44bc-865d-502a8d94e886",20081,"Other","float",7.95934,"",0,1594652593,"entropy","","2167c519-ab4d-41ba-a31c-9ac21a277c3d","pe-section","file"
"e1f7a533-d321-4c74-8915-b35a04fcf5db",20081,"Other","text",".rsrc","",0,1594652594,"name","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"b42ec24c-02f2-4db2-ae61-d4e8ff950cc7",20081,"Payload delivery","md5","74403f935c774751a2c63b1ca9527c7a","",1,1594652594,"md5","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"dbef6393-43bd-481b-8f21-ded355bbf0d1",20081,"Payload delivery","sha1","841af572287c5ec1bfc4ee415878ced395a38f40","",1,1594652594,"sha1","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"e36cccff-b8ab-4da2-86f0-1fcd5bb908ff",20081,"Payload delivery","sha256","56f128a04b4dbea78892048f06b275df585b401f715dbd2111ecc5ef98672879","",1,1594652594,"sha256","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"e6faa724-716b-4f17-9013-f53e0a07fd8d",20081,"Other","size-in-bytes",18944,"",0,1594652594,"size-in-bytes","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"b8840a1c-4b50-48d5-8aeb-a3a35b62154a",20081,"Other","float",4.646,"",0,1594652594,"entropy","","f658980b-d3f5-4576-a88b-cb6f933280b1","pe-section","file"
"f7f46786-983f-4bf7-b0e0-0501bb533999",20081,"Other","text",".reloc","",0,1594652594,"name","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"69b4c843-716e-4ec4-aae6-21646a0d7851",20081,"Payload delivery","md5","b45a77fb6ff5ed4ed4d61025a2fc5f20","",1,1594652594,"md5","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"daf020a9-4a7a-45f4-8b6c-a55c69d3a4dc",20081,"Payload delivery","sha1","4473590b218b58c6e580370042491702f39940d8","",1,1594652594,"sha1","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"a2eff93d-b093-4907-a074-60383a4e4999",20081,"Payload delivery","sha256","c558057c80e4c37cde518c1905e6d029ae25c5dfc085c4677be6004ef8ac3901","",1,1594652594,"sha256","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"65016469-682e-4f7c-9fb6-ce573131b6c7",20081,"Other","size-in-bytes",512,"",0,1594652594,"size-in-bytes","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"00ab8959-b6d7-46e3-8884-f34437c6a5b9",20081,"Other","float",0.10191,"",0,1594652594,"entropy","","6c921d9d-6e64-44fe-bfca-b7c68e447e2d","pe-section","file"
"637964cc-7f3d-445c-9ecf-44478baf9d82",20081,"External analysis","link","https://www.virustotal.com/gui/file/d85623e40ad2ce2710913d1033fc78e3c0c7151837f4af41bf592ceb5bf68cdf/detection","",0,1594652594,"permalink","","ca17297d-549f-4d19-a1eb-0ef104fa0d66","virustotal-report","misc"
"190fc88a-eac1-4d67-b21e-0796cd89e442",20081,"Other","datetime","2020-02-18T22:07:03.000000+0000","",0,1594652594,"last-submission","","ca17297d-549f-4d19-a1eb-0ef104fa0d66","virustotal-report","misc"
"bb2d5c2d-348c-4668-851c-69ce87bd824c",20081,"Other","text","52/72","",0,1594652594,"detection-ratio","","ca17297d-549f-4d19-a1eb-0ef104fa0d66","virustotal-report","misc"

