uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0d6b57-bab0-4566-8f6e-3697c0a80102",20253,"Payload delivery","filename","arm5","",0,1594714967,"","","","",""
"5f0d6b58-d0c0-4b59-9be5-3697c0a80102",20253,"Payload delivery","md5","898aebce9520eb70b4e93ec4207f24d7","",1,1594714968,"","","","",""
"5f0d6b58-058c-4ddb-b005-3697c0a80102",20253,"Payload delivery","sha1","5bd96823ea5f594bfc90d8ee34eff4cb697f024c","",1,1594714968,"","","","",""
"5f0d6b58-bfc8-418d-9450-3697c0a80102",20253,"Payload delivery","sha256","713c070c16f47e7d9b081e8661fb54819f40ab68c270d43470acdb78141e2ac3","",1,1594714968,"","","","",""
"5f0d6b58-059c-4584-8e6a-3697c0a80102",20253,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1594714968,"","","","",""
"5f0d6b58-9564-4a3b-b197-3697c0a80102",20253,"Network activity","url","http://45.95.168.248/1/arm5","",1,1594714968,"","","","",""
"5f0d6b58-66f0-466b-ac19-3697c0a80102",20253,"Network activity","ip-dst","45.95.168.248","",1,1594714968,"","","","",""
"5005d69c-8bfa-4e3f-9a72-16bf3788c56d",20253,"External analysis","link","https://www.virustotal.com/gui/file/713c070c16f47e7d9b081e8661fb54819f40ab68c270d43470acdb78141e2ac3/detection","",0,1594714969,"permalink","","a082c852-a03b-4ffc-b18f-528d9005cf7f","virustotal-report","misc"
"d897e2b7-e2eb-4696-85b5-79ad8ca66917",20253,"Other","datetime","2020-07-10T08:47:58.000000+0000","",0,1594714969,"last-submission","","a082c852-a03b-4ffc-b18f-528d9005cf7f","virustotal-report","misc"
"0ddc77af-c89c-470a-98ab-882e44530bbf",20253,"Other","text","24/59","",0,1594714969,"detection-ratio","","a082c852-a03b-4ffc-b18f-528d9005cf7f","virustotal-report","misc"

