uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f0e25b8-3998-42fc-aa8b-3539c0a80102",20434,"Payload delivery","filename","z3hir.arm5","",0,1594762680,"","","","",""
"5f0e25b8-6fe4-4580-8352-3539c0a80102",20434,"Payload delivery","md5","e378657dfcc0f5cc0c0b3d44d80355ac","",1,1594762680,"","","","",""
"5f0e25b8-de74-4cb5-92ac-3539c0a80102",20434,"Payload delivery","sha1","4b45676a0298018a9402ceed4c2d6bce4ea5915f","",1,1594762680,"","","","",""
"5f0e25b8-e3d0-41c5-9a28-3539c0a80102",20434,"Payload delivery","sha256","cdca89fdc8b3a71ae2c3f1cad8c0cbd3fdd83efa1545e7f5621153dcc226696c","",1,1594762680,"","","","",""
"5f0e25b8-2274-4335-8781-3539c0a80102",20434,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, no section header","",0,1594762680,"","","","",""
"5f0e25b8-27e0-401d-bb2d-3539c0a80102",20434,"Network activity","url","http://38.68.46.55/zehir/z3hir.arm5","",1,1594762680,"","","","",""
"5f0e25b8-541c-408a-97b6-3539c0a80102",20434,"Network activity","ip-dst","38.68.46.55","",1,1594762680,"","","","",""
"01b4d89a-f486-4dd9-9779-9eafbccce8a7",20434,"External analysis","link","https://www.virustotal.com/gui/file/cdca89fdc8b3a71ae2c3f1cad8c0cbd3fdd83efa1545e7f5621153dcc226696c/detection","",0,1594762681,"permalink","","7e0c076b-d05e-4e7a-a9ea-c88c963f556b","virustotal-report","misc"
"049c7d56-6676-446a-bea8-703bc5f9d5e6",20434,"Other","datetime","2020-07-14T20:08:52.000000+0000","",0,1594762681,"last-submission","","7e0c076b-d05e-4e7a-a9ea-c88c963f556b","virustotal-report","misc"
"9483865b-2c09-4e0b-8539-789dd62045e7",20434,"Other","text","13/60","",0,1594762681,"detection-ratio","","7e0c076b-d05e-4e7a-a9ea-c88c963f556b","virustotal-report","misc"

