uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a6ad4698-9713-418a-a2df-aa60d76cfa32",3407,"Payload delivery","filename","mpsl","",0,1716004623,"","","","",""
"41415d6c-4ccd-454c-a98f-5591a1757ffd",3407,"Payload delivery","md5","713e6c516724c110b253c718c84a6394","",1,1716004623,"","","","",""
"7fbb6d82-a90f-49fc-9f89-6313ed279405",3407,"Payload delivery","sha1","ae3f2a46b4f33499d4ab8ea8c1ecc24950891c70","",1,1716004623,"","","","",""
"84a02baf-4957-4182-ad0b-052c0fbbf94a",3407,"Payload delivery","sha256","bc25184fbc6817136ddb8652831126a55102aff784e650d5e072a26a0ee1b48d","",1,1716004623,"","","","",""
"75df28c1-4ae8-4778-86aa-62fcaca15cc1",3407,"Payload delivery","mime-type","application/x-executable","",0,1716004623,"","","","",""
"1a2eb75a-bc87-4db0-90a4-3551d1bad16b",3407,"Network activity","url","http://84.54.51.45/mpsl","",1,1716004623,"","","","",""
"d7ee1617-3af1-457d-a921-a899e3989d43",3407,"Network activity","ip-dst","84.54.51.45","",1,1716004623,"","","","",""
"a0c919a7-ea4c-4204-8e6a-d3dba5fe221a",3407,"External analysis","link","https://www.virustotal.com/gui/file/bc25184fbc6817136ddb8652831126a55102aff784e650d5e072a26a0ee1b48d/detection","",0,1716025378,"permalink","","4e1feef6-3cfe-48c3-819b-78d1e869e472","virustotal-report","misc"
"3e262ff4-9370-4c94-98cd-3b2e81997073",3407,"Other","datetime","2024-05-18T00:42:45.000000+0000","",0,1716025378,"last-submission","","4e1feef6-3cfe-48c3-819b-78d1e869e472","virustotal-report","misc"
"46cc3e44-9155-4dba-b6c9-16506aa619a3",3407,"Other","text","28/60","",0,1716025378,"detection-ratio","","4e1feef6-3cfe-48c3-819b-78d1e869e472","virustotal-report","misc"

