uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f101152-5180-4886-8572-13d9c0a80102",20668,"Payload delivery","filename","yakuza.arm6","",0,1594888530,"","","","",""
"5f101152-e3a0-44bf-a582-13d9c0a80102",20668,"Payload delivery","md5","da65aa088a4acdd8d2d569d9c7c4f3b2","",1,1594888530,"","","","",""
"5f101152-79e4-446d-a388-13d9c0a80102",20668,"Payload delivery","sha1","e8666f6cce511a435fc803cd34a490d89c3d1054","",1,1594888530,"","","","",""
"5f101152-2b5c-4b33-8fcd-13d9c0a80102",20668,"Payload delivery","sha256","2448f5e0977889fd14940326713db01cfb5669d7c7ca0a6cba89bba9a7e8e27d","",1,1594888530,"","","","",""
"5f101152-03e4-42ed-8bad-13d9c0a80102",20668,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (SYSV), statically linked, with debug_info, not stripped","",0,1594888530,"","","","",""
"5f101152-795c-47c6-adc3-13d9c0a80102",20668,"Network activity","url","http://45.84.196.147/yakuza.arm6","",1,1594888530,"","","","",""
"5f101152-5a4c-46a6-b6b5-13d9c0a80102",20668,"Network activity","ip-dst","45.84.196.147","",1,1594888530,"","","","",""
"0597708a-d9fa-4880-8991-043909c08999",20668,"External analysis","link","https://www.virustotal.com/gui/file/2448f5e0977889fd14940326713db01cfb5669d7c7ca0a6cba89bba9a7e8e27d/detection","",0,1594888532,"permalink","","3aefe034-71e9-4fcc-89f4-483c10d0c8b4","virustotal-report","misc"
"11a1f9a2-42f1-4d61-b948-63b2f8122a29",20668,"Other","datetime","2020-07-16T07:06:55.000000+0000","",0,1594888532,"last-submission","","3aefe034-71e9-4fcc-89f4-483c10d0c8b4","virustotal-report","misc"
"f9420395-fab0-404e-808b-411de68f218b",20668,"Other","text","36/60","",0,1594888532,"detection-ratio","","3aefe034-71e9-4fcc-89f4-483c10d0c8b4","virustotal-report","misc"

