uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f101b25-b5ec-40ab-bd18-14f1c0a80102",20709,"Payload delivery","filename","z3hir.x86","",0,1594891045,"","","","",""
"5f101b25-b6d8-4e8e-9943-14f1c0a80102",20709,"Payload delivery","md5","d63b4a27fb000f10c8c1b0410a821e00","",1,1594891045,"","","","",""
"5f101b25-0dd4-43bd-9748-14f1c0a80102",20709,"Payload delivery","sha1","2a3692c4e53812e4bd6bbb2534a684dee3eede53","",1,1594891045,"","","","",""
"5f101b25-a288-4f44-b2f8-14f1c0a80102",20709,"Payload delivery","sha256","070ad155f5e9dd6347c9d107062ff9a925d82305fcce20a030eb28af104b9b7c","",1,1594891045,"","","","",""
"5f101b25-3198-4dbc-a0eb-14f1c0a80102",20709,"Payload delivery","mime-type","ELF 32-bit LSB executable, Intel 80386, version 1 (GNU/Linux), statically linked, no section header","",0,1594891045,"","","","",""
"5f101b25-b67c-40c8-a2c7-14f1c0a80102",20709,"Network activity","url","http://104.237.255.254/zehir/z3hir.x86","",1,1594891045,"","","","",""
"5f101b25-1cc8-4b75-9ea7-14f1c0a80102",20709,"Network activity","ip-dst","104.237.255.254","",1,1594891045,"","","","",""
"6b50a398-6c26-43d4-86e8-9e558485ea0f",20709,"External analysis","link","https://www.virustotal.com/gui/file/070ad155f5e9dd6347c9d107062ff9a925d82305fcce20a030eb28af104b9b7c/detection","",0,1594891046,"permalink","","da114dc8-4907-4bdd-bbbc-f0d0614a91a2","virustotal-report","misc"
"b72caa63-7598-4101-b622-d3d397e397d5",20709,"Other","datetime","2020-07-14T08:37:48.000000+0000","",0,1594891046,"last-submission","","da114dc8-4907-4bdd-bbbc-f0d0614a91a2","virustotal-report","misc"
"59e6dcd5-099f-45b3-94d5-5c60565abcc7",20709,"Other","text","20/61","",0,1594891046,"detection-ratio","","da114dc8-4907-4bdd-bbbc-f0d0614a91a2","virustotal-report","misc"

