uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f103674-8d04-4a6a-afcd-13d9c0a80102",20825,"Payload delivery","filename","Hilix.arm5","",0,1594898036,"","","","",""
"5f103674-ab04-455f-b30d-13d9c0a80102",20825,"Payload delivery","md5","1a48cc7f9e423ad64b847f32b99e685c","",1,1594898036,"","","","",""
"5f103674-58e0-415a-b738-13d9c0a80102",20825,"Payload delivery","sha1","3e2f71b4779cc568d49efb40b3d6f378e4a8697d","",1,1594898036,"","","","",""
"5f103674-e1b0-465d-854a-13d9c0a80102",20825,"Payload delivery","sha256","a774442efdbecc8110987d55c0503263621b9d47959f159a94482b9adc2822dc","",1,1594898036,"","","","",""
"5f103674-6cf4-47d0-ae80-13d9c0a80102",20825,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), dynamically linked, interpreter /lib/ld-uClibc.so.0, stripped","",0,1594898036,"","","","",""
"5f103674-fa10-422c-9843-13d9c0a80102",20825,"Network activity","url","http://51.254.227.223/bins/Hilix.arm5","",1,1594898036,"","","","",""
"5f103674-40a8-4773-980e-13d9c0a80102",20825,"Network activity","ip-dst","51.254.227.223","",1,1594898036,"","","","",""
"38783645-5b83-45fe-b193-b258e6fcc03e",20825,"External analysis","link","https://www.virustotal.com/gui/file/a774442efdbecc8110987d55c0503263621b9d47959f159a94482b9adc2822dc/detection","",0,1594898038,"permalink","","af6542d8-cec5-4a05-944a-932ff9780feb","virustotal-report","misc"
"aa777baa-61d7-45c7-8fe8-c8a22cc3e206",20825,"Other","datetime","2020-07-16T08:32:25.000000+0000","",0,1594898038,"last-submission","","af6542d8-cec5-4a05-944a-932ff9780feb","virustotal-report","misc"
"1932de5d-a2a0-478b-b1ad-cde424730820",20825,"Other","text","27/53","",0,1594898038,"detection-ratio","","af6542d8-cec5-4a05-944a-932ff9780feb","virustotal-report","misc"

