uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f1084cd-3ca8-499e-8ca3-14f1c0a80102",20959,"Payload delivery","filename","proxyi.exe","",0,1594918093,"","","","",""
"5f1084cd-f31c-4641-ac68-14f1c0a80102",20959,"Payload delivery","md5","70aebb0369d357b88359ce1e8505179c","",1,1594918093,"","","","",""
"5f1084cd-590c-4f4d-8c4f-14f1c0a80102",20959,"Payload delivery","sha1","fa3be7978e37eb1395f9ab94199141f7cb1e5392","",1,1594918093,"","","","",""
"5f1084cd-867c-48af-b3c4-14f1c0a80102",20959,"Payload delivery","sha256","ecaca6aa898b507b26b166d97b78f4c7a7b6514b548985bc66e71e8d34a6a9c6","",1,1594918093,"","","","",""
"5f1084cd-f078-4719-9a3a-14f1c0a80102",20959,"Payload delivery","mime-type","PE32 executable (GUI) Intel 80386, for MS Windows","",0,1594918093,"","","","",""
"5f1084cd-bca0-492c-8116-14f1c0a80102",20959,"Payload delivery","imphash","56ed6084c5ecd8784553be57502cda76","",0,1594918093,"","","","",""
"5f1084cd-b810-4b36-9dc5-14f1c0a80102",20959,"Network activity","url","http://www.analogx.com/files/proxyi.exe","",1,1594918093,"","","","",""
"5f1084cd-87e0-4a31-a7b8-14f1c0a80102",20959,"Network activity","domain","www.analogx.com","",1,1594918093,"","","","",""
"a77ff265-9366-47c8-adba-43c5374509e7",20959,"Other","text",".text","",0,1594918095,"name","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"a3cffc7f-c4ef-44bf-a24a-f39b6279d418",20959,"Payload delivery","md5","716819c23e0b5b1e93d882add58b9fc3","",1,1594918095,"md5","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"75665a69-018a-4d91-b6fe-ed815883bbee",20959,"Payload delivery","sha1","6c62baa1ce2024d27e786dda946b6ae60ca76d90","",1,1594918095,"sha1","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"4203ef34-ca02-4b11-9dd4-e2769c35527d",20959,"Payload delivery","sha256","32eae55868f574a39a17dc7a4c6222653fe7210cd95e08e5410e411d7ced10de","",1,1594918095,"sha256","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"086ece73-9812-4d98-9f52-fe74c59238e8",20959,"Other","size-in-bytes",122368,"",0,1594918095,"size-in-bytes","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"b27ad837-58cb-401e-866e-d900e79244fa",20959,"Other","float",6.69303,"",0,1594918095,"entropy","","f6311c21-9b84-4a99-a1d1-2753116bfc79","pe-section","file"
"e469cb9b-ed23-45f5-8fcb-9da38ebf01b3",20959,"Other","text",".rdata","",0,1594918096,"name","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"c0775d88-6124-44dd-ae8d-bc7d13edfe07",20959,"Payload delivery","md5","b1dec81d7dff66c12a3b4e033dc42f98","",1,1594918096,"md5","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"eeec091a-55b3-4239-a772-d02ef6823d07",20959,"Payload delivery","sha1","55aec06ed50440fe925fbc9f63016e40dd2570fa","",1,1594918096,"sha1","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"5d8f86f9-59c8-4c3f-a49c-d9220cc724a5",20959,"Payload delivery","sha256","400be8d93aa8008eb9579f72828b74acc92025d51747cd13d8622cad145666e4","",1,1594918096,"sha256","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"25ad11a6-b169-4e41-93e8-dd836c86de92",20959,"Other","size-in-bytes",22528,"",0,1594918096,"size-in-bytes","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"c3f3db36-b350-447d-8b23-8450fe9351da",20959,"Other","float",5.57358,"",0,1594918096,"entropy","","a58c1f97-3f44-43c9-9d96-6680cbd2cb7e","pe-section","file"
"f59719ad-e615-4e6f-af91-b4bbbe18d7ec",20959,"Other","text",".data","",0,1594918098,"name","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"8a4ed29a-4e41-487d-bdef-a1052965698f",20959,"Payload delivery","md5","94661cfb3e7b984da4aa4f542d79c659","",1,1594918098,"md5","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"fd1ac382-6156-4841-86cd-caffc0c4b6bb",20959,"Payload delivery","sha1","8d02ddecc7e65745b892b152c84db5b46a3e32d8","",1,1594918098,"sha1","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"9b152455-1365-44ae-b76e-e56c3bd37765",20959,"Payload delivery","sha256","43df4bd5ef67773ee92f4a2e159a6f005305f821d0ccedf4ce8a362eeb2b703d","",1,1594918098,"sha256","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"2ca51765-11dd-40d7-9f8c-dd28c7939c47",20959,"Other","size-in-bytes",7168,"",0,1594918098,"size-in-bytes","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"7c8f64b8-5843-46f3-bd20-eeb5a92d354b",20959,"Other","float",4.54678,"",0,1594918098,"entropy","","eaf22ce3-df9b-42db-8591-9a0521dda488","pe-section","file"
"5e71c8a9-0162-47f5-aafe-58b0ad53f831",20959,"Other","text",".rsrc","",0,1594918099,"name","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"7eb5a1ef-6daa-4fdf-9a1d-8f035422db36",20959,"Payload delivery","md5","59eb655bb7c72ea4f5fe01b110ebadb1","",1,1594918099,"md5","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"97d634ec-46fb-4ad4-9ce0-b1af2f07e0f6",20959,"Payload delivery","sha1","21d82eb4564836d1c9bb0e7c62dfe92e1ff072a5","",1,1594918099,"sha1","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"fdb33502-038b-4126-af7c-3fcb6153d1ba",20959,"Payload delivery","sha256","d491679f04b050891ff0734f777cf52ed0a72380cf09bfa2c519e09eb54d56a1","",1,1594918099,"sha256","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"22f9ab14-b499-45cc-a940-9581786da65a",20959,"Other","size-in-bytes",5120,"",0,1594918099,"size-in-bytes","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"1c8c7fb0-4b1b-43b4-8bba-f4dfe53cf0ee",20959,"Other","float",4.74645,"",0,1594918099,"entropy","","b377a9f1-23d2-421e-a5a5-8ce1069b9d5b","pe-section","file"
"544c5699-cbb2-4044-a578-f2e1b058a1da",20959,"External analysis","link","https://www.virustotal.com/gui/file/ecaca6aa898b507b26b166d97b78f4c7a7b6514b548985bc66e71e8d34a6a9c6/detection","",0,1594918106,"permalink","","b6a90adb-4e2f-4fa9-b227-766c68c9df3a","virustotal-report","misc"
"9287a576-3899-4d57-baf3-13cd54ace3b8",20959,"Other","datetime","2020-07-10T11:48:53.000000+0000","",0,1594918106,"last-submission","","b6a90adb-4e2f-4fa9-b227-766c68c9df3a","virustotal-report","misc"
"da7a525b-3912-4667-9072-db11b8033231",20959,"Other","text","4/71","",0,1594918106,"detection-ratio","","b6a90adb-4e2f-4fa9-b227-766c68c9df3a","virustotal-report","misc"

