uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"5f11d3f3-5d58-423c-a91f-49bfc0a80102",21164,"Payload delivery","filename","CHINATelecom.arm6","",0,1595003891,"","","","",""
"5f11d3f3-ad10-46da-baa0-49bfc0a80102",21164,"Payload delivery","md5","3f679dc47e6f8e089f37c0a9bda7c009","",1,1595003891,"","","","",""
"5f11d3f3-0af0-4a42-a0d5-49bfc0a80102",21164,"Payload delivery","sha1","d76c8888e32caaf16bb1bab96daed8712386e42c","",1,1595003891,"","","","",""
"5f11d3f3-5fcc-484c-a24f-49bfc0a80102",21164,"Payload delivery","sha256","7af86af1505e44dc25fe919689c6c0a778decd191b81a3613cac27eaf2afcbea","",1,1595003891,"","","","",""
"5f11d3f3-7ec8-497b-a622-49bfc0a80102",21164,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, EABI4 version 1 (GNU/Linux), statically linked, no section header","",0,1595003891,"","","","",""
"5f11d3f3-d5f8-49e3-86c5-49bfc0a80102",21164,"Network activity","url","http://185.172.110.249/host/CHINATelecom.arm6","",1,1595003891,"","","","",""
"5f11d3f3-abe0-42f1-9e8b-49bfc0a80102",21164,"Network activity","ip-dst","185.172.110.249","",1,1595003891,"","","","",""
"3f59f790-1281-4856-a914-ddfc19a83bbf",21164,"External analysis","link","https://www.virustotal.com/gui/file/7af86af1505e44dc25fe919689c6c0a778decd191b81a3613cac27eaf2afcbea/detection","",0,1595003891,"permalink","","b40a5a36-4137-4a21-8845-2bf9fdd989d1","virustotal-report","misc"
"2906a3fc-b031-4852-b7e1-977f0b4be1d7",21164,"Other","datetime","2020-07-16T14:34:14.000000+0000","",0,1595003891,"last-submission","","b40a5a36-4137-4a21-8845-2bf9fdd989d1","virustotal-report","misc"
"fe022b44-6d0c-451d-87c2-209956b68b82",21164,"Other","text","17/59","",0,1595003891,"detection-ratio","","b40a5a36-4137-4a21-8845-2bf9fdd989d1","virustotal-report","misc"

