uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"fe54a3c4-206b-4e9f-9733-724136c18ad9",54803,"Payload delivery","filename","Mozi.a","",0,1620173959,"","","","",""
"aaba678e-a7cc-4bed-88d7-c4e21b2cae25",54803,"Payload delivery","md5","c18d968760b8c56b4d3109b47e25d1ed","",1,1620173959,"","","","",""
"906a6c10-925c-4f3a-96cf-3a1ed5378bf5",54803,"Payload delivery","sha1","de82c0e53a91b1b605bce25f650eb60920757252","",1,1620173959,"","","","",""
"875f9195-a175-44e9-932e-b35625c70ed2",54803,"Payload delivery","sha256","cccca1d30b1b1228ff8b6094b9bab57701f2e3b6284eb29318a8551a21445e3f","",1,1620173959,"","","","",""
"51768fa8-f30e-4fc8-8704-027c35cb03f1",54803,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, missing section headers","",0,1620173959,"","","","",""
"b31a3dd6-f75b-4252-9130-62f2d763f0c5",54803,"Network activity","url","http://113.245.184.197:58506/Mozi.a","",1,1620173959,"","","","",""
"366bdc98-b699-4d79-8747-32513da74275",54803,"Network activity","ip-dst","113.245.184.197","",1,1620173959,"","","","",""
"c978ad62-6ecb-443a-b981-eb8d7b8a3a25",54803,"External analysis","link","https://www.virustotal.com/gui/file/cccca1d30b1b1228ff8b6094b9bab57701f2e3b6284eb29318a8551a21445e3f/detection","",0,1620173960,"permalink","","44f36b5b-2afc-424c-a15e-6f1c4fa898af","virustotal-report","misc"
"fe06e923-f722-4294-83a8-9d992b1359a1",54803,"Other","datetime","2021-03-11T07:15:32.000000+0000","",0,1620173960,"last-submission","","44f36b5b-2afc-424c-a15e-6f1c4fa898af","virustotal-report","misc"
"d9ee9a06-5d2f-4307-b05f-ddf9ce0bdd34",54803,"Other","text","25/59","",0,1620173960,"detection-ratio","","44f36b5b-2afc-424c-a15e-6f1c4fa898af","virustotal-report","misc"

