uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"7f25f2f6-b02a-41bb-9e80-7843bd20c7a8",6476,"Payload delivery","filename","sparc","",0,1718861768,"","","","",""
"bd26a1bd-dce8-438c-963a-ff43d4a3c2a9",6476,"Payload delivery","md5","a662570cff751687b4bd30fb9f66fd0d","",1,1718861768,"","","","",""
"d837adc1-d2a9-44ce-81b7-f9be95234ee5",6476,"Payload delivery","sha1","6ee7cfccb7788bf79f5bee094ed43ef86ed65413","",1,1718861768,"","","","",""
"5c9e864e-27be-415b-bd07-a171b4491232",6476,"Payload delivery","sha256","e373ddd3cc5bf9b0adf022e264186e435ad1d5928f28f6758dacbeab73a3f43b","",1,1718861768,"","","","",""
"1939086e-9f5d-4cb0-b8ae-a028ccca4f18",6476,"Payload delivery","mime-type","application/x-executable","",0,1718861768,"","","","",""
"9cc9e2d3-991c-4fc9-8a45-38ec9356d7e6",6476,"Network activity","url","http://91.92.251.250/s/sparc","",1,1718861768,"","","","",""
"def3935b-d111-4f5e-8e05-8165e65a3d7e",6476,"Network activity","ip-dst","91.92.251.250","",1,1718861768,"","","","",""
"b3f5494d-00ba-42c2-b49b-40e4f2122e4b",6476,"External analysis","link","https://www.virustotal.com/gui/file/e373ddd3cc5bf9b0adf022e264186e435ad1d5928f28f6758dacbeab73a3f43b/detection","",0,1718861768,"permalink","","b1635e00-57b4-472e-a421-7a50e7b3bcf7","virustotal-report","misc"
"e83f4f3f-8ef0-4c89-a735-bc1e406726e1",6476,"Other","datetime","2024-06-20T07:25:04.000000+0000","",0,1718861768,"last-submission","","b1635e00-57b4-472e-a421-7a50e7b3bcf7","virustotal-report","misc"
"ef890d5d-7e8e-40ff-9f2a-421cb83b382f",6476,"Other","text","20/78","",0,1718861768,"detection-ratio","","b1635e00-57b4-472e-a421-7a50e7b3bcf7","virustotal-report","misc"

