uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"0bb5d615-4ccd-4597-8368-230fd920ba57",3176,"Payload delivery","filename","Mozi.m","",0,1687634642,"","","","",""
"8c898dab-ed7f-4fdd-8e1f-886ba875247d",3176,"Payload delivery","md5","9a111588a7db15b796421bd13a949cd4","",1,1687634642,"","","","",""
"b6ee47dd-3a9e-4cfa-89fb-6fbb93776380",3176,"Payload delivery","sha1","034c8c51a58be11ca620ce3eb0d43d5a59275d2f","",1,1687634642,"","","","",""
"99ee5a5b-0055-446d-a67c-3afd62e1b9c8",3176,"Payload delivery","sha256","e15e93db3ce3a8a22adb4b18e0e37b93f39c495e4a97008f9b1a9a42e1fac2b0","",1,1687634642,"","","","",""
"6c4fd2d4-6a2f-4f4d-a248-2bbaaa2cb6f0",3176,"Payload delivery","mime-type","application/x-executable","",0,1687634642,"","","","",""
"e588f2db-c8d7-4c1e-8399-704cad8965cc",3176,"Network activity","url","http://1.246.223.146:3006/Mozi.m","",1,1687634642,"","","","",""
"77d6898c-5b87-4ed8-b0a1-dc7dcb690771",3176,"Network activity","ip-dst","1.246.223.146","",1,1687634643,"","","","",""
"39769a41-0b26-4006-8b33-b4d49cc17fff",3176,"Network activity","url","http://1.246.223.103:3540/Mozi.m","",1,1687634646,"","","","",""
"4ab29da0-ffeb-4366-9f56-6d38ee4accfd",3176,"Network activity","ip-dst","1.246.223.103","",1,1687634646,"","","","",""
"a0902473-767c-4a7d-8752-97a7b6e107ad",3176,"Network activity","url","http://1.246.222.43:1699/Mozi.m","",1,1687634765,"","","","",""
"a210da69-23b5-48c4-a434-f261c6f2adf4",3176,"Network activity","ip-dst","1.246.222.43","",1,1687634765,"","","","",""
"7d3e431e-d4d7-424f-8678-23d717730a49",3176,"Network activity","url","http://1.246.222.234:3030/Mozi.m","",1,1687634824,"","","","",""
"caf85d95-b0b8-4c0c-97cf-242512036559",3176,"Network activity","ip-dst","1.246.222.234","",1,1687634824,"","","","",""
"6a8ee028-4619-428a-912c-5b8ae20ab2fc",3176,"Network activity","url","http://1.246.222.107:4428/Mozi.m","",1,1687634884,"","","","",""
"8c9d09a6-e1a9-4167-aee3-fb70240073d6",3176,"Network activity","ip-dst","1.246.222.107","",1,1687634884,"","","","",""
"b3b55408-6842-4443-b16a-470e8c8f7f78",3176,"Network activity","url","http://1.246.223.18:1988/Mozi.m","",1,1687634945,"","","","",""
"69ba2608-acde-4819-a6bb-bc3fd31f7032",3176,"Network activity","ip-dst","1.246.223.18","",1,1687634945,"","","","",""
"a939d9df-1fdb-4a13-9433-8b7ef523fa3d",3176,"Network activity","url","http://1.246.222.228:2200/Mozi.m","",1,1687635004,"","","","",""
"8731c914-ae1c-41a3-9544-16efed37946b",3176,"Network activity","ip-dst","1.246.222.228","",1,1687635004,"","","","",""
"5c9f45d6-403e-4528-8426-c76672f7af66",3176,"Network activity","url","http://1.246.223.71:1458/Mozi.m","",1,1687635184,"","","","",""
"b61d4006-4d2b-453a-9e99-00ba90a5208f",3176,"Network activity","ip-dst","1.246.223.71","",1,1687635184,"","","","",""
"347aa497-ddcf-4085-89a1-a1cf90cc0cd9",3176,"Network activity","url","http://1.246.223.223:1992/Mozi.m","",1,1687635244,"","","","",""
"d33974e2-4f46-4c62-affa-92f745979483",3176,"Network activity","ip-dst","1.246.223.223","",1,1687635244,"","","","",""
"18f3c71d-963a-42b9-9279-85fbe4d11bb1",3176,"Network activity","url","http://1.246.223.6:1064/Mozi.m","",1,1687635364,"","","","",""
"526afe7f-c735-46e0-92a0-f0f64cd912d5",3176,"Network activity","ip-dst","1.246.223.6","",1,1687635364,"","","","",""
"521b6799-fbab-401f-8e8a-8dbdfddee695",3176,"Network activity","url","http://1.246.222.249:3847/Mozi.m","",1,1687637044,"","","","",""
"70715d13-eb95-485b-9069-3ec38e1e90e5",3176,"Network activity","ip-dst","1.246.222.249","",1,1687637044,"","","","",""
"f9d9a665-aea5-4cca-a6cb-cca1511ec1c0",3176,"Network activity","url","http://1.246.223.83:4821/Mozi.m","",1,1687637404,"","","","",""
"46f12bb2-76ab-4108-88fc-1de270892899",3176,"Network activity","ip-dst","1.246.223.83","",1,1687637404,"","","","",""
"9e28cfcb-0875-4065-86d3-013f969e7b51",3176,"Payload delivery","filename","Mozi.a","",0,1687637883,"","","","",""
"ca47a53e-e782-48e0-8d3e-1e2b883d7783",3176,"Network activity","url","http://1.246.222.94:3170/Mozi.m","",1,1687637883,"","","","",""
"e92f927b-e459-4127-a8cd-11d4c132c2d9",3176,"Network activity","ip-dst","1.246.222.94","",1,1687637883,"","","","",""
"b4630b72-7254-4842-8a1d-fa6e5cd838be",3176,"Payload delivery","filename","emptyfilename.tmp","",0,1687639565,"","","","",""
"a9ca23da-fbcd-44f5-a15c-b029634d6216",3176,"Network activity","url","http://118.174.117.136:54296/Mozi.a","",1,1687639565,"","","","",""
"80128a7e-652b-4a21-bba9-2b3ca6ef8095",3176,"Network activity","ip-dst","118.174.117.136","",1,1687639565,"","","","",""
"841ddaf7-f1f2-422d-8059-f9db6ec19e44",3176,"Payload delivery","filename","Mozi.a+jaws","",0,1687642084,"","","","",""
"edba4775-6402-4062-89c2-55e7ab6fa7ee",3176,"Network activity","url","http://1.246.223.18:1988/setup.cgi?next_file=netgear.cfg&todo=syscmd&cmd=rm+-rf+/tmp/","",1,1687642084,"","","","",""
"3e47e81a-2b58-43a5-ad7f-886b0d6ad634",3176,"Network activity","url","http://1.246.223.83:4821/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+jaws","",1,1687642325,"","","","",""
"076a9487-eae7-4a3c-8335-bfb4e8321d68",3176,"Network activity","url","http://49.143.32.41:4909/Mozi.m","",1,1687642805,"","","","",""
"1f17d1e4-496c-44c4-9e9d-93612913987a",3176,"Network activity","ip-dst","49.143.32.41","",1,1687642805,"","","","",""
"28b489ad-6bdd-4044-b0b3-c8e3a1623d88",3176,"Network activity","url","http://218.73.37.52:58553/Mozi.m","",1,1687643405,"","","","",""
"54e106dd-1713-4f8b-93d9-2698006890d5",3176,"Network activity","ip-dst","218.73.37.52","",1,1687643405,"","","","",""
"be5cda3b-a8b1-4d31-b747-f32c5d626f2f",3176,"Network activity","url","http://1.246.222.43:1699/Mozi.a","",1,1687643764,"","","","",""
"9cdab8fd-0c53-41ee-8c8f-db541dd2bae6",3176,"Network activity","url","http://1.246.222.94:3170/Mozi.a","",1,1687643825,"","","","",""
"88049650-1bc0-4213-9980-d78c9174a8cc",3176,"Network activity","url","http://1.246.223.103:3540/Mozi.a","",1,1687643884,"","","","",""
"2dc626b0-0e47-4c00-be9a-c83d23a0f2c4",3176,"Network activity","url","http://1.246.223.146:3006/Mozi.a","",1,1687643944,"","","","",""
"93d68a92-b140-47ef-8fa1-8e08fb779fba",3176,"Network activity","url","http://1.246.222.107:4428/Mozi.a","",1,1687644005,"","","","",""
"9d73e777-a1c1-41c2-a506-ccd8f2b70120",3176,"Network activity","url","http://1.246.222.228:2200/Mozi.a","",1,1687644064,"","","","",""
"1efa80c6-7abe-4bb8-affc-f4a18dc62733",3176,"Network activity","url","http://1.246.222.245:4391/Mozi.a","",1,1687644124,"","","","",""
"a892e069-55d5-458c-b202-64fb00d8a732",3176,"Network activity","ip-dst","1.246.222.245","",1,1687644124,"","","","",""
"7fe3ee87-19f8-4540-b8ad-7166ad9c542b",3176,"Network activity","url","http://1.246.223.223:1992/Mozi.a","",1,1687644184,"","","","",""
"61326bbf-2c67-4841-8140-e96b0edc024a",3176,"Network activity","url","http://1.246.223.6:1064/Mozi.a","",1,1687644244,"","","","",""
"08d021e8-07ca-4ecb-801d-5909dfbe4638",3176,"Network activity","url","http://1.246.223.71:1458/Mozi.a","",1,1687644304,"","","","",""
"4c7f4c79-7a41-484c-b85f-04cca6f48d31",3176,"Network activity","url","http://1.246.223.83:4821/Mozi.a","",1,1687645144,"","","","",""
"c1231655-5830-4ffd-84f5-0aa20f49eafe",3176,"Network activity","url","http://49.82.37.8:57485/Mozi.m","",1,1687648684,"","","","",""
"cd6ad963-cac0-43f1-82f6-c9373c2fa741",3176,"Network activity","ip-dst","49.82.37.8","",1,1687648684,"","","","",""
"ff617028-e3a9-41b6-b44c-a3627e280828",3176,"Network activity","url","http://118.174.124.225:49168/Mozi.m","",1,1687649284,"","","","",""
"ebb57ede-6b6d-4058-b964-59fc6063c990",3176,"Network activity","ip-dst","118.174.124.225","",1,1687649284,"","","","",""
"ffd16266-42b6-4885-9aea-4ad31486c304",3176,"Network activity","url","http://1.246.223.58:1243/Mozi.m","",1,1687649344,"","","","",""
"380ad24a-6355-442a-b63c-591df3f3ca42",3176,"Network activity","ip-dst","1.246.223.58","",1,1687649344,"","","","",""
"561168d4-833b-4ab8-aa23-293e62fb4c77",3176,"Network activity","url","http://1.246.223.58:1243/Mozi.a","",1,1687650124,"","","","",""
"4eb63b4f-f9a5-4081-91f6-304656fc2d63",3176,"Network activity","url","http://1.246.223.32:2078/Mozi.m","",1,1687650605,"","","","",""
"935f5dd8-9381-41ff-8179-5e8176747b1c",3176,"Network activity","ip-dst","1.246.223.32","",1,1687650605,"","","","",""
"891bee7e-f911-4c4c-ac41-15696c4914cf",3176,"Network activity","url","http://1.246.223.32:2078/Mozi.a","",1,1687651384,"","","","",""
"6de03f48-a0ab-4ab6-a773-eed7e6208cab",3176,"Payload delivery","filename","&currentsetting.htm=1","",0,1687651684,"","","","",""
"a39160d8-b95d-4ef9-88f0-379e8d3c4cd6",3176,"Network activity","url","http://1.246.222.109:3454/Mozi.m","",1,1687651685,"","","","",""
"8515cf5c-f607-4f2f-9fc6-f768f02efc2f",3176,"Network activity","ip-dst","1.246.222.109","",1,1687651685,"","","","",""
"cb04e4e8-6306-4780-8fde-3416aeb3bba6",3176,"Network activity","url","http://1.246.223.6:1064/Mozi.m+-O+/tmp/netgear;sh+netgear&curpath=/&currentsetting.htm=1","",1,1687651744,"","","","",""
"b2cfb99b-9672-43e0-9764-be01875aece9",3176,"Network activity","url","http://1.246.223.130:1400/Mozi.a","",1,1687652465,"","","","",""
"31fef47b-f712-4dc6-9ed1-4155b07795a5",3176,"Network activity","ip-dst","1.246.223.130","",1,1687652465,"","","","",""
"22249e0b-3172-4e0d-a939-c7a2418eef0b",3176,"Network activity","url","http://1.246.222.109:3454/Mozi.a","",1,1687661104,"","","","",""
"2c680a8b-e849-48fc-a740-1638e28eea9a",3176,"Network activity","url","http://1.246.222.40:4523/Mozi.m","",1,1687661164,"","","","",""
"e34fc407-6b42-4b62-9cd6-861807d460c5",3176,"Network activity","ip-dst","1.246.222.40","",1,1687661164,"","","","",""
"c81fd001-eaf0-4330-9436-4a737e8f4c0f",3176,"Network activity","url","http://1.246.222.249:3847/Mozi.a","",1,1687661465,"","","","",""
"54990148-ac8c-429c-a263-800a2a448fd1",3176,"Network activity","url","http://49.143.32.41:4909/Mozi.a","",1,1687661884,"","","","",""
"32a5d022-a7ff-40e3-99ea-246937d2ac2f",3176,"Network activity","url","http://1.246.223.18:1988/Mozi.a","",1,1687662184,"","","","",""
"b00b2c08-6b76-45d1-919c-2783fa577457",3176,"Network activity","url","http://1.246.222.49:3813/Mozi.m","",1,1687662604,"","","","",""
"613db098-d894-4e4e-834f-b338db11f5e5",3176,"Network activity","ip-dst","1.246.222.49","",1,1687662604,"","","","",""
"d7ad0d63-8aac-417f-ae80-d1528c07ed68",3176,"Network activity","url","http://1.246.222.49:3813/Mozi.a","",1,1687663265,"","","","",""
"980553b5-f08b-4b7b-bf8e-3594b300ba8a",3176,"Network activity","url","http://1.246.222.234:3030/Mozi.a","",1,1687668124,"","","","",""
"07767d4a-0179-43da-bf8c-6d2bd6f28477",3176,"Network activity","url","http://1.246.222.6:1682/Mozi.m","",1,1687668485,"","","","",""
"eee5f6d5-8e14-42ab-8675-dbfdbaae00d2",3176,"Network activity","ip-dst","1.246.222.6","",1,1687668485,"","","","",""
"98822b76-32e0-43ec-82d7-d22466b7e726",3176,"Network activity","url","http://1.246.222.6:1682/Mozi.a","",1,1687670163,"","","","",""
"9ff32acf-ac47-45f9-a62c-49dd3e86fbbe",3176,"Payload delivery","filename","i","",0,1687671904,"","","","",""
