uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"14c924b0-17fa-45fd-9634-31742568f771",14075,"Payload delivery","filename","i686","",0,1729186988,"","","","",""
"002d74a5-6040-43d3-a411-b0b1233210f0",14075,"Payload delivery","md5","25a99d08a183a92a574b6ca1d56429ea","",1,1729186988,"","","","",""
"443d8ab5-cd67-43a4-b7df-9ff4c2ddf159",14075,"Payload delivery","sha1","743678204e9fa62526bb8a4799d3ea6127d4e68c","",1,1729186988,"","","","",""
"a232c46f-c625-4c39-96d0-5cdb50391182",14075,"Payload delivery","sha256","740f29b1986fd72b4f50a4f48bf26f5ac309064020d05c71b7e1691de1e763a8","",1,1729186988,"","","","",""
"39017f89-bc4c-4551-95bb-e8dbce79f002",14075,"Payload delivery","mime-type","application/x-executable","",0,1729186988,"","","","",""
"28b535c2-48c5-4550-a777-405bd3d933a5",14075,"Network activity","url","http://185.121.233.82/i686","",1,1729186988,"","","","",""
"aeb3d731-33d0-43e5-9c42-6a37a904d826",14075,"Network activity","ip-dst","185.121.233.82","",1,1729186988,"","","","",""
"01eab451-ed52-41c2-93a7-75f211b0f016",14075,"External analysis","link","https://www.virustotal.com/gui/file/740f29b1986fd72b4f50a4f48bf26f5ac309064020d05c71b7e1691de1e763a8/detection","",0,1729186988,"permalink","","9af74d9b-a12c-48a5-813e-552f7bdd8868","virustotal-report","misc"
"1545663c-8689-4139-8cdc-2900ec380598",14075,"Other","datetime","2024-10-09T21:20:39.000000+0000","",0,1729186988,"last-submission","","9af74d9b-a12c-48a5-813e-552f7bdd8868","virustotal-report","misc"
"c9bfb29b-4c5a-43a0-a6d7-a22c4b4c2d64",14075,"Other","text","38/77","",0,1729186988,"detection-ratio","","9af74d9b-a12c-48a5-813e-552f7bdd8868","virustotal-report","misc"

