uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"1ac6689b-7dcd-4a19-ab3d-b04bbeef21ef",738,"Payload delivery","filename","xs05ehhb9.tar","",0,1637603644,"","","","",""
"75a83c90-18b6-43d2-bf14-38635a25ab37",738,"Payload delivery","md5","d47db68452d9fbd3e11f93f10355243e","",1,1637603644,"","","","",""
"b0b27bf9-76d9-48cb-805b-6583b13c439b",738,"Payload delivery","sha1","3f3268520315502224b9e09f47a65b7fecb8c8b8","",1,1637603644,"","","","",""
"1a292c75-0ac8-4f04-aebc-15513a4e4665",738,"Payload delivery","sha256","b03b501c074694ee05545263c92c18aba7f75b2a51221ff6fda744a73cf2af84","",1,1637603644,"","","","",""
"5a6ab262-a756-4adb-80e2-5bb5dfc931d0",738,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1637603644,"","","","",""
"1dcbc959-e707-4855-91cf-9902417efd01",738,"Payload delivery","imphash","72fcf4d1ef6b7a492cf6b81aff237b75","",0,1637603644,"","","","",""
"8b090d14-22ab-4abf-b5ae-0dbd98d41372",738,"Network activity","url","https://covid19.cyberschool.or.id/xs05ehhb9.tar","",1,1637603644,"","","","",""
"1898f801-d429-47e1-970d-2155b7326023",738,"Network activity","domain","covid19.cyberschool.or.id","",1,1637603644,"","","","",""
"cf9e4ea2-56aa-4a16-ba31-b91c43f3f6cb",738,"Other","text",".text","",0,1637603644,"name","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"8fa33cae-e3f5-4f06-8746-b858f9b8ed39",738,"Payload delivery","md5","7a7a2b604f93e22e04c051a54028e0a5","",1,1637603644,"md5","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"be1ab1bb-b239-4335-80e4-1262d000b565",738,"Payload delivery","sha1","ce7a0258b4a813d701d3df0ed3e4a8ad0c9e4f1d","",1,1637603644,"sha1","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"da6bd2e5-5d0c-43d2-b24a-51d9a181770a",738,"Payload delivery","sha256","18a87128a0f75081a4aaf093d7bf0708e01179443bd27244985219419ef988a7","",1,1637603644,"sha256","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"2962c707-eddb-4c15-b75a-8a1e63256f42",738,"Other","size-in-bytes",368640,"",0,1637603644,"size-in-bytes","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"1ef73f9a-43d0-4b8f-b7a5-856160c62207",738,"Other","float",4.65954,"",0,1637603644,"entropy","","c0bb30ea-ee9d-46aa-b7d1-eb3a83ed0aa2","pe-section","file"
"a088b640-ccc2-4b51-a9ca-f4652f52f0fe",738,"Other","text",".rdata","",0,1637603644,"name","","e8bc9abf-93b0-4c93-a073-1647f8ee45e5","pe-section","file"
"4dd5a185-b39b-4693-90ac-ec0dcea02024",738,"Payload delivery","md5","9616e75c10fdbbc82afb38651d8966ee","",1,1637603644,"md5","","e8bc9abf-93b0-4c93-a073-1647f8ee45e5","pe-section","file"
