uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"2d375c0b-e830-4bb4-af8d-0b3dc8e9f251",18170,"Payload delivery","filename","emptyfilename.tmp","",0,1655826188,"","","","",""
"922fadf8-bddd-4913-b1de-f509b0cab324",18170,"Payload delivery","md5","6d0851b0d38a7001462354f1ce7a8dbd","",1,1655826188,"","","","",""
"dcab2cc3-03f7-4323-a79a-82e1b83e3297",18170,"Payload delivery","sha1","18f5d4877452f787e5e88d5a8dec92aab02f6ac1","",1,1655826188,"","","","",""
"6a72d08a-a0d6-4847-8c1e-fa7b48128501",18170,"Payload delivery","sha256","0437aa8d611d6bfb24838e24dd35b2ac463ea938fe3273ad15a210145a7678e7","",1,1655826188,"","","","",""
"fe668ac1-b23f-4d0d-bad2-66e4bbe10d51",18170,"Payload delivery","mime-type","PE32 executable (DLL) (GUI) Intel 80386, for MS Windows","",0,1655826188,"","","","",""
"19c521f4-2b7c-47c0-afeb-36c16acdcb2d",18170,"Payload delivery","imphash","c354d2e1bcc359dcb00a22865c038d4a","",0,1655826188,"","","","",""
"8aaf9e6f-c894-4c46-864d-d32a793ee494",18170,"Network activity","url","http://vrstar-park.com/wp-includes/N8807S9/","",1,1655826188,"","","","",""
"bb9a2b28-d8bc-47fb-a7b8-8bbddf92056b",18170,"Network activity","domain","vrstar-park.com","",1,1655826188,"","","","",""
"3ed21a75-228f-434a-84d7-8d3f20edc1e8",18170,"Other","text",".text","",0,1655826188,"name","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"8a390fa9-e76b-4bf2-a1d7-c57f248e6f0a",18170,"Payload delivery","md5","2ad3ad6d30ae02c051f08bfb2bbce5a4","",1,1655826188,"md5","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"32aa1a6a-c15d-42d1-8a97-f6ddc07ab953",18170,"Payload delivery","sha1","d418a46d04d5e5579fd1fc21a9072a79e3834475","",1,1655826188,"sha1","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"b507f3d2-a34e-481c-b0d2-87a535bc6292",18170,"Payload delivery","sha256","68d58b19bfd7cc0231d6eb88799dadffa0c77e9d8d42dc821eb0285a5b07cee9","",1,1655826188,"sha256","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"97a119e9-c802-478f-8c9b-88de20c5b964",18170,"Other","size-in-bytes",245760,"",0,1655826188,"size-in-bytes","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"ea7978b8-1677-474f-b394-f0f40464ae0d",18170,"Other","float",6.35861,"",0,1655826188,"entropy","","0256da14-65e7-4d89-a964-89df940ac33d","pe-section","file"
"44f93211-54f7-495a-8368-11682f80d702",18170,"Other","text",".rdata","",0,1655826189,"name","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"c0df5019-0e6e-4569-8ef9-27b1728193e6",18170,"Payload delivery","md5","6b8feeafdccb016e594d500bc359ab83","",1,1655826189,"md5","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"936a1941-f46a-47c1-8698-3010143ea834",18170,"Payload delivery","sha1","7dad939f6e006676a9a1ab3efeeb4f61e101e518","",1,1655826189,"sha1","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"85ba5810-d135-4ba2-97a3-8c168515df72",18170,"Payload delivery","sha256","df7e304d9280648ad1aa6d011081349c6624281a868375fb1cca5d2135bafc03","",1,1655826189,"sha256","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"919e8ab8-8b90-4392-9a08-18b757fa6041",18170,"Other","size-in-bytes",36864,"",0,1655826189,"size-in-bytes","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"f53a5f8b-1080-4545-abce-c6dc9651696c",18170,"Other","float",4.99707,"",0,1655826189,"entropy","","ba00eb11-9589-4f14-895f-81a83ce01075","pe-section","file"
"4b8115fc-5799-4088-bdcf-33325cf5d4f6",18170,"Other","text",".data","",0,1655826189,"name","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"fee05243-ff57-4118-a156-1fb046f3922d",18170,"Payload delivery","md5","c89715b10cb8c402ac2ab894927e2677","",1,1655826189,"md5","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"e98da21f-2322-4594-96a1-68f0d98bbc97",18170,"Payload delivery","sha1","a52622f953fbb3dedc1eeb7fc75aeb4a62afd706","",1,1655826189,"sha1","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"b0aa16d0-d3fe-4c73-8fe4-a67c658a9e2b",18170,"Payload delivery","sha256","b75fbdc0e95d8fecf10d82b7afe4240fa2182e673430e653105a7304046c326d","",1,1655826189,"sha256","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"8d947585-d729-4c1f-9351-9e844a38beea",18170,"Other","size-in-bytes",8192,"",0,1655826189,"size-in-bytes","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"9ea2b07e-9696-40b7-a263-bf9c401ec9e7",18170,"Other","float",4.13511,"",0,1655826189,"entropy","","e961fa92-f992-49da-9993-9d8a17d99283","pe-section","file"
"8ea7edc0-35e1-47d9-8b25-10312f2f6843",18170,"Other","text",".rsrc","",0,1655826189,"name","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"6094b027-6be4-4b56-9a4b-a7f6769da602",18170,"Payload delivery","md5","44e8f5fd85bd19baccd7a5b704fc6e08","",1,1655826189,"md5","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"04181e08-4ade-4fe9-8e1a-1b770b59481a",18170,"Payload delivery","sha1","a8f733219fdb1694ceca5bcb8b6b527bbc24d20a","",1,1655826189,"sha1","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"1121c898-61ee-4f3e-8e6d-0bc73c164bad",18170,"Payload delivery","sha256","825a01940f967014b6b5fc81667d30836be8fd94855526fbd618ca58ca1c57df","",1,1655826189,"sha256","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"357950fa-3970-4b3a-aa02-2ef3a43cf0e2",18170,"Other","size-in-bytes",159744,"",0,1655826189,"size-in-bytes","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"d96dd921-35a4-4075-a093-336a11f79256",18170,"Other","float",7.84335,"",0,1655826189,"entropy","","15d630b8-274c-44f5-931e-867cd519ddd7","pe-section","file"
"e4f1f722-ce3e-4bfd-993a-6eae3f0b673c",18170,"Other","text",".reloc","",0,1655826190,"name","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
"bd8e878f-e4ae-4cb5-a7ad-585b1d7baa4e",18170,"Payload delivery","md5","b3d6ce647b9b9c12f226938df6c4e46b","",1,1655826190,"md5","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
"a0b19f4f-136a-43b4-8cc2-0436a31ddce6",18170,"Payload delivery","sha1","7f0c125b25a8f5ba9e623d37770aaea89f07e082","",1,1655826190,"sha1","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
"b4f8a5e1-fed8-4e68-84e6-afb9986be7c6",18170,"Payload delivery","sha256","78facc14d189cc99e2c45681345ea7ca08ef353ceab517dee27e71bbdeff5c78","",1,1655826190,"sha256","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
"0991c486-e224-43e6-bc75-8c6a7b5c0ddb",18170,"Other","size-in-bytes",53248,"",0,1655826190,"size-in-bytes","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
"ef30505e-47f6-46de-9ab0-f4500e058544",18170,"Other","float",5.33808,"",0,1655826190,"entropy","","7613434f-f31a-4a9e-b49c-d8ed76ed5efa","pe-section","file"
