uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"a7b2222c-306e-4559-9116-b5dc8d1632ff",43474,"Payload delivery","filename","meerkat.ppc","",0,1686901084,"","","","",""
"d4ef2518-0747-411a-934b-d6c4af6a93f9",43474,"Payload delivery","md5","1c70fca2292b9987c2645339c4a980c7","",1,1686901084,"","","","",""
"04c306ab-8de2-4f5e-9746-8b04e9bba727",43474,"Payload delivery","sha1","bd7161bde481b3dfa70d7a05f7b0c7aff6c7252b","",1,1686901084,"","","","",""
"4ef14547-8889-47c2-a6e0-a6c0c0670564",43474,"Payload delivery","sha256","7d48a0e5990de34f9fb7ef4c51a0ed601bc2718e743ca46502735918a7d621b1","",1,1686901084,"","","","",""
"4d748f46-7c93-4bfd-a214-a9bed6d4f094",43474,"Payload delivery","mime-type","application/x-executable","",0,1686901084,"","","","",""
"2b8f11a1-103e-46ff-abe6-f8d1329cd378",43474,"Network activity","url","http://85.217.144.218/bins/meerkat.ppc","",1,1686901084,"","","","",""
"b18e48f1-e9cb-42a9-9e00-7a506b22fa23",43474,"Network activity","ip-dst","85.217.144.218","",1,1686901084,"","","","",""
"e9c81bf0-3104-456f-bf93-48dd2be71408",43474,"External analysis","link","https://www.virustotal.com/gui/file/7d48a0e5990de34f9fb7ef4c51a0ed601bc2718e743ca46502735918a7d621b1/detection","",0,1686901084,"permalink","","045cf10f-a8bf-4acc-a9fd-1bf107dd65a0","virustotal-report","misc"
"08755415-cfc1-48e1-9079-f528e6e11cef",43474,"Other","datetime","2023-06-16T07:24:14.000000+0000","",0,1686901084,"last-submission","","045cf10f-a8bf-4acc-a9fd-1bf107dd65a0","virustotal-report","misc"
"7a6faf20-2259-416c-9bf6-35c6e23c2942",43474,"Other","text","41/61","",0,1686901084,"detection-ratio","","045cf10f-a8bf-4acc-a9fd-1bf107dd65a0","virustotal-report","misc"

