uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"efb2dc2d-4400-4dec-8012-54cfc1da7ca5",22989,"Payload delivery","filename","kitty-nocompress_1_Jyqhuxph.png","",0,1662988510,"","","","",""
"5a9c6184-587a-481e-af09-1cdc7eb1516f",22989,"Payload delivery","md5","48598c7ccc8bb89db6420a856692bf30","",1,1662988510,"","","","",""
"cfae5115-036b-483e-9dd7-a8d93269941f",22989,"Payload delivery","sha1","38827d9a37ef50bf21bc5b96d75ef7be98228759","",1,1662988510,"","","","",""
"5b29b832-f4a8-417b-8d4c-cfcbb91c6052",22989,"Payload delivery","sha256","8dd3fae70c0b5ea42162854d03376940654aa073057ce785ce50608c231e4cf8","",1,1662988510,"","","","",""
"0ae97eb4-cbfd-426f-90d5-3a60c03d5ede",22989,"Payload delivery","mime-type","data","",0,1662988510,"","","","",""
"df2002b8-194c-44a8-85e2-0bff2bb2f31b",22989,"Network activity","url","https://cdn.discordapp.com/attachments/1002319488340992093/1018244699775049828/kitty-nocompress_1_Jyqhuxph.png","",1,1662988510,"","","","",""
"5e48a179-1b3e-424d-b9a8-107d290435c9",22989,"Network activity","domain","cdn.discordapp.com","",1,1662988510,"","","","",""
"bf5669c2-a4c5-468f-a46d-6fec89748b85",22989,"External analysis","link","https://www.virustotal.com/gui/file/8dd3fae70c0b5ea42162854d03376940654aa073057ce785ce50608c231e4cf8/detection","",0,1662988510,"permalink","","bd4fee8f-e6c6-487b-aee6-2952a05d338b","virustotal-report","misc"
"dccda733-3035-4afc-97e4-e85ae17d898b",22989,"Other","datetime","2022-09-11T07:26:51.000000+0000","",0,1662988510,"last-submission","","bd4fee8f-e6c6-487b-aee6-2952a05d338b","virustotal-report","misc"
"270a5922-7c6f-41df-b130-e97432587539",22989,"Other","text","0/59","",0,1662988510,"detection-ratio","","bd4fee8f-e6c6-487b-aee6-2952a05d338b","virustotal-report","misc"

