uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
"41805457-2f5a-467f-9120-2a98a410b88e",53454,"Payload delivery","filename","apep.arm","",0,1618173598,"","","","",""
"9bcbc5b8-0ab2-4d70-a48e-ab0f761bc59a",53454,"Payload delivery","md5","dabed10a5839ec6f4b92f0faedf74f76","",1,1618173598,"","","","",""
"257a2d9b-1dfb-4c30-91d2-2efd9c118fe4",53454,"Payload delivery","sha1","e3002bed207d05a62a2a01bd9080c20b7cbefc18","",1,1618173598,"","","","",""
"68a09203-2888-47fb-8c56-9246782d6634",53454,"Payload delivery","sha256","c8fbfe6b120f6b4005bd968c1d4f5e693d7ae670150b74b01913439146c169c1","",1,1618173598,"","","","",""
"14dacf17-00ec-4360-bf6e-5537f2407114",53454,"Payload delivery","mime-type","ELF 32-bit LSB executable, ARM, version 1 (ARM), statically linked, stripped","",0,1618173598,"","","","",""
"af194ea6-67a9-409a-8249-02c715e9288f",53454,"Network activity","url","http://2.57.122.24/lx/apep.arm","",1,1618173598,"","","","",""
"6e0d5330-aa1f-40b8-ac45-3a2bb03eeb55",53454,"Network activity","ip-dst","2.57.122.24","",1,1618173598,"","","","",""
"89586409-4400-4386-8f5b-ba2fda2d1e2e",53454,"External analysis","link","https://www.virustotal.com/gui/file/c8fbfe6b120f6b4005bd968c1d4f5e693d7ae670150b74b01913439146c169c1/detection","",0,1618173599,"permalink","","1490b270-0cc6-4f27-b352-8885b8fe9d3e","virustotal-report","misc"
"aaeae0a9-51a4-4057-9ada-7a0897285b0c",53454,"Other","datetime","2021-04-11T19:01:41.000000+0000","",0,1618173599,"last-submission","","1490b270-0cc6-4f27-b352-8885b8fe9d3e","virustotal-report","misc"
"96516e4b-5186-4324-8395-aaeda6d04c4c",53454,"Other","text","28/61","",0,1618173599,"detection-ratio","","1490b270-0cc6-4f27-b352-8885b8fe9d3e","virustotal-report","misc"

